schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	network_label	network_color	tile_status	passing_context	circle_displayed	within_case_rank	aggregate_acat_q	negative_log10_aggregate_acat_q	capped_negative_log10_aggregate_acat_q	extended_reference_member
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	8	COX6B1	2	Excitatory_neurons	Excitatory neurons	#E69F00	circle_displayed	TRUE	TRUE	4	5.958609234062103e-07	6.224855094698579	6.224855094698579	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	8	COX6B1	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	8	COX6B1	4	Microglia	Microglia	#CC79A7	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	8	COX6B1	5	OPCs	OPCs	#56B4E9	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	8	COX6B1	6	Oligodendrocytes	Oligodendrocytes	#F0E442	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	8	COX6B1	7	Vasculature_cells	Vasculature	#D55E00	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	9	UQCR10	1	Astrocytes	Astrocytes	#009E73	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	9	UQCR10	2	Excitatory_neurons	Excitatory neurons	#E69F00	circle_displayed	TRUE	TRUE	2	2.761874901843084e-10	9.558795996528438	9.558795996528438	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	9	UQCR10	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	9	UQCR10	4	Microglia	Microglia	#CC79A7	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	9	UQCR10	5	OPCs	OPCs	#56B4E9	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	9	UQCR10	6	Oligodendrocytes	Oligodendrocytes	#F0E442	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	9	UQCR10	7	Vasculature_cells	Vasculature	#D55E00	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	10	MT-ND5	1	Astrocytes	Astrocytes	#009E73	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	10	MT-ND5	2	Excitatory_neurons	Excitatory neurons	#E69F00	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	10	MT-ND5	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	circle_displayed	TRUE	TRUE	4	2.6917602273647295e-06	5.569963628166533	5.569963628166533	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	10	MT-ND5	4	Microglia	Microglia	#CC79A7	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	10	MT-ND5	5	OPCs	OPCs	#56B4E9	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	10	MT-ND5	6	Oligodendrocytes	Oligodendrocytes	#F0E442	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	10	MT-ND5	7	Vasculature_cells	Vasculature	#D55E00	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
