kda_run_id	broad_network	background_genes	explicit_candidates	implicit_zero_overlap_candidates	published_significant_candidates	published_result_reconciliation
primary_Inh_RYR3_TSHZ2_F_e4_AD_down_mito	Inhibitory_neurons	7492	128	7364	14	TRUE
primary_Inh_RYR3_TSHZ2_M_e2_AD_up_mito	Inhibitory_neurons	7023	235	6788	0	TRUE
primary_Inh_RYR3_TSHZ2_M_e2_AD_down_mito	Inhibitory_neurons	7023	354	6669	10	TRUE
primary_Inh_RYR3_TSHZ2_M_e4_AD_down_mito	Inhibitory_neurons	6831	61	6770	7	TRUE
primary_Inh_SORCS1_TTN_F_e33_AD_up_mito	Inhibitory_neurons	6806	68	6738	8	TRUE
primary_Inh_VIP_ABI3BP_F_e33_AD_up_mito	Inhibitory_neurons	8422	99	8323	11	TRUE
primary_Inh_VIP_ABI3BP_F_e4_AD_down_mito	Inhibitory_neurons	8420	84	8336	3	TRUE
primary_Inh_VIP_ABI3BP_M_e4_AD_down_mito	Inhibitory_neurons	8069	48	8021	4	TRUE
primary_Inh_VIP_CLSTN2_F_e33_AD_up_mito	Inhibitory_neurons	8213	132	8081	9	TRUE
primary_Inh_VIP_CLSTN2_F_e33_AD_down_mito	Inhibitory_neurons	8213	12	8201	9	TRUE
primary_Inh_VIP_CLSTN2_F_e4_AD_down_mito	Inhibitory_neurons	8143	94	8049	15	TRUE
primary_Inh_VIP_CLSTN2_M_e2_AD_down_mito	Inhibitory_neurons	8157	320	7837	7	TRUE
primary_Inh_VIP_THSD7B_F_e33_AD_up_mito	Inhibitory_neurons	7817	89	7728	10	TRUE
primary_Inh_VIP_TSHZ2_F_e2_AD_up_mito	Inhibitory_neurons	7664	74	7590	9	TRUE
primary_Inh_VIP_TSHZ2_F_e33_AD_up_mito	Inhibitory_neurons	7708	66	7642	10	TRUE
primary_Mic_P2RY12_F_e2_AD_up_mito	Microglia	4335	50	4285	5	TRUE
primary_Mic_P2RY12_F_e2_AD_down_mito	Microglia	4335	279	4056	4	TRUE
primary_Mic_P2RY12_F_e4_AD_up_mito	Microglia	4963	49	4914	2	TRUE
primary_Mic_P2RY12_F_e4_AD_down_mito	Microglia	4963	142	4821	0	TRUE
primary_Mic_P2RY12_M_e2_AD_up_mito	Microglia	4022	494	3528	0	TRUE
primary_Mic_P2RY12_M_e2_AD_down_mito	Microglia	4022	479	3543	6	TRUE
primary_Mic_P2RY12_M_e33_AD_up_mito	Microglia	4372	37	4335	6	TRUE
primary_Mic_P2RY12_M_e33_AD_down_mito	Microglia	4372	27	4345	4	TRUE
primary_Mic_P2RY12_M_e4_AD_up_mito	Microglia	4607	189	4418	1	TRUE
primary_Mic_P2RY12_M_e4_AD_down_mito	Microglia	4607	164	4443	6	TRUE
primary_Mic_TPT1_F_e4_AD_up_mito	Microglia	5165	30	5135	10	TRUE
primary_Mic_TPT1_M_e4_AD_down_mito	Microglia	5101	68	5033	4	TRUE
primary_Oli_F_e2_AD_up_mito	Oligodendrocytes	5751	137	5614	0	TRUE
primary_Oli_F_e33_AD_up_mito	Oligodendrocytes	5269	116	5153	2	TRUE
primary_Oli_F_e4_AD_down_mito	Oligodendrocytes	5568	53	5515	23	TRUE
primary_Oli_M_e2_AD_up_mito	Oligodendrocytes	4632	228	4404	0	TRUE
primary_Oli_M_e2_AD_down_mito	Oligodendrocytes	4632	154	4478	8	TRUE
primary_Oli_M_e33_AD_down_mito	Oligodendrocytes	5099	97	5002	0	TRUE
primary_Oli_M_e4_AD_up_mito	Oligodendrocytes	5199	76	5123	11	TRUE
primary_Oli_M_e4_AD_down_mito	Oligodendrocytes	5199	90	5109	0	TRUE
primary_OPC_F_e2_AD_up_mito	OPCs	7474	231	7243	0	TRUE
primary_OPC_F_e33_AD_up_mito	OPCs	7128	219	6909	9	TRUE
primary_OPC_F_e4_AD_up_mito	OPCs	7365	246	7119	3	TRUE
primary_OPC_F_e4_AD_down_mito	OPCs	7365	365	7000	5	TRUE
primary_OPC_M_e2_AD_up_mito	OPCs	6791	703	6088	0	TRUE
primary_OPC_M_e2_AD_down_mito	OPCs	6791	468	6323	22	TRUE
primary_OPC_M_e33_AD_down_mito	OPCs	6810	86	6724	9	TRUE
primary_OPC_M_e4_AD_up_mito	OPCs	7002	95	6907	10	TRUE
primary_OPC_M_e4_AD_down_mito	OPCs	7002	97	6905	0	TRUE
primary_Per_F_e4_AD_up_mito	Vasculature_cells	4033	8	4025	4	TRUE
primary_Per_M_e2_AD_up_mito	Vasculature_cells	3640	78	3562	0	TRUE
primary_Per_M_e2_AD_down_mito	Vasculature_cells	3640	9	3631	7	TRUE
