schema_version	scope_id	context_id	endpoint_id	contrast_id	sensitivity_type	context_role	estimate	standard_error	ci_low	ci_high	p_value	model_status	failure_reason	repetition_id	primary_estimate	direction_retained	relative_magnitude	sensitivity_status	common_range_low	common_range_high	trimmed_donors	common_range_estimate	common_range_status	common_range_direction_retained	common_range_relative_magnitude	quadratic_contrast_estimate	quadratic_contrast_p_value	quadratic_shape_flag	slope_rewiring_observed	slope_sensitivity_pass
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0884451990679906	0.19962706177493	-0.304667896242158	0.481558294378139	0.658100719053963	estimated		13	0.0683703036637361	TRUE	1.29362010008012	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0804193591991126	0.196901798038034	-0.307327044573215	0.46816576297144	0.683302731854406	estimated		47	0.0683703036637361	TRUE	1.17623229515898	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0778233305375642	0.195588794815459	-0.307337458056192	0.46298411913132	0.69103967786763	estimated		21	0.0683703036637361	TRUE	1.13826217476407	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0490027203980786	0.194538616440793	-0.334090017562553	0.43209545835871	0.801325862198482	estimated		8	0.0683703036637361	TRUE	0.716725212148939	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0740267397170668	0.190595145309739	-0.301300367026978	0.449353846461112	0.698043202719013	estimated		36	0.0683703036637361	TRUE	1.08273235235506	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	full_nci_reference	primary_confirmatory	0.0752890632165745	0.195972147435217	-0.310626637730289	0.461204764163438	0.701160887788667	estimated		NA	0.0683703036637361	TRUE	1.1011953901341	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0817197011628587	0.195218600331568	-0.302712086572321	0.466151488898038	0.675853621632397	estimated		29	0.0683703036637361	TRUE	1.1952513998589	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.087284638444451	0.200411809577541	-0.307373811663686	0.481943088552588	0.663545921532665	estimated		17	0.0683703036637361	TRUE	1.27664546984815	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0761456245120765	0.197265300156692	-0.312316601262273	0.464607850286426	0.699811443641299	estimated		16	0.0683703036637361	TRUE	1.11372365532529	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0773849465800239	0.201381476129609	-0.31918300726129	0.473952900421338	0.701095778246693	estimated		50	0.0683703036637361	TRUE	1.13185026880419	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	additive_nci_reference	primary_confirmatory	0.0760298679832976	0.194659051785292	-0.307300035773593	0.459359771740188	0.696431513157407	estimated		NA	0.0683703036637361	TRUE	1.11203057334999	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0860952286375818	0.193662799976625	-0.29527281870199	0.467463275977153	0.657010058511408	estimated		11	0.0683703036637361	TRUE	1.25924888473542	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0715400842381832	0.199755046361354	-0.321825043118493	0.464905211594859	0.720533233457566	estimated		39	0.0683703036637361	TRUE	1.04636194962709	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0513979070730631	0.189829727624694	-0.322421910465309	0.425217724611436	0.786794531690628	estimated		40	0.0683703036637361	TRUE	0.751757770827699	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	paired_PC1	primary_confirmatory	0.070872605527076	0.196326471898103	-0.315740844437937	0.457486055492089	0.718400770290156	estimated		NA	0.0683703036637361	TRUE	1.03659925039454	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0595976971999262	0.19570483332076	-0.325791598769476	0.444986993169329	0.760971739489698	estimated		9	0.0683703036637361	TRUE	0.871689812773745	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0798620108329619	0.196830429130933	-0.307743850611436	0.46746787227736	0.685271117754097	estimated		33	0.0683703036637361	TRUE	1.16808038802556	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	nuclear_only_TMM	primary_confirmatory	0.0653984735213739	0.197388010603969	-0.323305398266933	0.454102345309681	0.740673250686424	estimated		NA	0.0683703036637361	TRUE	0.95653331953916	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0781794440190483	0.19627481523854	-0.308332281715021	0.464691169753118	0.69072780153256	estimated		2	0.0683703036637361	TRUE	1.14347077356211	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0918616110003327	0.197615799934619	-0.297290832079133	0.481014054079798	0.642432810306623	estimated		32	0.0683703036637361	TRUE	1.34358933744295	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
