SSUH2	LINC02199
RPUSD3	FAHD2A
RPUSD3	FKBP14
RPUSD3	UBAC1
RPUSD3	SEZ6
JAGN1	NDUFAF4
JAGN1	TMEM251
IL17RE	PEX11B
IL17RE	IQCG
CRELD1	FLNA
EMC3	CHTF18
BRK1	ZMYND19
BRK1	TUFM
BRK1	TIMM29
BRK1	DHPS
IRAK2	ADAMTS9
IRAK2	INPPL1
IRAK2	STAT5A
IRAK2	CC2D1A
SLC6A1-AS1	RHCG
MKRN2OS	MYCBP
MKRN2OS	TP53I3
MKRN2OS	BOLA3
MKRN2OS	TMEM126A
MKRN2OS	RASL10A
RPL32	EEF1B2
BTD	ZRANB2-AS2
DPH3	BSN-DT
SATB1-AS1	NT5DC3
SATB1-AS1	SLITRK5
PP2D1	MRPL50
ZNF385D-AS1	IQCM
RPL15	TIMM10
RPL15	EMC6
RPL15	EIF1
RBMS3-AS3	TMED1
RBMS3-AS2	POLR2J
GPD1L	NRP2
RPSA	DEGS1
RPSA	TRAPPC5
RPSA	KDELR1
EIF1B	TOMM20
EIF1B	STIMATE
EIF1B	SAT2
ENTPD3	AC010331.1
RPL14	FMC1
RPL14	CDKN2D
CCK	CALY
CCK	AKAP5
CCK	SYNGR3
CCK	TGFBR3L
SS18L2	SDF2L1
LARS2-AS1	F10
LARS2-AS1	EIF2B2
LARS2-AS1	VASN
LARS2-AS1	ITFG1-AS1
LIMD1-AS1	ECT2L
KIF9	KIAA1257
KIF9	MPP6
CSPG5	C1orf61
CSPG5	GPR37L1
SPINK8	IQCH
TMA7	PRADC1
TMA7	HIST1H4C
TMA7	TOMM7
TMA7	ATP5MD
TMA7	ERP29
TMA7	RPS28
TMA7	CHCHD10
TMA7	NDUFA1
P4HTM	SLC35A2
IMPDH2	TAP2
IMPDH2	DYRK4
CAMKV	EPHA10
CAMKV	HRH2
ABHD14A	ARL4A
RPL29	ROM1
RPL29	C15orf61
RPL29	MRPS34
RPL29	RPS16
SPCS1	NIF3L1
SELENOK	BAMBI
SELENOK	HSBP1
ARHGEF3	MARCH3
ARHGEF3	SLC2A3
ARHGEF3	MAP2K3
ARHGEF3	SPRED3
SPATA12	ARHGEF3-AS1
SPATA12	GPAT4
DENND6A-AS1	EPB41L4A-AS1
DENND6A-AS1	TAS2R13
DENND6A-AS1	ARG2
FAM107A	TTYH2
PTPRG-AS1	MTOR-AS1
PTPRG-AS1	C1orf131
PTPRG-AS1	MALAT1
SYNPR	RIMS3
ADAMTS9-AS1	KCNK12
ADAMTS9-AS1	PTCD1
ADAMTS9-AS1	EVI2B
ADAMTS9-AS1	SLC16A3
ADAMTS9-AS1	ZNRF3-AS1
MAGI1	ST6GAL2
MAGI1	CNTN4
MAGI1	FRMD4B
MAGI1	MITF
MAGI1	ETV5
MAGI1	KCNIP4-IT1
MAGI1	CDH6
MAGI1	COL9A1
MAGI1	PDE7B
MAGI1	FGD3
MAGI1	GFRA1
MAGI1	LINC00639
FRMD4B	TMEM63A
FRMD4B	GPR162
FRMD4B	CACNG4
MITF	LMCD1-AS1
MITF	CYP7B1
MITF	GLYATL2
MITF	RAB27B
CNTN3	DOCK5
CNTN3	CHST9
CNTN3	RAI2
CNTN3	SYTL4
LINC00960	SPATA1
LINC00960	ANGPTL1
LINC00960	AGBL5
ROBO2	KLHL29
ROBO2	KCNH7
ROBO2	PLCH1
ROBO2	TRPC4
ROBO2	PWRN1
ROBO2	PRKCG
CADM2-AS2	PCDH12
CADM2-AS2	TCTE3
CADM2-AS2	CYB5R2
CADM2-AS1	COL6A6
CADM2-AS1	VWA2
CGGBP1	C3orf79
CGGBP1	ZNF790
STX19	LAPTM4B
FILIP1L	KCNMB2-AS1
FILIP1L	AGBL3
FILIP1L	TRMT10B
FILIP1L	BTBD18
FILIP1L	PCCA-AS1
FILIP1L	LINC02250
FILIP1L	DLGAP1-AS4
FILIP1L	HMGN1
RPL24	NACA
RPL24	GSTT2B
NFKBIZ	ASAP3
NFKBIZ	BAG3
NFKBIZ	VASH1
BTLA	ACTC1
GTPBP8	DMAP1
ZBTB20-AS1	SEMA5A-AS1
ZBTB20-AS1	LINC00402
ZBTB20-AS1	IGSF6
