schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	context_display_order	network_label	network_color	circle_displayed	within_case_rank	signature_direction	direction_label	direction_order	signature_group	group_label	group_order	column_order	eligible_query_count	usable_query_count	explicit_query_count	implicit_query_count	missing_query_count	coverage_fraction	conservative_support_count	support_fraction	stratum_acat_p	stratum_missing_as_one_acat_p	negative_log10_stratum_acat_p	capped_negative_log10_stratum_acat_p	cell_state
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	6	Oligodendrocytes	4	Oligodendrocytes	#F0E442	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e33	APOE ε3/ε3	2	8	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	no_eligible_query
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	6	Oligodendrocytes	4	Oligodendrocytes	#F0E442	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e4	APOE ε4	3	9	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	no_eligible_query
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	6	Oligodendrocytes	4	Oligodendrocytes	#F0E442	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	M_e2	APOE ε2	4	10	1	1	1	0	0	1.0	1	1.0	9.079405346494165e-06	9.079405346494165e-06	5.041942594561868	5.041942594561868	supporting_tested
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	6	Oligodendrocytes	4	Oligodendrocytes	#F0E442	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	M_e33	APOE ε3/ε3	5	11	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	no_eligible_query
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	6	Oligodendrocytes	4	Oligodendrocytes	#F0E442	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	M_e4	APOE ε4	6	12	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	no_eligible_query
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	2	Excitatory_neurons	5	Excitatory neurons	#E69F00	FALSE	20	AD_up_mito	AD-up mitochondrial query	1	F_e2	APOE ε2	1	1	12	12	10	2	0	1.0	4	0.3333333333333333	0.00042490728968971143	0.00042490728968971143	3.371705818110628	3.371705818110628	supporting_tested
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	2	Excitatory_neurons	5	Excitatory neurons	#E69F00	FALSE	20	AD_up_mito	AD-up mitochondrial query	1	F_e33	APOE ε3/ε3	2	2	13	13	9	4	0	1.0	1	0.07692307692307693	0.001838112961967982	0.001838112961967982	2.7356278023885006	2.7356278023885006	supporting_tested
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	2	Excitatory_neurons	5	Excitatory neurons	#E69F00	FALSE	20	AD_up_mito	AD-up mitochondrial query	1	F_e4	APOE ε4	3	3	2	2	1	1	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	2	Excitatory_neurons	5	Excitatory neurons	#E69F00	FALSE	20	AD_up_mito	AD-up mitochondrial query	1	M_e2	APOE ε2	4	4	12	12	5	7	0	1.0	0	0.0	0.6038267385316949	0.6038267385316949	0.21908765954800455	0.21908765954800455	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	2	Excitatory_neurons	5	Excitatory neurons	#E69F00	FALSE	20	AD_up_mito	AD-up mitochondrial query	1	M_e33	APOE ε3/ε3	5	5	8	8	3	5	0	1.0	0	0.0	0.7126656928885802	0.7126656928885802	0.14711414726141	0.14711414726141	tested_zero_support
