SCNN1D	GALE
PRKAR2A-AS1	DNAJC14
PRKAR2A-AS1	SLC25A35
TCTA	C1GALT1C1L
BSN	CYP46A1
CAMKV	PDXP
CAMKV	MAPK8IP2
GNAI2	ASAP1
GNAI2	COPZ1
SEMA3B	IFIH1
SEMA3B	DNAH1
SEMA3B	AP5B1
IFRD2	C1orf35
TMEM115	ORMDL3
CACNA2D2	CPSF1
GRM2	ELFN2
PARP3	ADPRHL1
PARP3	INSYN1
PARP3	DECR2
GPR62	FAM181B
ABHD14A	ATP2B1-AS1
RPL29	RPS15
RPL29	TRAPPC5
RPL29	PRDX2
RPL29	THAP7
ALAS1	MEST
NT5DC2	AL928654.1
GNL3	TMEM251
GLT8D1	LINC01715
GLT8D1	MRPS18A
GLT8D1	GEMIN7-AS1
SPCS1	TOMM6
TKT	PHGDH
CHDH	HSD17B7
CHDH	SOAT1
CHDH	KCNIP3
CHDH	IL17RB
CHDH	NFKBIZ
CHDH	MRAS
CHDH	JADE2
CHDH	PRICKLE3
IL17RB	TRIP10
SELENOK	POLR2K
SELENOK	RNASEH2C
SELENOK	MRPS7
SELENOK	DHPS
SELENOK	TRAPPC6A
CACNA2D3	ARHGAP26
CACNA2D3	GALNT17
CACNA2D3	PIP5K1B
CACNA2D3	MYH10
CACNA2D3-AS1	CELF2-AS2
CACNA2D3-AS1	AC027288.3
LRTM1	LINC02231
ERC2	PHACTR1
ASB14	RPA3
ASB14	ANGPT2
ASB14	MALAT1
ASB14	ARAP1-AS2
ASB14	STARD13-AS
DENND6A-AS1	MIR4435-2HG
DENND6A-AS1	BMT2
DENND6A-AS1	CCDC65
FHIT	LINC02615
FHIT	FRK
FHIT	SLCO1A2
PTPRG	MAN1A1
PTPRG	PLXNA4
PTPRG	TRPM2
CADPS	OSBPL3
CADPS	FARP1
CADPS	UNC13C
SYNPR	LINC02613
SYNPR	PRRT4
SYNPR	SMO
SYNPR	ANK1
C3orf49	SPINK9
ADAMTS9-AS2	MAGI3
MAGI1-AS1	MTLN
MAGI1-AS1	ARHGEF38
MAGI1-AS1	ITPRID1
MAGI1-AS1	PPP1R17
MAGI1-AS1	NUDT13
TAFA1	OTOGL
TAFA1	AQP4-AS1
FOXP1-AS1	C5orf34
FOXP1-IT1	IMPG2
FOXP1-IT1	ZSCAN16
FOXP1-IT1	A2M-AS1
FOXP1-IT1	ZNF891
FOXP1-IT1	PGBD4
FOXP1-IT1	DHDH
LINC00877	POLR2F
LINC00870	RPP14
LINC00870	FILIP1
LINC00870	ERI2
LINC00870	CASS4
PDZRN3	LINC01237
LINC00960	ZNF436-AS1
ROBO2	RAVER2
ROBO2	DENND1B
ROBO2	RXFP1
ROBO2	CDH9
ROBO2	MCTP1
ROBO2	PCDH15
ROBO2	LINC02389
ROBO2	DOK6
CADM2-AS1	CADM2-AS2
CADM2-AS1	LDHAL6A
STX19	EFCAB14-AS1
EPHA6	IL1RAP
EPHA6	FZD3
ST3GAL6	SLC38A1
DCBLD2	ITPKB
DCBLD2	ST3GAL6
DCBLD2	ARSB
FILIP1L	KDM4A-AS1
FILIP1L	ARHGAP30
FILIP1L	RAPH1
FILIP1L	ENTPD3
FILIP1L	CRYGS
FILIP1L	CYP2U1
FILIP1L	CRYBG1
FILIP1L	SPDYE5
FILIP1L	INSYN2A
FILIP1L	BCL2L14
FILIP1L	FAM222A-AS1
FILIP1L	CRLF3
FILIP1L	L3MBTL2
LNP1	YAP1
LNP1	ATF5
TRMT10C	ZNF22
RPL24	RPL35
RPL24	SYNGR2
LINC01990	FUT8-AS1
MYH15	FCHSD1
MYH15	MACROD1
MYH15	CRHR1
CIP2A	PYCR3
TAGLN3	TTC9B
ZBTB20-AS1	NCKAP5-AS2
ZBTB20-AS1	HOXD3
ZBTB20-AS1	ZBTB20-AS3
ZBTB20-AS1	SMAD1-AS2
ZBTB20-AS1	LINC02507
ZBTB20-AS1	ALKBH3-AS1
ZBTB20-AS1	FBXW10
ZBTB20-AS1	LINC01535
ZBTB20-AS1	LENG9
ZBTB20-AS5	ANKUB1
ZBTB20-AS5	TMEM128
ZBTB20-AS5	SGMS2
ZBTB20-AS5	SHOC1
ZBTB20-AS5	PCDH9-AS4
ZBTB20-AS5	G2E3-AS1
ZBTB20-AS5	WWOX-AS1
ZBTB20-AS5	EFCAB13
ZBTB20-AS5	KIZ-AS1
ZBTB20-AS2	C4BPA
ZBTB20-AS2	ZEB2-AS1
ZBTB20-AS2	FSIP2
ZBTB20-AS2	SPDYE21P
ZBTB20-AS2	CC2D2B
ZBTB20-AS2	LINC01586
ZBTB20-AS3	MDFIC2
ZBTB20-AS3	AC006160.1
ZBTB20-AS4	AL121832.2
ZBTB20-AS4	GPR34
LSAMP-AS1	CPO
IGSF11-AS1	WASHC5-AS1
IGSF11-AS1	C10orf25
IGSF11-AS1	FAM90A1
IGSF11-AS1	ZNF233
IGSF11-AS1	RGL4
B4GALT4-AS1	DMC1
GPR156	PXT1
GPR156	EQTN
GPR156	SLC7A7
NDUFB4	ZFPL1
NDUFB4	RSL24D1
STXBP5L	PARM1
STXBP5L	NT5DC3
PARP9	DTX3L
PARP9	NLRC5
PARP9	FN3K
SEMA5B	TCTN2
ALDH1L1	RBM47
ALDH1L1	ELK1
KLF15	C1orf105
KLF15	PPM1K
KLF15	PDK4
KLF15	METTL7A
KLF15	EDA
PLXNA1	NYNRIN
EEFSEC	TMEM201
EEFSEC	NFU1
EEFSEC	TACR3
EEFSEC	EDRF1-DT
EEFSEC	AC004943.2
H1FX	HIST1H1C
COL6A6	CNMD
CPNE4	C3orf67-AS1
CPNE4	PTCHD1-AS
ACKR4	ARHGEF3-AS1
ACKR4	FREM3
RAB6B	STMN2
EPHB1	MREG
KY	ZNF554
MSL2	LMF2
SLC35G2	NPY
SLC35G2	SFRP4
SLC35G2	LINC02316
SLC35G2	FUT2
NCK1-DT	ZNF519
ESYT3	AFAP1L2
FAIM	ORAI2
RBP2	SLC5A9
RBP2	NAALADL2-AS2
RBP2	USP46-AS1
RBP1	LINC01983
RBP1	MAP2K4
CLSTN2	PCLO
RNF7	SVBP
RNF7	RBIS
RNF7	SMIM10L1
RNF7	POLE2
ATP1B3	PIR
GK5	DPY19L1
ZIC4	SEMA4G
ZIC1	TYMSOS
ANKUB1	AL139294.1
ANKUB1	NCKAP5-AS1
ANKUB1	MYCBP2-AS1
ANKUB1	SERPIND1
MED12L	DNAH7
MED12L	LINC01378
MED12L	LRRK2
MED12L	RPS6KA6
GPR149	LINC01289
LINC00881	CCNJL
LXN	MED4-AS1
LXN	ATP2A1
RARRES1	SLC18A2
RARRES1	SCEL
RARRES1	LINC01476
C3orf80	RTP5
C3orf80	MEPE
C3orf80	CALB1
C3orf80	AC125616.1
SPTSSB	CYP2E1
ZBBX	CFAP221
ZBBX	GPR19
ZBBX	NEIL1
SEC62-AS1	TSPOAP1-AS1
SEC62-AS1	GK-AS1
SLC7A14	ZSCAN30
SLC2A2	EIF5A2
FNDC3B	TRIM59
NCEH1	C11orf80
NLGN1	FIGN
NLGN1	ST3GAL6
NLGN1	CTNND2
NLGN1	HAGHL
NAALADL2	PROX1-AS1
NAALADL2	MYH15
NAALADL2	PPP2R2B
NAALADL2	CEP41
NAALADL2	DPH6
NAALADL2	HOOK2
NAALADL2	CEBPG
NAALADL2	LINC01285
NAALADL2-AS2	DNAJC9-AS1
KCNMB2	NEK10
KCNMB2	KIAA1211
KCNMB2	SIAH3
PIK3CA	HES4
PIK3CA	SOS1-IT1
PIK3CA	SEM1
PIK3CA	CRADD
PIK3CA	PRKD1
PIK3CA	C15orf41
GNB4	CENPJ
GNB4	KDELR3
PEX5L	PLB1
PEX5L	PANTR1
PEX5L	CADM2
PEX5L	KLHL8
PEX5L	MND1
PEX5L	LIFR
PEX5L	CHD7
PEX5L-AS1	SPDYE1
PEX5L-AS1	CEP76
PEX5L-AS1	USHBP1
PEX5L-AS2	LINC00534
PEX5L-AS2	MIR4300HG
LINC02053	CCDC148-AS1
LINC02053	LRTM1
LINC02053	YTHDF3-AS1
FXR1	SUGT1
DCUN1D1	AMT
DCUN1D1	BDNF
DCUN1D1	KIZ
B3GNT5	SRGAP2-AS1
B3GNT5	MEIS1-AS2
B3GNT5	GK-AS1
VWA5B2	ALS2CL
VWA5B2	CBARP
VWA5B2	PLK5
CAMK2N2	KIF17
TMEM41A	MEI1
ETV5	RCC2
ETV5	SPRED2
ETV5	TRUB2
DGKG	GAS2L3
DGKG	RYR3
DGKG	PITPNC1
BCL6	LMNA
BCL6	KLF6
BCL6	SHMT1
FGF12	ASTN1
FGF12	KCNQ5
FGF12	TAFA2
PLAAT1	SCARF1
ATP13A4	GDNF-AS1
ATP13A4	PGP
OPA1-AS1	RERE-AS1
OPA1-AS1	SEC62-AS1
OPA1-AS1	AP003392.1
OPA1-AS1	DOCK9-AS1
OPA1-AS1	LRRC9
OPA1-AS1	LCA5L
XXYLT1-AS2	SOX11
XXYLT1-AS2	GTF3C2-AS1
SLC51A	ERVH48-1
WDR53	ERF
WDR53	LINC00237
NCBP2AS2	ZNRD1
NCBP2AS2	NDUFA8
MELTF-AS1	ACD
RPL35A	RPL12
RPL35A	SRPRA
CPLX1	PRR36
C4orf48	B2M
C4orf48	NDUFS7
NOP14-AS1	RTCA-AS1
HTT-AS	IGFL2
LRPAP1	HDHD3
TMEM128	DDR1
CRMP1	CCND2
JAKMIP1	PXDN
PPP2R2C	LINC01344
PPP2R2C	PYROXD2
MRFAP1	HNRNPH2
CLNK	SLC26A3
CLNK	LINC01609
CLNK	LINC01504
CLNK	GPC5-AS1
CPEB2-DT	TMEM185A
TAPT1-AS1	LINC02199
TAPT1-AS1	ZBTB44-DT
LDB2	DAB1
QDPR	CXCR4
QDPR	DLL1
QDPR	CTF1
LCORL	NPDC1
LCORL	IZUMO4
LCORL	PMM1
KCNIP4	CDHR3
KCNIP4-IT1	GSG1L
LINC02473	CAPN3
LGI2	KMO
SEPSECS-AS1	PPP1R12A-AS1
SEL1L3	NHSL2
PCDH7	RASSF3
NSUN7	OVCH1-AS1
NSUN7	NATD1
NSUN7	MYO1F
NSUN7	SMC1B
UCHL1	RPRML
KCTD8	ENPP6
KCTD8	PREX2
GNPDA2	PIGA
GABRA4	PRKAR2B
GABRB1	SNX7
GABRB1	CTNNA2
GABRB1	SLC4A4
GABRB1	SAMD5
GABRB1	KCNQ3
CORIN	BRMS1L
TXK	ITPRIPL2
TEC	FAM169B
OCIAD1-AS1	WDFY3-AS1
OCIAD1-AS1	LACTB2-AS1
OCIAD1-AS1	C9orf57
OCIAD1-AS1	SMAD9-IT1
OCIAD1-AS1	CEACAM1
OCIAD1-AS1	BICRA-AS1
OCIAD1-AS1	LIPI
OCIAD1-AS1	MIR155HG
LNX1	FAM163A
LNX1-AS1	GRM5-AS1
SRD5A3-AS1	CCDC181
SRD5A3-AS1	CAPN9
SRD5A3-AS1	TMPRSS9
SRD5A3-AS1	C21orf58
PAICS	UBXN8
HOPX	PSME2
LINC02271	RGL4
UBA6-AS1	TMPRSS11A
GNRHR	TMPRSS11D
ADAMTS3	LINC01202
ADAMTS3	ADTRP
ADAMTS3	PTPRQ
ODAPH	TPTE2
FAM47E	C9orf170
FRAS1	ARHGAP18
FRAS1	SNX10
FRAS1	LINC01551
THAP9-AS1	GOLT1B
COPS4	ZNF17
ABRAXAS1	ACSBG2
WDFY3-AS1	LYPLAL1-AS1
WDFY3-AS1	MAP3K19
MEPE	TMEM191C
PYURF	ECH1
SNCA	TFDP2
CCSER1	ZNF804A
PDLIM5	KBTBD12
PDLIM5	B4GALT7
PDLIM5	MCM8
UNC5C	PRKCQ-AS1
UNC5C	RAD51B
UNC5C	E2F4
STPG2	PIGK
STPG2-AS1	LINC00910
TRMT10A	GSDMB
H2AFZ	RCAN2
H2AFZ	BTG1
EMCN	LINC01771
UBE2D3-AS1	PLOD1
SLC9B1	GACAT3
SLC9B1	NEK3
ARHGEF38	CTSZ
INTS12	ANGPTL7
INTS12	NLGN1-AS1
GSTCD	ZNF839
SGMS2	MYCBP
SGMS2	CKMT2
SGMS2	PPP3CB-AS1
SGMS2	TOM1L1
CYP2U1	SEMA4C
CYP2U1	TMEM134
RPL34	BEND5
RPL34	RPL9
ARSJ	TXK
PRSS12	ADGRF5
PRSS12	IGF1
SYNPO2	EPHX4
SYNPO2	GLDC
SYNPO2	LINC02636
SYNPO2	MYBPC1
SYNPO2	RAI2
SYNPO2	HS6ST2
PDE5A	CD302
PDE5A	SLCO1B1
HSPA4L	PDXK
LINC02615	CCDC50
SCOC	ERMN
SCOC	PPP1R10
SCOC	GNG10
SCOC	FAIM2
SCOC-AS1	LYPLAL1-DT
SCOC-AS1	TMEM254-AS1
CLGN	STK36
RNF150	CACNB4
FREM3	CYP3A7
HHIP-AS1	CSMD2-AS1
HHIP-AS1	RBM4B
HHIP	DUSP10
HHIP	LINC01411
HHIP	GPR37
HHIP	NINJ2
HHIP	LRP6
SMAD1-AS2	LPP-AS1
MMAA	METAP1D
MMAA	SCRN3
MMAA	KCTD18
MMAA	LINC01030
MMAA	ZNF34
MMAA	TMEM254
MMAA	RPUSD4
MMAA	EEF1AKMT3
MMAA	TMED8
MMAA	ADAL
MMAA	FGF7
MMAA	CENPBD1
MMAA	ZNF627
MMAA	ZNF280B
RPS3A	RPL7
PRSS48	ZFP57
GUCY1A1	LRATD1
GUCY1A1	PVT1
GUCY1A1	KITLG
TMEM144	NECAB1
TMEM144	PALM2-AKAP2
RXFP1	STEAP2-AS1
C4orf46	DSN1
PPID	ITPR1-DT
C4orf45	SLFNL1
C4orf45	SPIN2B
TRIM61	LHX4
TRIM61	ZBTB12
TRIM61	PYM1
MSMO1	FDPS
MSMO1	HMGCS1
MSMO1	HMGCR
MSMO1	ACAT2
MSMO1	FDFT1
MSMO1	SQLE
MSMO1	IDI1
MSMO1	LDLR
GALNTL6	SLITRK4
HMGB2	CATSPERG
GPM6A	ZDHHC22
LINC01098	LINC01099
LINC00290	TENM3-AS1
ING2	GREB1L
LINC02427	C8orf37-AS1
PRIMPOL	TRDMT1
CCDC110	PHLDB3
SORBS2	SUSD4
SORBS2	DPP10
SORBS2	PARP8
SORBS2	SMAD3
MRPL36	BLOC1S4
NDUFS6	TMEM246
NDUFS6	EIF4A3
ADAMTS16	KCNQ1DN
MED10	SBF2-AS1
MED10	RANGRF
UBE2QL1	DISP2
ADCY2	ANKRD30BL
ADCY2	PLCB4
ADCY2	TENM1
LINC02199	ALAS1
ATPSCKMT	MED9
CCT5	CDC26
CCT5	LLPH
ROPN1L	TMEM86B
ANKRD33B	RUNX1T1
DAP	MDS2
CTNND2	SSH3
OTULINL	LINC00621
OTULINL	SPRY3
MYO10	LNX2
MYO10	LPCAT2
BASP1	RAB6B
CDH18	CHL1
CDH18	GLRA3
CDH18	CDH12
CDH18	LINC02552
CDH12	EPHA5-AS1
CDH9	COL11A1
CDH9	NDST3
CDH9	ABHD2
TARS	LINC02680
ADAMTS12	KANK4
TTC23L	LRIG2-DT
TTC23L	MIS12
PRLR	NUTM1
SPEF2	LMLN
SLC1A3	GBE1
SLC1A3	GNB5
SLC1A3	IQCN
LIFR-AS1	GEN1
LIFR-AS1	CTSO
LIFR-AS1	LINC01277
LIFR-AS1	SEPTIN7-AS1
LIFR-AS1	SLC39A14
LIFR-AS1	FAM227B
LIFR-AS1	TST
PLCXD3	PTCHD4
PLCXD3	CHRM2
PLCXD3	PCDH11X
SELENOP	ADO
MRPS30-DT	RNLS
HCN1	CERS6
MOCS2	CNN2
SMIM15-AS1	LINC01445
RGS7BP	PHTF1
RGS7BP	HTR2A
AK6	METTL21A
TAF9	COA6-AS1
SERF1A	ZAP70
SERF1A	SMN2
SERF1A	ZNF300
SERF1A	PCBP2-OT1
SMN1	GET4
SMN1	HEXD-IT1
GTF2H2	GTF2H2C
BTF3	ILF2
BTF3	BZW1
BTF3	H3F3B
HEXB	SH3BP5-AS1
ANKRD31	CFAP70
HMGCR	STARD4
LHFPL2	RCC1
LHFPL2	DISP1
LHFPL2	DHFR
LHFPL2	LASP1
LHFPL2	TMEM164
BHMT2	AL137789.1
ZFYVE16	THAP9-AS1
FAM151B	LRRN1
FAM151B	BET1
FAM151B	KCTD14
FAM151B	CFAP161
FAM151B	MIA
FAM151B	TCP10L
DHFR	QDPR
DHFR	TSPYL4
RASGRF2-AS1	RSPO4
RASGRF2	LINC00609
ATG10	ZNF189
RPS23	RPS8
RPS23	RPL30
RPS23	RPL8
RPS23	RPL38
COX7C	COPS9
COX7C	MRPL17
COX7C	MRPL51
COX7C	NDUFB11
MEF2C	LSM11
MEF2C	PLAGL1
MEF2C	ELMOD1
MEF2C	MGAT4C
MEF2C-AS1	CAMK4
MEF2C-AS1	ADAMTSL1
ADGRV1	NHSL1
LUCAT1	PRELID3A
ARRDC3	TAF6L
NR2F1-AS1	NTNG1
NR2F1-AS1	COBLL1
NR2F1-AS1	LINC02223
NR2F1-AS1	VSTM2A-OT1
NR2F1-AS1	SLC2A13
POU5F2	LINC02284
KIAA0825	GEN1
MCTP1	SYT1
RHOBTB3	MEIOB
LIX1-AS1	LINC01340
LIX1-AS1	DACT3-AS1
FAM174A	EEF2K
PAM	PTPN3
EFNA5	FLRT2
MAN2A1	LDLRAP1
MAN2A1	ST6GALNAC3
MAN2A1	LRP2
MAN2A1	SNX24
MAN2A1	SOBP
MAN2A1	PCSK6
MAN2A1	MAP2K6
CAMK4	STXBP5-AS1
CAMK4	MYO16
TICAM2	LINC00862
LVRN	PVR
SEMA6A-AS1	DENND6A-AS1
SEMA6A-AS1	SLC7A14
SEMA6A-AS1	PEX5L-AS1
SEMA6A-AS1	TTC23L
SEMA6A-AS1	LINC01470
SEMA6A-AS1	GCNT1
SEMA6A-AS1	ECM2
SEMA6A-AS1	LRRTM3
SEMA6A-AS1	CPB2
DTWD2	NPHP4
PRDM6	VEGFD
LINC01170	SUMF1
LINC01170	SRD5A3
LINC01170	SQSTM1
LINC01170	LINC00907
LINC01170	CD226
LINC01170	IL13RA1
GRAMD2B	GALNT13
GRAMD2B	ABCB6
GRAMD2B	LRRCC1
GRAMD2B	TMEM216
GRAMD2B	NEAT1
GRAMD2B	PPFIA2
GRAMD2B	NUPR1
GRAMD2B	ZDHHC9
TEX43	GOLPH3L
TEX43	CLN6
LMNB1	LINC02398
CCDC192	TIMP3
CHSY3	VAV3
CHSY3	PDZRN4
IRF1	PSMB8
IRF1	PSMB9
IRF1	TAP1
IRF1	C11orf96
TH2LCRR	TCF7
TH2LCRR	GOLGA6L7
TH2LCRR	UBOX5-AS1
SOWAHA	AC074117.1
SOWAHA	MARS2
SOWAHA	PAK1
SOWAHA	ARMC7
UQCRQ	TAS2R4
UQCRQ	VPS28
UQCRQ	RPS26
LEAP2	MFAP1
FSTL4	LINC02306
TCF7	FBXO6
TCF7	SNED1
JADE2	TIAM2
JADE2	PPFIBP2
JADE2	HSD17B1
JADE2	BCR
C5orf66	ALKAL2
C5orf66	TMPRSS12
C5orf66	SKAP1
PKD2L2	SLC10A1
CDC25C	PCDHGB7
CDC25C	TMEM186
CDC25C	PTGIS
REEP2	GRASP
REEP2	SRC
EGR1	KLF10
MATR3	CEMIP2
SPATA24	COMTD1
SPATA24	HNRNPA1P48
NRG2	KLHL23
IK	NCL
PCDHA1	PCDHA6
TAF7	SNHG3
PCDHGA1	GPR146
PCDHGB6	PCDHGA6
PCDHGB7	PCDHGA12
FCHSD1	PIDD1
KCTD16	LDB2
KCTD16	JHY
PPP2R2B	SUCLG2
PPP2R2B	CTNNAL1
PPP2R2B	SIK3
PPP2R2B-IT1	PRIMPOL
JAKMIP2-AS1	TACR1
JAKMIP2-AS1	LINC02053
JAKMIP2-AS1	BOLA2B
JAKMIP2-AS1	ITCH-AS1
JAKMIP2-AS1	ANKRD62P1-PARP4P3
MARCOL	SPINK5
MARCOL	FAT2
MARCOL	MMP19
MARCOL	LINC01567
SPINK13	LINC02805
SPINK13	IGSF11-AS1
SPINK13	SLC9A9-AS1
SPINK13	GJB7
SPINK13	GAU1
SH3TC2-DT	NCK1-DT
SH3TC2-DT	PLGRKT
SH3TC2-DT	LINC02324
SH3TC2-DT	TMED8
GRPEL2-AS1	FLT1
GRPEL2-AS1	FAM117A
GRPEL2-AS1	CBS
PCYOX1L	PCSK4
TIGD6	MRPL21
ARSI	TMEM244
RPS14	PARK7
RPS14	RPL5
RPS14	DDX18
RPS14	RRAGA
NDST1-AS1	SOX1-OT
NDST1-AS1	ATP2C2
SYNPO	NEUROD2
ANXA6	MAP3K8
ANXA6	C1QL1
NMUR2	OVOL3
LINC01470	NMUR2
GRIA1	PID1
SOX30	FOXO3B
EBF1	LAT2
EBF1	RNF43
ADRA1B	HRH1
GABRB2	NR2F1-AS1
GABRB2	XKR4
GABRB2	ARHGAP20
GABRB2	NETO1
GABRA6	DIRAS3
GABRA6	PDGFB
GABRA1	CHN1
GABRG2	HOOK1
GABRG2	GAP43
GABRG2	RNF175
GABRG2	CPE
GABRG2	ENC1
CCNG1	ADAMTS14
NUDCD2	ARF4-AS1
NUDCD2	PSMB10
TENM2	ST6GALNAC5
TENM2	PDZRN3
TENM2	CPNE4
TENM2	OXR1
TENM2	NELL1
TENM2	SLC22A10
TENM2	PTPRR
TENM2	SRRM4
TENM2	PTPRT
SH3PXD2B	EEPD1
SH3PXD2B	STAT3
SH3PXD2B	LONRF3
RPL26L1	MFSD3
NSG2	GAD1
NSG2	SCG2
NSG2	PLK2
NSG2	DPYSL3
NSG2	VIP
NSG2	CLSTN3
NSG2	PLPPR3
NSG2	ATP1A3
NSG2	SYP
HRH2	KCNC4
HRH2	NGEF
HRH2	SLC9A5
CPLX2	PPP1R37
UNC5A	ALS2CL
UNC5A	FBXL16
PRELID1	MICOS10
PRR7	ZNF510
PRR7	NOMO3
PDLIM7	CRHR2
PDLIM7	SLC2A6
PDLIM7	SPRN
PDLIM7	PLXDC1
DDX41	MLF2
FAM153CP	KIAA1522
FAM153CP	CDYL2
FAM153CP	ADAMTS10
FAM153CP	MEIS3
FAM153CP	HSD17B14
FAM153CP	HUNK
NHP2	PREB
NHP2	TOMM22
ZFP2	EPHB1
ZFP2	SMIM15-AS1
CBY3	FKBP6
CBY3	LYVE1
CBY3	TMC4
CBY3	APCDD1L
SQSTM1	MRPS16
MGAT1	RANBP6
MGAT1	CABCOCO1
MGAT1	LINC00332
MGAT1	GTPBP6
RACK1	EIF2S2
GMDS-DT	IMMP1L
BPHL	THBS3
TUBB2A	ZNF180
SLC22A23	SPSB1
SLC22A23	PRIMA1
FAM50B	ZFAT
FAM217A	B4GALT4-AS1
FAM217A	LINC00881
LY86-AS1	LINC01811
SNRNP48	PNRC1
SNRNP48	ALG2
BMP6	TRPM4
TMEM14C	COPS6
TMEM14C	SAC3D1
MAK	NR1I3
MAK	SPDYA
MAK	CAV3
MAK	OIP5
HIVEP1	SLC6A15
NHLRC1	CDPF1
MBOAT1	TNFRSF21
MBOAT1	RASGRF1
MBOAT1	COL18A1
E2F3	ST6GAL2
CASC15	RYR2
KIAA0319	ALDH1L1
RIPOR2	LAMC1
CARMIL1	CACHD1
CARMIL1	DGKB
CARMIL1	CADPS2
CARMIL1	CBLN2
HIST1H2AC	HIST1H2BC
HIST1H2BD	HIST2H2BF
HIST1H2BD	HIST1H2AC
BTN3A2	PCDHB7
LINC00240	AQP11
ZSCAN16	LINC01772
ZSCAN16	MXD3
ZSCAN16	SUMO4
ZSCAN16	C9orf64
ZSCAN16	TTLL13P
ZSCAN16	LINC01909
ZSCAN16	CCDC97
ZSCAN16	CSTF2
ZSCAN23	MEIG1
ZFP57	IDH1-AS1
ZFP57	PLET1
HCG18	EFCAB2
HCG18	PUS10
HCG18	HCG17
HCG18	HSCB
CSNK2B	TIMM17B
CSNK2B	HSD17B10
LSM2	TJP3
HSPA1L	SRSF12
HSPA1L	C8orf88
HSPA1L	CLN3
HSPA1B	HSPA1A
HSPA1B	HSPB1
HSPA1B	DPYSL4
HSPA1B	DNAJB1
EHMT2-AS1	LARGE-AS1
DXO	SNHG17
PRRT1	TPRG1L
PRRT1	RHBDD2
PRRT1	PNMA6A
AGPAT1	GPS1
RNF5	TMED4
RNF5	COASY
TSBP1-AS1	LINC01505
TAP2	SULT1A3
SLC39A7	TWF2
HSD17B8	RNASE4
HCG25	DNAJC19
RPS18	RPS24
RPS18	DOHH
PFDN6	NDUFS8
PFDN6	DDX24
ZBTB22	LBHD1
SYNGAP1	EGFR
GRM4	CACNG4
PACSIN1	LINC02607
PACSIN1	TMEM130
PACSIN1	PIANP
PACSIN1	PAK6
SCUBE3	MEOX1
SCUBE3	CXCL17
FKBP5	CTBS
FKBP5	NPTX2
FKBP5	CHST3
FKBP5	ZNF652
BRPF3	SELE
PNPLA1	RNF227
CPNE5	CFAP74
CPNE5	SPTBN2
CPNE5	PDE1B
CPNE5	BEGAIN
MTCH1	NLGN1
MTCH1	HNRNPDL
MTCH1	TUBB2B
MTCH1	FABP5
MTCH1	CUEDC1
MTCH1	DDX5
MTCH1	ZNF781
MTCH1	NCAM2
KIF6	SLC3A2
KIF6	APCDD1
LRFN2	WWC1
LRFN2	RTN4RL1
APOBEC2	RNASEH2B-AS1
NFYA	THAP4
NFYA	ZBTB3
TOMM6	SCRG1
TOMM6	COX6C
TBCC	TUSC1
C6orf226	CCDC28B
C6orf226	CFAP57
C6orf226	POP5
C6orf226	SERPINE3
C6orf226	ACOT2
C6orf226	PPP1R1B
C6orf226	GPR82
C6orf226	EBP
CNPY3	CAPN10
MRPL2	TIGD6
MRPL2	LINC00707
MRPL2	ALKBH2
MRPL2	MRPL52
MRPL2	TBL3
MRPL2	POLR2C
MRPL2	LDHD
MRPL2	CISD3
MRPL2	MRPL10
PTK7	PSMD6-AS1
PTK7	FER1L6-AS2
YIPF3	POLE3
POLH-AS1	PDZK1
MRPS18A	ZNF581
MRPL14	TRMT10C
MRPL14	ISCA2
SLC29A1	DLX1
SLC29A1	SLC4A3
SLC29A1	RTN4RL2
SLC29A1	CCDC144NL-AS1
TMEM151B	ANO1
TMEM151B	NNAT
TMEM151B	PNMA3
PTCHD4	THSD7B
PTCHD4	FAM110B
TRAM2	HELB
TRAM2	SYNM
GSTA4	PALM2-AKAP2
GSTA4	LINC01285
LRRC1	SLC22A23
LRRC1	CTBP2
ZNF451-AS1	C1orf131
ZNF451-AS1	LINC00960
ZNF451-AS1	SH3PXD2A-AS1
ZNF451-AS1	ZNF565
ZNF451-AS1	TGFB1
BAG2	C2orf69
BAG2	TPH1
BAG2	KCNJ2
COL19A1	LRMP
COL19A1	HS6ST2
KCNQ5	TNR
KCNQ5	PLXNA2
KHDC1	MORN4
SLC17A5	ATP1B3
SLC17A5	LMNB1
CD109	PCYOX1L
SNAP91	WDR17
CFAP206	ARHGEF33
PNRC1	RFLNA
SRSF12	CCDC38
RRAGD	SERPINH1
NDUFAF4	ANKDD1B
KLHL32	LINC02073
MMS22L	CXXC4-AS1
FAXC	CDS1
PNISR	PAQR6
PNISR	CCNA2
PNISR	CCDC62
PNISR	AC051619.4
PNISR	ZNF808
PNISR	ZNF761
CCNC	HMGN1
MCHR2	GCNT4
GRIK2	MSC-AS1
LIN28B-AS1	CDK5R1
PRDM1	CDC42EP3
CRYBG1	TIGD1
SOBP	ZDHHC14
SLC22A16	SLC15A1
GTF3C6	OXLD1
MFSD4B	BTD
TRAF3IP2	ITFG2-AS1
TRAF3IP2	SP2-AS1
LAMA4	FANCD2
LAMA4	UNC5CL
LAMA4	IRAK4
LAMA4	PPP4R1-AS1
FRK	FAM124A
NT5DC1	FRK
NT5DC1	CNKSR3
NT5DC1	RELT
SLC35F1	RXFP1
SLC35F1	IL1RAPL2
PLN	LCP1
CLVS2	ELAVL4
CLVS2	ERICH3
