schema_version	broad_network	driver	complex_v_target	qualifying_calls	ad_up_calls	ad_down_calls	fine_cell_types	shortest_path_distance	shortest_path	driver_in_degree	driver_out_degree	driver_total_degree	driver_degree_percentile	run_ids
phase12_kda_network_figures_v1	Inhibitory_neurons	PGAM1	ATP5F1B	1	0	1	1	1	PGAM1;ATP5F1B	1	14	15	0.9905000521975154	primary_Inh_RYR3_TSHZ2_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	RPLP1	ATP5F1E	6	1	5	3	3	RPLP1;RPS15;COX7C;ATP5F1E	1	6	7	0.953857396387932	primary_Inh_L3_5_SST_MAFB_M_e2_AD_down_mito;primary_Inh_LAMP5_NRG1_Rosehip_F_e4_AD_down_mito;primary_Inh_LAMP5_NRG1_Rosehip_M_e2_AD_down_mito;primary_Inh_PVALB_HTR4_F_e2_AD_up_mito;primary_Inh_PVALB_HTR4_M_e2_AD_down_mito;primary_Inh_PVALB_HTR4_M_e4_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	RPS15	ATP5F1E	6	1	5	4	2	RPS15;COX7C;ATP5F1E	1	17	18	0.9946758534293768	primary_Inh_ENOX2_SPHKAP_M_e2_AD_down_mito;primary_Inh_L3_5_SST_MAFB_M_e2_AD_down_mito;primary_Inh_LAMP5_NRG1_Rosehip_F_e4_AD_down_mito;primary_Inh_LAMP5_NRG1_Rosehip_M_e2_AD_down_mito;primary_Inh_PVALB_HTR4_F_e2_AD_up_mito;primary_Inh_PVALB_HTR4_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	RPS15	ATP5PF	6	0	6	4	3	RPS15;COX7C;LAMTOR5;ATP5PF	1	17	18	0.9946758534293768	primary_Inh_CUX2_MSR1_M_e2_AD_down_mito;primary_Inh_L3_5_SST_MAFB_M_e2_AD_down_mito;primary_Inh_LAMP5_NRG1_Rosehip_F_e4_AD_down_mito;primary_Inh_LAMP5_NRG1_Rosehip_M_e2_AD_down_mito;primary_Inh_LAMP5_NRG1_Rosehip_M_e4_AD_down_mito;primary_Inh_PVALB_SULF1_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Microglia	RPL11	ATP5F1E	1	0	1	1	2	RPL11;RPS6;ATP5F1E	0	14	14	0.9848576620230164	primary_Mic_P2RY12_M_e4_AD_down_mito
phase12_kda_network_figures_v1	Microglia	RPL32	ATP5F1E	1	0	1	1	2	RPL32;RPS6;ATP5F1E	0	6	6	0.9538158691701999	primary_Mic_P2RY12_M_e4_AD_down_mito
phase12_kda_network_figures_v1	OPCs	ANKRD11	ATP5IF1	1	0	1	1	3	ANKRD11;FTL;GAPDH;ATP5IF1	1	27	28	0.9955146078312522	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	ANKRD11	ATP5MC3	1	0	1	1	3	ANKRD11;FTL;ITM2B;ATP5MC3	1	27	28	0.9955146078312522	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	ANKRD11	ATP5PF	1	0	1	1	3	ANKRD11;FTL;ITM2B;ATP5PF	1	27	28	0.9955146078312522	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	FTL	ATP5IF1	1	0	1	1	2	FTL;GAPDH;ATP5IF1	1	30	31	0.9962419687234816	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	FTL	ATP5MC3	1	0	1	1	2	FTL;ITM2B;ATP5MC3	1	30	31	0.9962419687234816	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	FTL	ATP5PF	1	0	1	1	2	FTL;ITM2B;ATP5PF	1	30	31	0.9962419687234816	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	GAPDH	ATP5IF1	1	0	1	1	1	GAPDH;ATP5IF1	2	14	16	0.9870287307552431	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	ITM2B	ATP5MC3	1	0	1	1	1	ITM2B;ATP5MC3	1	29	30	0.9959995150927385	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	ITM2B	ATP5PF	1	0	1	1	1	ITM2B;ATP5PF	1	29	30	0.9959995150927385	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	PKM	ATP5IF1	1	0	1	1	2	PKM;GAPDH;ATP5IF1	1	5	6	0.9488422839132016	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	RPL18	ATP5MC2	1	0	1	1	2	RPL18;RPL28;ATP5MC2	1	16	17	0.9884834525397018	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	RPL18	ATP5MG	1	0	1	1	3	RPL18;RPLP1;RPL23A;ATP5MG	1	16	17	0.9884834525397018	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	RPLP1	ATP5MG	1	0	1	1	2	RPLP1;RPL23A;ATP5MG	2	28	30	0.9959995150927385	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	RPS15	ATP5MC1	1	1	0	1	1	RPS15;ATP5MC1	0	28	28	0.9955146078312522	primary_OPC_F_e33_AD_up_mito
phase12_kda_network_figures_v1	OPCs	RPS15	ATP5MC2	2	1	1	1	3	RPS15;RPL18;RPL28;ATP5MC2	0	28	28	0.9955146078312522	primary_OPC_F_e33_AD_up_mito;primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	OPCs	RPS15	ATP5MG	1	0	1	1	3	RPS15;RPLP1;RPL23A;ATP5MG	0	28	28	0.9955146078312522	primary_OPC_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Oligodendrocytes	RPL11	ATP5MC2	1	0	1	1	3	RPL11;RPL8;RPL28;ATP5MC2	0	11	11	0.9804639804639804	primary_Oli_M_e2_AD_down_mito
