schema_version	broad_network	key_driver	mean_of_log_score	mean_of_log_score_standardized	ranking_runs	eligible_directional_runs	ranking_coverage_fraction	primary_directional_significant_runs	primary_directional_recurrence_fraction	mtDNA_encoded	in_degree	out_degree	total_degree	degree_percentile	node_size_area
phase12_kda_network_figures_v1	Excitatory_neurons	ACO2	0.0457654739620486	0.00872010633636332	133	133	1.0	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	RAB3GAP1	0.0456885292473293	0.00870544536956267	133	133	1.0	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	CLUH	0.0456574199607853	0.00869951783810223	123	133	0.924812030075188	0	0.0	FALSE	1	4	5	0.8979982760272005	144.0
phase12_kda_network_figures_v1	Excitatory_neurons	S100A6	0.04563318987162	0.00869490106183467	113	133	0.849624060150376	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	TFAM	0.0455472688533294	0.0086785297593842	118	133	0.887218045112782	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	KCTD3	0.045516043976788	0.00867258020352455	126	133	0.947368421052632	0	0.0	FALSE	1	3	4	0.849918590173355	121.0
phase12_kda_network_figures_v1	Excitatory_neurons	SYT4	0.0454384141354969	0.00865778869341159	133	133	1.0	0	0.0	FALSE	2	2	4	0.849918590173355	121.0
phase12_kda_network_figures_v1	Excitatory_neurons	UBR1	0.0452970899749222	0.00863086093321555	133	133	1.0	0	0.0	FALSE	2	8	10	0.9808447466717747	289.0
phase12_kda_network_figures_v1	Excitatory_neurons	MIGA1	0.0452407025398352	0.0086201169293317	133	133	1.0	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	PGM2L1	0.0451783787033474	0.0086082418096309	133	133	1.0	0	0.0	FALSE	2	2	4	0.849918590173355	121.0
