schema_version	query_order	query_id	background_id	contrast_id	broad_cell_type	group_id	sex	apoe_group	deg_tier	tier_order	tier_role	query_mode	query_mode_order	structural_status	structurally_available	query_size	upregulated_query_genes	downregulated_query_genes	query_status
broad_deg_pathway_ora_query_manifest_v1	46	Astrocytes::AD_vs_NCI__Male__e4::strict::AD_any_mito	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	strict	1	confirmatory_thresholded_companion	AD_any_mito	1	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	47	Astrocytes::AD_vs_NCI__Male__e4::strict::AD_up_mito	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	strict	1	confirmatory_thresholded_companion	AD_up_mito	2	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	48	Astrocytes::AD_vs_NCI__Male__e4::strict::AD_down_mito	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	strict	1	confirmatory_thresholded_companion	AD_down_mito	3	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	49	Astrocytes::AD_vs_NCI__Male__e4::relaxed::AD_any_mito	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	relaxed	2	prespecified_sensitivity	AD_any_mito	1	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	50	Astrocytes::AD_vs_NCI__Male__e4::relaxed::AD_up_mito	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	relaxed	2	prespecified_sensitivity	AD_up_mito	2	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	51	Astrocytes::AD_vs_NCI__Male__e4::relaxed::AD_down_mito	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	relaxed	2	prespecified_sensitivity	AD_down_mito	3	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	52	Astrocytes::AD_vs_NCI__Male__e4::exploratory::AD_any_mito	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	exploratory	3	hypothesis_generation_only	AD_any_mito	1	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	53	Astrocytes::AD_vs_NCI__Male__e4::exploratory::AD_up_mito	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	exploratory	3	hypothesis_generation_only	AD_up_mito	2	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	54	Astrocytes::AD_vs_NCI__Male__e4::exploratory::AD_down_mito	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	exploratory	3	hypothesis_generation_only	AD_down_mito	3	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	55	Excitatory_neurons::AD_vs_NCI__Female__e2::strict::AD_any_mito	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	Female	e2	strict	1	confirmatory_thresholded_companion	AD_any_mito	1	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	56	Excitatory_neurons::AD_vs_NCI__Female__e2::strict::AD_up_mito	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	Female	e2	strict	1	confirmatory_thresholded_companion	AD_up_mito	2	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	57	Excitatory_neurons::AD_vs_NCI__Female__e2::strict::AD_down_mito	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	Female	e2	strict	1	confirmatory_thresholded_companion	AD_down_mito	3	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	58	Excitatory_neurons::AD_vs_NCI__Female__e2::relaxed::AD_any_mito	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	Female	e2	relaxed	2	prespecified_sensitivity	AD_any_mito	1	validated_complete	TRUE	1	0	1	query_below_minimum
broad_deg_pathway_ora_query_manifest_v1	59	Excitatory_neurons::AD_vs_NCI__Female__e2::relaxed::AD_up_mito	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	Female	e2	relaxed	2	prespecified_sensitivity	AD_up_mito	2	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	60	Excitatory_neurons::AD_vs_NCI__Female__e2::relaxed::AD_down_mito	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	Female	e2	relaxed	2	prespecified_sensitivity	AD_down_mito	3	validated_complete	TRUE	1	0	1	query_below_minimum
broad_deg_pathway_ora_query_manifest_v1	61	Excitatory_neurons::AD_vs_NCI__Female__e2::exploratory::AD_any_mito	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	Female	e2	exploratory	3	hypothesis_generation_only	AD_any_mito	1	validated_complete	TRUE	1	0	1	query_below_minimum
broad_deg_pathway_ora_query_manifest_v1	62	Excitatory_neurons::AD_vs_NCI__Female__e2::exploratory::AD_up_mito	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	Female	e2	exploratory	3	hypothesis_generation_only	AD_up_mito	2	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	63	Excitatory_neurons::AD_vs_NCI__Female__e2::exploratory::AD_down_mito	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	Female	e2	exploratory	3	hypothesis_generation_only	AD_down_mito	3	validated_complete	TRUE	1	0	1	query_below_minimum
broad_deg_pathway_ora_query_manifest_v1	64	Excitatory_neurons::AD_vs_NCI__Female__e33::strict::AD_any_mito	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	Female	e33	strict	1	confirmatory_thresholded_companion	AD_any_mito	1	validated_complete	TRUE	2	2	0	query_below_minimum
broad_deg_pathway_ora_query_manifest_v1	65	Excitatory_neurons::AD_vs_NCI__Female__e33::strict::AD_up_mito	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	Female	e33	strict	1	confirmatory_thresholded_companion	AD_up_mito	2	validated_complete	TRUE	2	2	0	query_below_minimum
broad_deg_pathway_ora_query_manifest_v1	66	Excitatory_neurons::AD_vs_NCI__Female__e33::strict::AD_down_mito	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	Female	e33	strict	1	confirmatory_thresholded_companion	AD_down_mito	3	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	67	Excitatory_neurons::AD_vs_NCI__Female__e33::relaxed::AD_any_mito	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	Female	e33	relaxed	2	prespecified_sensitivity	AD_any_mito	1	validated_complete	TRUE	2	2	0	query_below_minimum
broad_deg_pathway_ora_query_manifest_v1	68	Excitatory_neurons::AD_vs_NCI__Female__e33::relaxed::AD_up_mito	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	Female	e33	relaxed	2	prespecified_sensitivity	AD_up_mito	2	validated_complete	TRUE	2	2	0	query_below_minimum
broad_deg_pathway_ora_query_manifest_v1	69	Excitatory_neurons::AD_vs_NCI__Female__e33::relaxed::AD_down_mito	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	Female	e33	relaxed	2	prespecified_sensitivity	AD_down_mito	3	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	70	Excitatory_neurons::AD_vs_NCI__Female__e33::exploratory::AD_any_mito	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	Female	e33	exploratory	3	hypothesis_generation_only	AD_any_mito	1	validated_complete	TRUE	7	7	0	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	71	Excitatory_neurons::AD_vs_NCI__Female__e33::exploratory::AD_up_mito	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	Female	e33	exploratory	3	hypothesis_generation_only	AD_up_mito	2	validated_complete	TRUE	7	7	0	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	72	Excitatory_neurons::AD_vs_NCI__Female__e33::exploratory::AD_down_mito	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	Female	e33	exploratory	3	hypothesis_generation_only	AD_down_mito	3	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	73	Excitatory_neurons::AD_vs_NCI__Female__e4::strict::AD_any_mito	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons	F_e4	Female	e4	strict	1	confirmatory_thresholded_companion	AD_any_mito	1	validated_complete	TRUE	3	0	3	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	74	Excitatory_neurons::AD_vs_NCI__Female__e4::strict::AD_up_mito	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons	F_e4	Female	e4	strict	1	confirmatory_thresholded_companion	AD_up_mito	2	validated_complete	TRUE	0	0	0	empty_query
