summary_group	analysis_profile	pathway_collection	collection_order	collection_role	pathway_id	pathway_name	hierarchy	hierarchy_depth	level_1	level_2	pathway_scope	schema_version	summary_group_type	broad_cell_type	sex	apoe_group	analysis_method	deg_tier	query_mode	structural_contrasts	available_contrasts	testable_records	positive_records	negative_records	locally_significant_records	globally_significant_records	median_effect	minimum_effect	maximum_effect	significant_secondary_groups	signal_confined_to_one_secondary_group	gene_union	gene_union_count	recurrent_genes	recurrent_gene_count
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Nucleotide metabolism	Nucleotide metabolism	Metabolism > Nucleotide metabolism	2	Metabolism	Nucleotide metabolism	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	2	2	0	0	0.0505725656310512	-0.922529729144431	0.956223691804735	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	OXPHOS	OXPHOS	OXPHOS	1	OXPHOS	NA	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	3	1	1	1	1.20722966177945	-0.792040685732379	2.02845038525669	1	TRUE	ATP5F1C,ATP5F1D,ATP5F1E,ATP5IF1,ATP5MC1,ATP5MC2,ATP5MC3,ATP5ME,ATP5MF,ATP5MG,ATP5PD,ATP5PF,COA6,COX17,COX4I1,COX5A,COX5B,COX6A1,COX6A2,COX6B1,COX6C,COX7A2,COX7A2L,COX7B,COX7C,COX8A,CYC1,DMAC1,MT-ATP6,MT-ND1,NDUFA1,NDUFA11,NDUFA12,NDUFA13,NDUFA2,NDUFA3,NDUFA6,NDUFA8,NDUFAB1,NDUFAF3,NDUFB1,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB6,NDUFB7,NDUFB9,NDUFC1,NDUFS3,NDUFS5,NDUFS6,NDUFS7,NDUFS8,NDUFV2,NUBPL,PET100,PNKD,RAB5IF,SCO1,SDHB,SURF1,TACO1,TMEM126A,TMEM70,UQCC2,UQCC3,UQCR10,UQCR11,UQCRB,UQCRH,UQCRQ	73		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	OXPHOS assembly factors	OXPHOS assembly factors	OXPHOS > OXPHOS assembly factors	2	OXPHOS	OXPHOS assembly factors	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	2	2	0	0	0.0111140539133348	-1.13834394050682	0.971152299363223	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	OXPHOS subunits	OXPHOS subunits	OXPHOS > OXPHOS subunits	2	OXPHOS	OXPHOS subunits	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	3	1	2	2	1.50689359297242	-0.753845898542807	2.32875272548524	2	FALSE	ATP5F1B,ATP5F1C,ATP5F1D,ATP5F1E,ATP5IF1,ATP5MC1,ATP5MC2,ATP5MC3,ATP5ME,ATP5MF,ATP5MG,ATP5PB,ATP5PD,ATP5PF,COX4I1,COX5A,COX5B,COX6A1,COX6A2,COX6B1,COX6C,COX7A2,COX7A2L,COX7B,COX7C,COX8A,CYC1,MT-ATP6,MT-ATP8,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,NDUFA1,NDUFA10,NDUFA11,NDUFA12,NDUFA13,NDUFA2,NDUFA3,NDUFA6,NDUFA8,NDUFAB1,NDUFB1,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB6,NDUFB7,NDUFB9,NDUFC1,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS5,NDUFS6,NDUFS7,NDUFS8,NDUFV2,SDHA,SDHB,UQCR10,UQCR11,UQCRB,UQCRH,UQCRQ	74	ATP5F1C,ATP5F1E,ATP5MC2,ATP5ME,ATP5MG,ATP5PD,COX4I1,COX5A,COX5B,COX6B1,COX6C,COX7A2,COX7A2L,COX7B,COX7C,CYC1,MT-ATP6,MT-ND1,NDUFA1,NDUFA12,NDUFA3,NDUFA6,NDUFA8,NDUFB1,NDUFB11,NDUFB3,NDUFB4,NDUFB6,NDUFB7,NDUFB9,NDUFS3,NDUFS6,NDUFS7,UQCR11,UQCRB,UQCRQ	36
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Organelle contact sites	Organelle contact sites	Mitochondrial dynamics and surveillance > Organelle contact sites	2	Mitochondrial dynamics and surveillance	Organelle contact sites	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	0	4	0	0	-0.722171321361494	-1.13335333599151	-0.536253326275998	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Protein homeostasis	Protein homeostasis	Protein import, sorting and homeostasis > Protein homeostasis	2	Protein import, sorting and homeostasis	Protein homeostasis	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	0	4	0	0	-1.1083402695921	-1.29857396922192	-0.859984594628809	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Protein import and sorting	Protein import and sorting	Protein import, sorting and homeostasis > Protein import and sorting	2	Protein import, sorting and homeostasis	Protein import and sorting	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-1.11213770545338	-1.70266268129628	0.941249662466188	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Protein import, sorting and homeostasis	Protein import, sorting and homeostasis	Protein import, sorting and homeostasis	1	Protein import, sorting and homeostasis	NA	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-1.12571903749691	-1.5219789755851	0.782835228931992	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Respirasome assembly	Respirasome assembly	OXPHOS > Respirasome assembly	2	OXPHOS	Respirasome assembly	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	0	0	0	0	0	NA	NA	NA	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	SLC25A family	SLC25A family	Small molecule transport > SLC25A family	2	Small molecule transport	SLC25A family	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	0	4	0	0	-1.46603129974075	-1.76985816887202	-1.25566850062079	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Sideroflexins	Sideroflexins	Small molecule transport > Sideroflexins	2	Small molecule transport	Sideroflexins	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	0	4	0	0	-1.32366045351541	-1.49741512021016	-0.628166132271513	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Signaling	Signaling	Signaling	1	Signaling	NA	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-0.852803212967473	-1.27601894504342	0.794894047608404	0	FALSE		0		0
