schema_version	class_order	case_id	case_label	broad_network	network_display_order	display_network	network_color	slot_rank	slot_status	total_passing_candidate_count	displayed_candidate_count	current_symbol	display_rank	is_core_mito	is_mtdna_gene	extended_reference_member	coverage_fraction	conservative_support_count	aggregate_acat_p	aggregate_acat_q	negative_log10_acat_q	capped_negative_log10_acat_q	display_score	evidence_tier	selected_network_count_within_class	sector_start_degrees	sector_end_degrees	sector_mid_degrees	source_call_key_driver_returns_sha256
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Astrocytes	1	Astrocytes	#009E73	1	ranked_candidate	5	5	RPL11	1	FALSE	FALSE	FALSE	0.952380952380952	3	1.77765596358295e-08	3.44035684152088e-05	4.46339650909533	4.46339650909533	0.297559767273022	tier1_recurrent_stable	4	90	81.7142857142857	85.8571428571429	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Astrocytes	1	Astrocytes	#009E73	2	ranked_candidate	5	5	RPLP1	2	FALSE	FALSE	FALSE	1	3	2.45949956854975e-06	0.00237997574916664	2.62342746817742	2.62342746817742	0.174895164545162	tier1_recurrent_stable	2	80.7142857142857	72.4285714285714	76.5714285714286	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Astrocytes	1	Astrocytes	#009E73	3	ranked_candidate	5	5	RPL15	3	FALSE	FALSE	FALSE	1	3	5.11728522358795e-06	0.00371386975101895	2.43017333145398	2.43017333145398	0.162011555430265	tier1_recurrent_stable	1	71.4285714285714	63.1428571428571	67.2857142857143	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Astrocytes	1	Astrocytes	#009E73	4	ranked_candidate	5	5	APOE	4	FALSE	FALSE	FALSE	1	4	2.07268735390876e-05	0.012710318724587	1.89584355891933	1.89584355891933	0.126389570594622	tier1_recurrent_stable	1	62.1428571428571	53.8571428571428	58	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Astrocytes	1	Astrocytes	#009E73	5	ranked_candidate	5	5	LAPTM4A	5	FALSE	FALSE	FALSE	1	2	2.18916960464813e-05	0.012710318724587	1.89584355891933	1.89584355891933	0.126389570594622	tier1_recurrent_stable	1	52.8571428571428	44.5714285714286	48.7142857142857	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Excitatory_neurons	2	Excitatory neurons	#E69F00	1	ranked_candidate	21	5	RPL11	1	FALSE	FALSE	FALSE	1	20	6.50332218774679e-13	1.84022340172608e-09	8.73512945076903	8.73512945076903	0.582341963384602	tier1_recurrent_stable	4	38.5714285714286	30.2857142857143	34.4285714285714	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Excitatory_neurons	2	Excitatory neurons	#E69F00	2	ranked_candidate	21	5	RPS13	2	FALSE	FALSE	FALSE	0.979381443298969	10	3.81074631066291e-09	5.39157090520291e-06	5.26828467895752	5.26828467895752	0.351218978597168	tier1_recurrent_stable	1	29.2857142857143	21	25.1428571428571	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Excitatory_neurons	2	Excitatory neurons	#E69F00	3	ranked_candidate	21	5	SELENOW	3	FALSE	FALSE	FALSE	1	14	4.74305122867583e-09	5.75196598288988e-06	5.24018369103388	5.24018369103388	0.349345579402259	tier1_recurrent_stable	1	20	11.7142857142857	15.8571428571429	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Excitatory_neurons	2	Excitatory neurons	#E69F00	4	ranked_candidate	21	5	LAMTOR5	4	FALSE	FALSE	FALSE	0.958762886597938	12	4.08298782697999e-06	0.00258765407302081	2.58709378218405	2.58709378218405	0.17247291881227	tier1_recurrent_stable	2	10.7142857142857	2.42857142857142	6.57142857142856	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Excitatory_neurons	2	Excitatory neurons	#E69F00	5	ranked_candidate	21	5	DYNLT1	5	FALSE	FALSE	FALSE	0.855670103092783	2	4.26754117355299e-06	0.00258765407302081	2.58709378218405	2.58709378218405	0.17247291881227	tier1_recurrent_stable	1	1.42857142857142	-6.85714285714287	-2.71428571428572	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
