schema_version	network	gene	minimum_upstream_depth	minimum_downstream_depth	is_core_mitocarta	in_degree_full	out_degree_full
phase18_rpl11_deep_dive_v1	Astrocytes	ESD	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	FAM200B	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	FLYWCH2	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	FO393400.1	NA	3	FALSE	1	1
phase18_rpl11_deep_dive_v1	Astrocytes	GATAD2B	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	GORASP2	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	GTF3A	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	HSPBP1	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	ISCA1	NA	2	TRUE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	LAMP1	NA	3	FALSE	2	4
phase18_rpl11_deep_dive_v1	Astrocytes	LAMTOR1	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	LAMTOR5	NA	2	FALSE	1	7
phase18_rpl11_deep_dive_v1	Astrocytes	LGALS3BP	NA	3	FALSE	1	1
phase18_rpl11_deep_dive_v1	Astrocytes	LMAN2	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	MAGED2	NA	3	FALSE	1	1
phase18_rpl11_deep_dive_v1	Astrocytes	MARCKSL1	NA	2	FALSE	1	2
phase18_rpl11_deep_dive_v1	Astrocytes	MRPL4	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	MRPS7	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	MT3	NA	3	FALSE	2	0
phase18_rpl11_deep_dive_v1	Astrocytes	NACA	NA	3	FALSE	1	1
phase18_rpl11_deep_dive_v1	Astrocytes	NDUFAF4	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	NDUFB4	NA	2	TRUE	1	3
phase18_rpl11_deep_dive_v1	Astrocytes	NDUFB7	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	NDUFC1	NA	3	TRUE	1	2
phase18_rpl11_deep_dive_v1	Astrocytes	NVL	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	P4HB	NA	3	FALSE	1	3
phase18_rpl11_deep_dive_v1	Astrocytes	PCBD1	NA	3	FALSE	1	1
phase18_rpl11_deep_dive_v1	Astrocytes	PCBP1	NA	3	FALSE	1	4
phase18_rpl11_deep_dive_v1	Astrocytes	PLEKHJ1	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	PPT1	NA	2	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	PRDX1	NA	1	FALSE	1	6
phase18_rpl11_deep_dive_v1	Astrocytes	PRKRIP1	NA	3	FALSE	1	7
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	NA	2	TRUE	1	28
phase18_rpl11_deep_dive_v1	Astrocytes	RAD54L2	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	RETREG2	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	REXO2	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	RHBDD2	NA	3	FALSE	1	10
phase18_rpl11_deep_dive_v1	Astrocytes	RIC8A	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	RNF121	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	NA	0	FALSE	1	3
