schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_name	analysis_population	cells_ad	cells_nci	donors_ad	donors_nci	tested_genes	paper_degs	latent_vars	min_pct	logfc_threshold	design_rank	design_columns	model_status	message
yu_mast_model_diagnostics_v2	inhibitory	55	inhibitory::Inh L5-6 PVALB STON2::AD_vs_NCI__Female__e2	Inh L5-6 PVALB STON2	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	68	205	8	16	11000	1	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	56	inhibitory::Inh L5-6 PVALB STON2::AD_vs_NCI__Female__e33	Inh L5-6 PVALB STON2	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	568	685	32	45	10505	20	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	57	inhibitory::Inh L5-6 PVALB STON2::AD_vs_NCI__Female__e4	Inh L5-6 PVALB STON2	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	323	175	22	11	10930	13	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	58	inhibitory::Inh L5-6 PVALB STON2::AD_vs_NCI__Male__e2	Inh L5-6 PVALB STON2	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	76	90	5	5	11163	9	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	59	inhibitory::Inh L5-6 PVALB STON2::AD_vs_NCI__Male__e33	Inh L5-6 PVALB STON2	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	304	767	26	52	10426	11	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	60	inhibitory::Inh L5-6 PVALB STON2::AD_vs_NCI__Male__e4	Inh L5-6 PVALB STON2	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	302	105	26	10	10562	2	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	61	inhibitory::Inh L5-6 SST TH::AD_vs_NCI__Female__e2	Inh L5-6 SST TH	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	59	164	8	16	11089	2	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	62	inhibitory::Inh L5-6 SST TH::AD_vs_NCI__Female__e33	Inh L5-6 SST TH	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	405	590	35	45	10309	14	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	63	inhibitory::Inh L5-6 SST TH::AD_vs_NCI__Female__e4	Inh L5-6 SST TH	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	280	201	24	11	10398	2	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	64	inhibitory::Inh L5-6 SST TH::AD_vs_NCI__Male__e2	Inh L5-6 SST TH	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	70	63	6	5	11119	13	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	65	inhibitory::Inh L5-6 SST TH::AD_vs_NCI__Male__e33	Inh L5-6 SST TH	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	269	704	26	52	10119	0	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	66	inhibitory::Inh L5-6 SST TH::AD_vs_NCI__Male__e4	Inh L5-6 SST TH	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	238	86	23	10	10244	2	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	67	inhibitory::Inh L6 SST NPY::AD_vs_NCI__Female__e2	Inh L6 SST NPY	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	15	32	7	13	11358	0	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	68	inhibitory::Inh L6 SST NPY::AD_vs_NCI__Female__e33	Inh L6 SST NPY	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	128	189	30	42	10997	0	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	69	inhibitory::Inh L6 SST NPY::AD_vs_NCI__Female__e4	Inh L6 SST NPY	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	85	51	20	10	10858	0	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
