schema_version	context_id	module_id	stratum_order	stratum_id	estimate	robust_se	ci_low	ci_high	p_value	model_status	failure_reason
phase13_module_stratum_v1	excitatory_neurons	mitochondrial_translation_155	1	Female__e2	0.0441557090220002	0.657096908523284	-1.24975352866641	1.33806494671041	0.946475588044832	estimated	
phase13_module_stratum_v1	excitatory_neurons	mitochondrial_translation_155	2	Female__e33	-0.327288767972268	0.173287270710991	-0.668513931929676	0.0139363959851405	0.0600442122004861	estimated	
phase13_module_stratum_v1	excitatory_neurons	mitochondrial_translation_155	3	Female__e4	-0.688332882321588	0.839844039910658	-2.34209497945288	0.965429214809707	0.413197080655084	estimated	
phase13_module_stratum_v1	excitatory_neurons	mitochondrial_translation_155	4	Male__e2	0.413308534398263	0.833128359992024	-1.22722951591229	2.05384658470881	0.620248423764643	estimated	
phase13_module_stratum_v1	excitatory_neurons	mitochondrial_translation_155	5	Male__e33	-0.0229150645688695	0.244889948519047	-0.505135209719054	0.459305080581315	0.925520497641976	estimated	
phase13_module_stratum_v1	excitatory_neurons	mitochondrial_translation_155	6	Male__e4	-0.0492112367072118	0.382437070678539	-0.802279546977499	0.703857073563075	0.897711925434426	estimated	
phase13_module_stratum_v1	excitatory_neurons	mib_micos_inner_membrane_19	1	Female__e2	0.116778351265252	0.549298162283596	-0.964861140877983	1.19841784340849	0.831809015609251	estimated	
phase13_module_stratum_v1	excitatory_neurons	mib_micos_inner_membrane_19	2	Female__e33	-0.238003189166713	0.174765655596781	-0.582139485159245	0.106133106825818	0.174426580538202	estimated	
phase13_module_stratum_v1	excitatory_neurons	mib_micos_inner_membrane_19	3	Female__e4	-0.996161889868179	1.00402593999906	-2.97321949247222	0.980895712735863	0.322038287058125	estimated	
phase13_module_stratum_v1	excitatory_neurons	mib_micos_inner_membrane_19	4	Male__e2	0.211764761684288	0.933703096472785	-1.62681801981057	2.05034754317915	0.820756731170694	estimated	
phase13_module_stratum_v1	excitatory_neurons	mib_micos_inner_membrane_19	5	Male__e33	-0.538172796231816	0.272166133756252	-1.07410329610979	-0.00224229635384166	0.0490561204029356	estimated	
phase13_module_stratum_v1	excitatory_neurons	mib_micos_inner_membrane_19	6	Male__e4	-0.43095680773275	0.412465667147334	-1.24315532826853	0.381241712803035	0.297071632858649	estimated	
phase13_module_stratum_v1	inhibitory_neurons	mtdna_oxphos_13	1	Female__e2	0.0141127422548982	0.468287190327115	-0.908039042092837	0.936264526602633	0.975981140848684	estimated	
phase13_module_stratum_v1	inhibitory_neurons	mtdna_oxphos_13	2	Female__e33	0.525294847988673	0.224074131035917	0.0840477585335872	0.966541937443759	0.0198223362261276	estimated	
phase13_module_stratum_v1	inhibitory_neurons	mtdna_oxphos_13	3	Female__e4	0.0416993992322045	0.322232453221949	-0.592841194342008	0.676239992806417	0.897135788894148	estimated	
phase13_module_stratum_v1	inhibitory_neurons	mtdna_oxphos_13	4	Male__e2	-0.160340268510149	0.699989507136734	-1.53876057631299	1.21808003929269	0.819003007292145	estimated	
phase13_module_stratum_v1	inhibitory_neurons	mtdna_oxphos_13	5	Male__e33	0.317704539623213	0.26311282367912	-0.200417597501627	0.835826676748053	0.228351562043639	estimated	
phase13_module_stratum_v1	inhibitory_neurons	mtdna_oxphos_13	6	Male__e4	0.120154529971423	0.38361989008089	-0.635270289362763	0.875579349305609	0.754372304639644	estimated	
phase13_module_stratum_v1	inhibitory_neurons	nuclear_oxphos_structural_86	1	Female__e2	-0.288459563627157	0.643485548577495	-1.55561219790745	0.97869307065313	0.654329754112638	estimated	
phase13_module_stratum_v1	inhibitory_neurons	nuclear_oxphos_structural_86	2	Female__e33	-0.121795926553391	0.148217431482117	-0.413665898092006	0.170074044985223	0.411984630019089	estimated	
phase13_module_stratum_v1	inhibitory_neurons	nuclear_oxphos_structural_86	3	Female__e4	0.0789110033445378	0.313221231248949	-0.537884679428783	0.695706686117859	0.801292833230579	estimated	
phase13_module_stratum_v1	inhibitory_neurons	nuclear_oxphos_structural_86	4	Male__e2	0.0305303119390298	0.622012379281807	-1.19433732759735	1.25539795147541	0.960891026184058	estimated	
phase13_module_stratum_v1	inhibitory_neurons	nuclear_oxphos_structural_86	5	Male__e33	0.0923615277364482	0.256819977511721	-0.413368727992193	0.598091783465089	0.719414076715884	estimated	
phase13_module_stratum_v1	inhibitory_neurons	nuclear_oxphos_structural_86	6	Male__e4	-0.129643791628418	0.494346766803911	-1.10311213009893	0.843824546842092	0.793335870514583	estimated	
phase13_module_stratum_v1	inhibitory_neurons	mitochondrial_translation_155	1	Female__e2	-0.176359760946065	0.361417734720806	-0.888064065167794	0.535344543275664	0.625987968083491	estimated	
phase13_module_stratum_v1	inhibitory_neurons	mitochondrial_translation_155	2	Female__e33	-0.243292785508749	0.118781950419147	-0.4771983669337	-0.00938720408379862	0.0415496008569066	estimated	
phase13_module_stratum_v1	inhibitory_neurons	mitochondrial_translation_155	3	Female__e4	-0.375236519613298	0.373856416911696	-1.11143509404825	0.360962054821654	0.31646773206716	estimated	
phase13_module_stratum_v1	inhibitory_neurons	mitochondrial_translation_155	4	Male__e2	1.25583781722093	1.12949598631341	-0.968367244773061	3.48004287921492	0.267234705259249	estimated	
phase13_module_stratum_v1	inhibitory_neurons	mitochondrial_translation_155	5	Male__e33	0.0317574427888999	0.191616515972641	-0.345574066089735	0.409088951667535	0.868495791711536	estimated	
phase13_module_stratum_v1	inhibitory_neurons	mitochondrial_translation_155	6	Male__e4	-0.225129464666778	0.262135480039052	-0.741327015340769	0.291068086007212	0.391232259711114	estimated	
