schema_version	report_type	summary_scope	broad_network	case_id	filter_number	filter_name	ordered_funnel_step	counting_unit	input_n	pass_n	fail_n	cumulative_remaining_n	input_distinct_gene_n	pass_distinct_gene_n	fail_distinct_gene_n	remaining_distinct_gene_n	explicit_n	implicit_n	absent_n	invalid_n	not_testable_n	failure_reason
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Excitatory_neurons	case2_core_mito_not_in_query	4	coverage	4	gene_broad_network_case_aggregate	24	23	1	23	24	23	1	23	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Excitatory_neurons	case2_core_mito_not_in_query	5	aggregate_evidence	5	gene_broad_network_case_aggregate	23	9	14	9	23	9	14	9	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Excitatory_neurons	case2_core_mito_not_in_query	3	conservative_support	3	gene_broad_network_case_aggregate	825	24	801	24	825	24	801	24	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Excitatory_neurons	case2_core_mito_not_in_query	4	coverage	4	gene_broad_network_case_aggregate	825	716	109	716	825	716	109	716	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Excitatory_neurons	case2_core_mito_not_in_query	5	aggregate_evidence	5	gene_broad_network_case_aggregate	825	9	816	9	825	9	816	9	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Excitatory_neurons	case3_not_core_mito	3	conservative_support	3	gene_broad_network_case_aggregate	9101	93	9008	93	9101	93	9008	93	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Excitatory_neurons	case3_not_core_mito	4	coverage	4	gene_broad_network_case_aggregate	93	89	4	89	93	89	4	89	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Excitatory_neurons	case3_not_core_mito	5	aggregate_evidence	5	gene_broad_network_case_aggregate	89	21	68	21	89	21	68	21	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Excitatory_neurons	case3_not_core_mito	3	conservative_support	3	gene_broad_network_case_aggregate	9101	93	9008	93	9101	93	9008	93	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Excitatory_neurons	case3_not_core_mito	4	coverage	4	gene_broad_network_case_aggregate	9101	7765	1336	7765	9101	7765	1336	7765	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Excitatory_neurons	case3_not_core_mito	5	aggregate_evidence	5	gene_broad_network_case_aggregate	9101	21	9080	21	9101	21	9080	21	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network	Inhibitory_neurons	ALL	3	conservative_support	3	gene_broad_network_case_aggregate	9570	60	9510	60	9046	50	9001	50	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network	Inhibitory_neurons	ALL	4	coverage	4	gene_broad_network_case_aggregate	60	60	0	60	50	50	0	50	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network	Inhibitory_neurons	ALL	5	aggregate_evidence	5	gene_broad_network_case_aggregate	60	26	34	26	50	17	34	17	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network	Inhibitory_neurons	ALL	3	conservative_support	3	gene_broad_network_case_aggregate	9570	60	9510	60	9046	50	9001	50	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network	Inhibitory_neurons	ALL	4	coverage	4	gene_broad_network_case_aggregate	9570	7710	1860	7710	9046	7276	1860	7276	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network	Inhibitory_neurons	ALL	5	aggregate_evidence	5	gene_broad_network_case_aggregate	9570	26	9544	26	9046	17	9032	17	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Inhibitory_neurons	case1_core_mito_in_query	3	conservative_support	3	gene_broad_network_case_aggregate	524	14	510	14	524	14	510	14	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Inhibitory_neurons	case1_core_mito_in_query	4	coverage	4	gene_broad_network_case_aggregate	14	14	0	14	14	14	0	14	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Inhibitory_neurons	case1_core_mito_in_query	5	aggregate_evidence	5	gene_broad_network_case_aggregate	14	12	2	12	14	12	2	12	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Inhibitory_neurons	case1_core_mito_in_query	3	conservative_support	3	gene_broad_network_case_aggregate	524	14	510	14	524	14	510	14	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Inhibitory_neurons	case1_core_mito_in_query	4	coverage	4	gene_broad_network_case_aggregate	524	524	0	524	524	524	0	524	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Inhibitory_neurons	case1_core_mito_in_query	5	aggregate_evidence	5	gene_broad_network_case_aggregate	524	12	512	12	524	12	512	12	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Inhibitory_neurons	case2_core_mito_not_in_query	3	conservative_support	3	gene_broad_network_case_aggregate	724	12	712	12	724	12	712	12	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Inhibitory_neurons	case2_core_mito_not_in_query	4	coverage	4	gene_broad_network_case_aggregate	12	12	0	12	12	12	0	12	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Inhibitory_neurons	case2_core_mito_not_in_query	5	aggregate_evidence	5	gene_broad_network_case_aggregate	12	9	3	9	12	9	3	9	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Inhibitory_neurons	case2_core_mito_not_in_query	3	conservative_support	3	gene_broad_network_case_aggregate	724	12	712	12	724	12	712	12	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Inhibitory_neurons	case2_core_mito_not_in_query	4	coverage	4	gene_broad_network_case_aggregate	724	578	146	578	724	578	146	578	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Inhibitory_neurons	case2_core_mito_not_in_query	5	aggregate_evidence	5	gene_broad_network_case_aggregate	724	9	715	9	724	9	715	9	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Inhibitory_neurons	case3_not_core_mito	3	conservative_support	3	gene_broad_network_case_aggregate	8322	34	8288	34	8322	34	8288	34	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Inhibitory_neurons	case3_not_core_mito	4	coverage	4	gene_broad_network_case_aggregate	34	34	0	34	34	34	0	34	NA	NA	NA	0	0	coverage_below_0_80
