schema_version	library	pathway	pathway_url	background_definition	background_gene_count	displayed_mapped_gene_count	pathway_background_gene_count	overlap_gene_count	overlap_genes	fold_enrichment	raw_hypergeometric_p	bh_fdr	selected_representative	pathway_code	pathway_display_label	pathway_color	selection_rule
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	37	6	NDUFA1;NDUFA12;NDUFB3;NDUFB9;NDUFS5;NDUFS6	33.1573926868045	1.79493716252334e-08	9.75436164258777e-07	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	37	6	NDUFA1;NDUFA12;NDUFB3;NDUFB9;NDUFS5;NDUFS6	33.1573926868045	1.79493716252334e-08	9.75436164258777e-07	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	38	6	NDUFA1;NDUFA12;NDUFB3;NDUFB9;NDUFS5;NDUFS6	32.2848297213622	2.12411107018917e-08	1.08642033854675e-06	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	38	6	NDUFA1;NDUFA12;NDUFB3;NDUFB9;NDUFS5;NDUFS6	32.2848297213622	2.12411107018917e-08	1.08642033854675e-06	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	41	6	RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	29.922525107604	3.42379200721517e-08	1.70113551444205e-06	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	44	6	NDUFA1;NDUFA12;NDUFB3;NDUFB9;NDUFS5;NDUFS6	27.8823529411765	5.31951299981076e-08	2.56962030740859e-06	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	50	6	NDUFA1;NDUFA12;NDUFB3;NDUFB9;NDUFS5;NDUFS6	24.5364705882353	1.17281696421932e-07	5.51223973183082e-06	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	52	6	RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	23.5927601809955	1.49217595819786e-07	6.82866839817388e-06	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_COMPLEX_I_BIOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_COMPLEX_I_BIOGENESIS	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	60	6	NDUFA1;NDUFA12;NDUFB3;NDUFB9;NDUFS5;NDUFS6	20.4470588235294	3.56895948347137e-07	1.59138988250172e-05	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_SARS_COV_1_HOST_INTERACTIONS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SARS_COV_1_HOST_INTERACTIONS	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	72	6	RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	17.0392156862745	1.068347656631e-06	4.64464143720326e-05	FALSE	NA	NA	NA	NA
