PIK3CD-AS2	GDPD4
TMEM74B	CHRD
SIRPD	SIRPB1
UBOX5-AS1	PABPC4-AS1
UBOX5-AS1	TRAPPC12-AS1
UBOX5-AS1	ALDH1A3
UBOX5-AS1	LINC00526
UBOX5-AS1	RGL4
SNAP25-AS1	HES4
SNAP25-AS1	OSBPL10
SNAP25-AS1	CADM2-AS1
SNAP25-AS1	FGF12-AS1
SNAP25-AS1	AL391807.1
SNAP25-AS1	CES4A
BFSP1	GPER1
OVOL2	RERE-AS1
OVOL2	TSBP1
OVOL2	SSC4D
OVOL2	ECM2
OVOL2	LINC00987
OVOL2	WDR88
OVOL2	FUT2
KIZ-AS1	FAM53B-AS1
THBD	MORC1
THBD	FPR2
THBD	JAM2
SYNDIG1	CLEC17A
TPX2	STIL
E2F1	TCF19
E2F1	MCM4
E2F1	CCNE2
E2F1	BLM
E2F1	TYMS
E2F1	UHRF1
E2F1	ASF1B
MAP1LC3A	GAD2
PLCG1-AS1	CHRNG
PLCG1-AS1	CYP3A7
TOX2	LRRC3B
PLTP	NEURL2
CEBPB-AS1	CCDC173
GCNT7	ACMSD
GCNT7	C5orf58
LAMA5	TLCD3B
JAM2	STPG2
JAM2	GPR84
BACH1-AS1	C2-AS1
CBR3	LINC02456
CBR3	LMF1-AS1
TTC3-AS1	MEIOC
GATD3A	PWP2
CECR2	ZFPM2-AS1
CECR2	RASSF10-DT
CECR2	XACT
CDC45	XRCC2
SERPIND1	WASF3-AS1
SDF2L1	CRELD2
RGL4	SREBF2-AS1
MIF	RNF181
OSM	HLX
LIMK2	CXCL12
LIMK2	SLC25A19
LIMK2	THBD
ELFN2	ARX
KCNJ4	SPOCK2
KCNJ4	SPEF1
TNFRSF13C	SPP1
TNFRSF13C	LINC01146
TNFRSF13C	SNX22
CENPM	CEP55
SULT4A1	PHF24
ARHGAP8	CRYZ
PHF21B	SLC25A18
MOV10L1	MEIS1
TYMP	SLC40A1
TYMP	CD14
TYMP	HS3ST4
TYMP	KIFC3
TYMP	SLC7A5
TYMP	ODF3B
ODF3B	U62317.4
WWC3-AS1	SEMA4G
GK	FAM110B
GK	CEMIP2
GK-AS1	CATIP-AS2
GK-AS1	METRNL
KIF4A	PCLAF
NAP1L2	MAL2
CYSLTR1	VDR
DIAPH2-AS1	OPRM1
DIAPH2-AS1	PRSS51
DIAPH2-AS1	YTHDF3-AS1
DIAPH2-AS1	P4HA3
DIAPH2-AS1	INO80-AS1
DIAPH2-AS1	ADGRG2
DRP2	VWA5B2
DRP2	RHPN1
DRP2	ERBB3
DRP2	MGAT5B
DRP2	SHANK1
TCEAL2	SCG2
TCEAL2	STRC
TCEAL2	ARHGDIG
TCEAL2	PANX2
TCEAL2	TCEAL6
GPRASP2	HTR5A
BEX1	TUBB2A
BEX1	TAC1
BEX1	GRM5-AS1
BEX2	TUBA4A
BEX2	NSG1
BEX2	LGI3
BEX2	HINT2
BEX2	GNG3
BEX2	CCDC184
BEX2	RAB3A
BEX2	MAP1LC3A
BEX2	TCEAL2
BEX2	TCEAL7
BEX2	BEX3
BEX3	NAP1L5
BEX3	NRN1
BEX3	SNCG
BEX3	CRYM
BEX3	COX7A1
BEX3	LIPI
BEX3	BEX1
PLP1	MOG
PLP1	MYRF
PLP1	SLCO1A2
TSC22D3	PRDM1
TSC22D3	ECHDC3
TSC22D3	ALOX15B
COL4A5	ASPA
DCX	GRIK3
DCX	SLITRK3
DCX	LINC02217
DCX	CPNE6
ALG13-AS1	ZBTB20-AS1
ALG13-AS1	RBP2
ALG13-AS1	EHMT2-AS1
ALG13-AS1	ACSM3
ALG13-AS1	GEMIN7-AS1
PNMA3	CAMK1G
PNMA3	OGDHL
PNMA3	WNT10B
LAGE3	PRDX5
LAGE3	MIF
MTCP1	LINC00624
MTCP1	ACBD3-AS1
MTCP1	LINC00960
MTCP1	C1QTNF7
MTCP1	SHOC1
MTCP1	ASTN2-AS1
TMLHE-AS1	IGSF21-AS1
TMLHE-AS1	ADAMTSL4
TMLHE-AS1	ANGPTL1
TMLHE-AS1	RMDN2-AS1
TMLHE-AS1	HTR2B
TMLHE-AS1	C4orf45
TMLHE-AS1	MEF2C-AS2
TMLHE-AS1	ARHGAP26-AS1
TMLHE-AS1	INSYN2B
TMLHE-AS1	SPDYE5
TMLHE-AS1	CYP3A5
TMLHE-AS1	OGN
TMLHE-AS1	C9orf147
TMLHE-AS1	GLIPR1L1
TMLHE-AS1	PCCA-AS1
TMLHE-AS1	ABHD15-AS1
TMLHE-AS1	CCDC200
TMLHE-AS1	LENG9
TMLHE-AS1	EDDM13
TMLHE-AS1	TRPM2-AS
TMLHE-AS1	PNPLA3
RPS4Y1	NLGN4Y
RPS4Y1	TTTY10
LINC00278	RPS4Y1
LINC00278	USP9Y
LINC00278	KDM5D
PCDH11Y	ZFY
PRKY	UTY
PRKY	TTTY14
PRKY	TTTY10
USP9Y	CD24
DDX3Y	KDM5D
UTY	ZFY-AS1
TMSB4Y	XIST
TMSB4Y	EIF1AY
NLGN4Y	TSIX
NLGN4Y	ZFY
NLGN4Y	PCDH11Y
MT-ATP6	MT-CO1
MT-ATP6	MT-CO2
MT-ATP6	MT-CO3
MT-ATP6	MT-CYB
MT-ND3	MT-ND5
MT-ND4L	MT-ND2
MT-ND4L	MT-ATP8
MT-ND4	CD180
MT-ND4	HIST1H2BM
MT-ND4	MT-ND3
MT-ND4	MT-ND4L
MT-ND5	WASHC5-AS1
MT-ND5	MT-ND2
MT-CYB	PTPRG
MT-CYB	GPX3
MT-CYB	MT-ND1
