feature_index	source_symbol	ensembl_id	mapping_status	gencode_mapping_method	eligible_donors_detected	unique_count_values	expression_filter_pass	annotation_filter_pass	network_filter_pass	residual_variance	selected_network_gene	exclusion_reason	discretization_pass	discretization_exclusion_reason	center_low	center_middle	center_high	final_node_order
33289	EFCAB8	ENSG00000215529	phase18_exact	phase18	65	21	TRUE	TRUE	TRUE	1.07034443511855	TRUE		TRUE		-2.45638596073415	-0.283035432631223	0.813735668602773	4511
33308	E2F1	ENSG00000101412	phase18_exact	phase18	31	18	TRUE	TRUE	TRUE	2.5063688422484	TRUE		TRUE		-2.14473471767287	0.0116091844232287	2.24612980633709	4512
33312	ZNF341-AS1	ENSG00000230753	phase18_exact	phase18	65	23	TRUE	TRUE	TRUE	1.12716193905024	TRUE		TRUE		-2.12110115247314	-0.319868519613449	0.781723040859524	4513
33314	RALY-AS1	ENSG00000285230	exact	unique_symbol	38	11	TRUE	TRUE	TRUE	1.04225026189122	TRUE		TRUE		-1.89726027164453	-0.34384045781643	0.8662667949825	4514
33319	ASIP	ENSG00000101440	phase18_exact	phase18	61	15	TRUE	TRUE	TRUE	0.979861081861643	TRUE		TRUE		-1.96730189222969	-0.0681657160711756	0.944679601226194	4515
33324	ITCH-AS1	ENSG00000236388	phase18_exact	phase18	30	8	TRUE	TRUE	TRUE	1.73509605269008	TRUE		TRUE		-1.99770279257156	-0.0202734121053226	1.56164069416492	4516
33328	MAP1LC3A	ENSG00000101460	phase18_exact	phase18	78	43	TRUE	TRUE	TRUE	0.648810744288132	TRUE		TRUE		-1.18374812128687	-0.0729694159557863	0.783218288727909	4517
33331	TP53INP2	ENSG00000078804	phase18_exact	phase18	71	19	TRUE	TRUE	TRUE	0.712969193972064	TRUE		TRUE		-2.78579006260543	-0.358307335236168	0.648276102778942	4518
33367	AL121895.1	ENSG00000232406	phase18_exact	phase18	29	10	TRUE	TRUE	TRUE	1.20992693131857	TRUE		TRUE		-2.18513059937957	-0.197642628137214	1.01928856866024	4519
33372	MYL9	ENSG00000101335	phase18_exact	phase18	38	10	TRUE	TRUE	TRUE	1.27251683109872	TRUE		TRUE		-2.04118479050518	-0.0865452529829534	0.888182840102234	4520
33375	SLA2	ENSG00000101082	phase18_exact	phase18	73	21	TRUE	TRUE	TRUE	0.79902555964642	TRUE		TRUE		-3.79436998457781	-0.41532876881735	0.642880052784656	4521
33379	TLDC2	ENSG00000101342	phase18_exact	phase18	61	17	TRUE	TRUE	TRUE	1.12160269402621	TRUE		TRUE		-2.09120610677144	-0.140698043806671	1.03159149644594	4522
33390	NNAT	ENSG00000053438	phase18_exact	phase18	71	26	TRUE	TRUE	TRUE	0.766302938136176	TRUE		TRUE		-1.49003821626459	-0.0381934348461115	1.00242894974612	4523
33401	KIAA1755	ENSG00000149633	phase18_exact	phase18	59	19	TRUE	TRUE	TRUE	1.70178644184467	TRUE		TRUE		-2.18924388767009	-0.374086060907283	1.26980447689665	4524
33416	SLC32A1	ENSG00000101438	phase18_exact	phase18	41	11	TRUE	TRUE	TRUE	1.61334390673005	TRUE		TRUE		-1.99617382068454	0.0234816482174005	1.40906887282985	4525
33419	FAM83D	ENSG00000101447	phase18_exact	phase18	20	11	TRUE	TRUE	TRUE	1.6828424876956	TRUE		TRUE		-1.51619096721848	0.0128907437120293	1.50175333426101	4526
33435	PLCG1-AS1	ENSG00000226648	phase18_exact	phase18	77	36	TRUE	TRUE	TRUE	0.980688848351311	TRUE		TRUE		-3.00647468482112	-0.373999338103167	0.699023628354098	4527
33438	LPIN3	ENSG00000132793	phase18_exact	phase18	68	21	TRUE	TRUE	TRUE	0.756271669425193	TRUE		TRUE		-1.48688006980463	-0.223717963948211	0.644771999233683	4528
33454	MYBL2	ENSG00000101057	phase18_exact	phase18	19	13	TRUE	TRUE	TRUE	2.92364104982822	TRUE		TRUE		-1.60007034945671	0.61156856417128	3.110966296716	4529
33457	TOX2	ENSG00000124191	phase18_exact	phase18	78	46	TRUE	TRUE	TRUE	0.654111524379492	TRUE		TRUE		-1.00022425246968	0.0337708762685217	1.0379692633505	4530
33458	JPH2	ENSG00000149596	phase18_exact	phase18	28	8	TRUE	TRUE	TRUE	1.36013637135121	TRUE		TRUE		-1.85056083903849	0.033647018980127	1.20992966321479	4531
33473	ADA	ENSG00000196839	phase18_exact	phase18	29	11	TRUE	TRUE	TRUE	1.1406242567671	TRUE		TRUE		-1.58063952161907	0.077089977767257	1.0572377555555	4532
33474	LINC01260	ENSG00000283440	phase18_exact	phase18	22	9	TRUE	TRUE	TRUE	1.54693414251759	TRUE		TRUE		-1.66433048744321	0.169052822640683	1.46182961577747	4533
33475	KCNK15-AS1	ENSG00000244558	phase18_exact	phase18	39	11	TRUE	TRUE	TRUE	1.03703631720611	TRUE		TRUE		-1.91399856548192	-0.0806621769877206	1.06970086990264	4534
33479	RIMS4	ENSG00000101098	phase18_exact	phase18	68	21	TRUE	TRUE	TRUE	0.719108626308044	TRUE		TRUE		-1.30882621692797	-0.205915361878735	0.748695250158558	4535
33486	KCNS1	ENSG00000124134	phase18_exact	phase18	58	19	TRUE	TRUE	TRUE	1.3047360752342	TRUE		TRUE		-3.37779063642699	-0.87114056627286	0.769488007199868	4536
33493	MATN4	ENSG00000124159	phase18_exact	phase18	23	9	TRUE	TRUE	TRUE	1.93158557143969	TRUE		TRUE		-1.5831696860048	0.156787251729333	1.8941280278451	4537
33495	SDC4	ENSG00000124145	phase18_exact	phase18	47	17	TRUE	TRUE	TRUE	1.33180754941019	TRUE		TRUE		-2.49981880194868	-0.443916977991527	0.936427315927294	4538
33498	TP53TG5	ENSG00000124251	phase18_exact	phase18	77	32	TRUE	TRUE	TRUE	0.629953695583543	TRUE		TRUE		-1.00099706607829	0.066691316497483	0.84088772099505	4539
33502	WFDC2	ENSG00000101443	phase18_exact	phase18	32	11	TRUE	TRUE	TRUE	1.34579311224	TRUE		TRUE		-2.17862297617086	-0.291973908063105	1.14390386814378	4540
33514	WFDC3	ENSG00000124116	phase18_exact	phase18	22	11	TRUE	TRUE	TRUE	1.03258897978914	TRUE		TRUE		-1.4394704707673	0.0178114707639476	1.06977395754418	4541
33520	ZSWIM3	ENSG00000132801	phase18_exact	phase18	77	43	TRUE	TRUE	TRUE	0.650215647852112	TRUE		TRUE		-2.51824225139604	-0.362961988572606	0.630663037059782	4542
33521	ZSWIM1	ENSG00000168612	phase18_exact	phase18	67	18	TRUE	TRUE	TRUE	0.899658593853537	TRUE		TRUE		-2.78150597632193	-0.363868267922041	0.755316312416746	4543
33523	NEURL2	ENSG00000124257	phase18_exact	phase18	69	32	TRUE	TRUE	TRUE	2.67484014458377	TRUE		TRUE		-3.54158030126662	-0.469160738814024	1.64734137665557	4544
33526	PLTP	ENSG00000100979	phase18_exact	phase18	78	67	TRUE	TRUE	TRUE	2.00313875747647	TRUE		TRUE		-1.26664902447736	0.482294756289706	2.29722101292434	4545
33531	SLC12A5-AS1	ENSG00000204044	phase18_exact	phase18	48	14	TRUE	TRUE	TRUE	1.3806956100432	TRUE		TRUE		-2.16516921095736	-0.490979189730932	0.99654181057385	4546
33546	SLC2A10	ENSG00000197496	phase18_exact	phase18	74	32	TRUE	TRUE	TRUE	1.08986347217813	TRUE		TRUE		-3.49854292677961	-0.577931794138078	0.703985190164176	4547
33547	EYA2	ENSG00000064655	phase18_exact	phase18	78	60	TRUE	TRUE	TRUE	1.1781927888606	TRUE		TRUE		-1.59344364124968	-0.252155908014568	1.03131108629714	4548
33555	SULF2	ENSG00000196562	phase18_exact	phase18	76	32	TRUE	TRUE	TRUE	0.908524332743949	TRUE		TRUE		-0.899701340910671	0.163227938606369	1.7599590721727	4549
33584	PTGIS	ENSG00000124212	phase18_exact	phase18	57	13	TRUE	TRUE	TRUE	0.860821091048668	TRUE		TRUE		-2.4685294365844	-0.342871737135423	0.756313086211868	4550
33596	CEBPB-AS1	ENSG00000277449	phase18_exact	phase18	34	11	TRUE	TRUE	TRUE	1.40703205998471	TRUE		TRUE		-1.80700013912941	0.0262374906303929	1.3905013809797	4551
33598	SMIM25	ENSG00000224397	phase18_exact	phase18	67	25	TRUE	TRUE	TRUE	1.42340072983104	TRUE		TRUE		-2.56102985027504	-0.168094132620297	1.40358441306214	4552
33599	LINC01270	ENSG00000203999	phase18_exact	phase18	44	12	TRUE	TRUE	TRUE	1.42163722288416	TRUE		TRUE		-2.11957354782617	-0.118222808174909	1.21128070836341	4553
33603	RIPOR3	ENSG00000042062	phase18_exact	phase18	64	17	TRUE	TRUE	TRUE	0.735099015062253	TRUE		TRUE		-1.33615294433885	0.0319391175020647	0.980893315525893	4554
33608	ADNP-AS1	ENSG00000259456	phase18_exact	phase18	72	21	TRUE	TRUE	TRUE	0.840274003858882	TRUE		TRUE		-2.72957927873054	-0.356897397057312	0.680011616752779	4555
33610	MOCS3	ENSG00000124217	phase18_exact	phase18	55	14	TRUE	TRUE	TRUE	1.00725735216222	TRUE		TRUE		-2.32194942153864	-0.508569102786138	0.620085742366754	4556
33612	KCNG1	ENSG00000026559	phase18_exact	phase18	43	14	TRUE	TRUE	TRUE	1.63118139967902	TRUE		TRUE		-2.84959327545772	-0.423533522669302	1.33913215455055	4557
33615	SALL4	ENSG00000101115	phase18_exact	phase18	17	12	TRUE	TRUE	TRUE	1.98329993410498	TRUE		TRUE		-1.40093995121866	0.299968956875395	2.0239415359159	4558
33616	LINC01429	ENSG00000227964	phase18_exact	phase18	16	6	TRUE	TRUE	TRUE	1.41436747508844	TRUE		TRUE		-1.59942743113714	-0.0869459208806483	1.11755075237175	4559
33619	LINC01524	ENSG00000234948	phase18_exact	phase18	51	13	TRUE	TRUE	TRUE	1.3170928925893	TRUE		TRUE		-2.46114653056295	-0.160941461920554	1.02674709692176	4560
33637	BCAS1	ENSG00000064787	phase18_exact	phase18	76	33	TRUE	TRUE	TRUE	0.707727213471766	TRUE		TRUE		-0.935975919535915	0.111286385042852	0.954399198029466	4561
33644	LINC01440	ENSG00000235166	phase18_exact	phase18	71	25	TRUE	TRUE	TRUE	1.08371870213648	TRUE		TRUE		-2.06031874674937	-0.239002211798773	1.2558258008183	4562
33649	CBLN4	ENSG00000054803	phase18_exact	phase18	55	16	TRUE	TRUE	TRUE	1.27065743870883	TRUE		TRUE		-2.13334008898962	-0.330545733375783	1.11799621158406	4563
33653	AURKA	ENSG00000087586	phase18_exact	phase18	60	19	TRUE	TRUE	TRUE	1.40125587787259	TRUE		TRUE		-2.17021897438772	0.0471791310484578	1.19361938322118	4564
33657	GCNT7	ENSG00000124091	phase18_exact	phase18	78	39	TRUE	TRUE	TRUE	0.69507655317622	TRUE		TRUE		-0.963960226728477	0.240888642010044	1.07667240937125	4565
33658	FAM209A	ENSG00000124103	phase18_exact	phase18	66	18	TRUE	TRUE	TRUE	1.01479696418998	TRUE		TRUE		-2.35453554174015	-0.256987390986864	0.712102127513181	4566
33667	BMP7	ENSG00000101144	phase18_exact	phase18	69	20	TRUE	TRUE	TRUE	0.785662756321082	TRUE		TRUE		-3.44330958229972	-0.490237702073847	0.613379410981448	4567
33679	ZBP1	ENSG00000124256	phase18_exact	phase18	61	22	TRUE	TRUE	TRUE	1.62667857912725	TRUE		TRUE		-2.47304699953079	-0.36246294956354	1.25027928135411	4568
33681	NKILA	ENSG00000278709	phase18_exact	phase18	55	14	TRUE	TRUE	TRUE	0.754287363884712	TRUE		TRUE		-1.49415755977679	-0.0414365135226008	1.32466029550084	4569
33689	APCDD1L	ENSG00000198768	phase18_exact	phase18	32	12	TRUE	TRUE	TRUE	1.91804542997254	TRUE		TRUE		-2.02974323915332	-0.358935306741392	1.29990848081247	4570
33690	APCDD1L-DT	ENSG00000231290	exact	unique_symbol	56	18	TRUE	TRUE	TRUE	1.80219492855159	TRUE		TRUE		-2.93706440612587	-0.413846068722685	1.12926393303011	4571
33706	TUBB1	ENSG00000101162	phase18_exact	phase18	30	10	TRUE	TRUE	TRUE	1.63671966598157	TRUE		TRUE		-1.90403534889534	0.0941375067161476	1.27192822720687	4572
