node_order	source_symbol
1290	BBS12
1291	FGF2
1292	SPRY1
1293	LINC02435
1294	LINC01091
1295	LINC02516
1296	FAT4
1297	PLK4
1298	LINC02479
1299	LINC02511
1300	SLC7A11
1301	LINC00499
1302	CLGN
1303	LINC02432
1304	IL15
1305	FREM3
1306	GYPE
1307	HHIP-AS1
1308	HHIP
1309	TTC29
1310	EDNRA
1311	LINC02355
1312	IQCM
1313	FAM160A1
1314	MIR4453HG
1315	TIGD4
1316	FHDC1
1317	MND1
1318	DCHS2
1319	LRAT
1320	GUCY1A1
1321	TDO2
1322	C4orf46
1323	C4orf45
1324	NPY1R
1325	SMIM31
1326	TRIM61
1327	FAM218A
1328	TLL1
1329	ANXA10
1330	AADAT
1331	SAP30
1332	SCRG1
1333	HAND2-AS1
1334	LINC02268
1335	ADAM29
1336	NEIL3
1337	AGA
1338	LINC01098
1339	LINC01099
1340	LINC00290
1341	TENM3-AS1
1342	WWC2-AS2
1343	WWC2-AS1
1344	ENPP6
1345	LINC02363
1346	LINC02362
1347	CENPU
1348	ACSL1
1349	MIR3945HG
1350	CCDC110
1351	PDLIM3
1352	FAT1
1353	LINC01060
1354	AHRR
1355	EXOC3-AS1
1356	SLC9A3-AS1
1357	ZDHHC11B
1358	ZDHHC11
1359	TRIP13
1360	AC026412.3
1361	ADAMTS16
1362	LINC02102
1363	LINC02236
1364	LINC02196
1365	LINC02112
1366	ROPN1L
1367	DNAH5
1368	LINC02149
1369	FBXL7
1370	MARCH11
1371	LINC02150
1372	LINC02217
1373	C5orf17
1374	LINC02211
1375	PURPL
1376	LINC02109
1377	CDH6
1378	NPR3
1379	ADAMTS12
1380	SLC45A2
1381	RAI14
1382	TTC23L
1383	PRLR
1384	IL7R
1385	RANBP3L
1386	GDNF-AS1
1387	LIFR
1388	LIFR-AS1
1389	OSMR-AS1
1390	OSMR
1391	C9
1392	LINC00603
1393	PTGER4
1394	C7
1395	PLCXD3
1396	CCDC152
1397	SELENOP
1398	ANXA2R
1399	CCL28
1400	FGF10
1401	LINC02224
1402	PELO
1403	ITGA1
1404	ITGA2
1405	LINC01033
1406	HSPB3
1407	CCNO
1408	DDX4
1409	ANKRD55
1410	LINC01948
1411	SETD9
1412	GAPT
1413	DEPDC1B
1414	LINC02057
1415	ADAMTS6
1416	CENPK
1417	SHLD3
1418	CD180
1419	CCNB1
1420	CENPH
1421	OCLN
1422	SERF1B
1423	SMN2
1424	SERF1A
1425	CARTPT
1426	ZNF366
1427	LINC01331
1428	GCNT4
1429	ANKRD31
1430	ANKDD1B
1431	SV2C
1432	IQGAP2
1433	F2RL1
1434	BHMT2
1435	LINC01337
1436	RASGRF2-AS1
1437	CKMT2
1438	ACOT12
1439	RPS23
1440	VCAN
1441	HAPLN1
1442	LINC01949
1443	LINC02060
1444	MEF2C-AS2
1445	LUCAT1
1446	RFESD
1447	SPATA9
1448	LINC01554
1449	PCSK1
1450	LIX1-AS1
1451	LIX1
1452	LINC01340
1453	LINC02234
1454	SLCO4C1
1455	LINC01950
1456	NREP-AS1
1457	CDO1
1458	LVRN
1459	SEMA6A-AS2
1460	LINC02147
1461	LINC02208
1462	SNCAIP
1463	LINC02201
1464	PPIC
1465	PRDM6
1466	LINC01170
1467	LINC02240
1468	LMNB1-DT
1469	LMNB1
1470	CTXN3
1471	CCDC192
1472	FBN2
1473	SLC27A6
1474	ADAMTS19-AS1
1475	ADAMTS19
1476	MINAR2
1477	MEIKIN
1478	P4HA2-AS1
1479	P4HA2
1480	SLC22A4
1481	SLC22A5
1482	TH2LCRR
1483	SOWAHA
1484	CXCL14
1485	SLC25A48
1486	TGFBI
1487	SMAD5-AS1
1488	MYOT
1489	PKD2L2
1490	NME5
1491	CDC25C
1492	EGR1
1493	MATR3
1494	SNHG4
1495	SLC23A1
1496	SPATA24
1497	PSD2
1498	HBEGF
1499	CD14
1500	DND1
1501	PCDHA10
1502	PCDHB4
1503	PCDHB16
1504	PCDHB10
1505	PCDHB14
1506	PCDHGA1
1507	PCDHGA5
1508	PCDHGB3
1509	PCDHGA6
1510	PCDHGA7
1511	PCDHGA8
1512	PCDHGB5
1513	PCDHGA9
1514	PCDHGB7
1515	PCDHGA11
1516	PCDHGA12
1517	PCDHGC3
1518	ARAP3
1519	PCDH1
1520	SPRY4
1521	FGF1
1522	ARHGAP26-AS1
1523	ARHGAP26-IT1
1524	SH3RF2
1525	STK32A
1526	JAKMIP2-AS1
1527	SPINK9
1528	SH3TC2
1529	SH3TC2-DT
1530	AFAP1L1
1531	GRPEL2-AS1
1532	CARMN
1533	PDE6A
1534	TIGD6
1535	PDGFRB
1536	IRGM
1537	ZNF300
1538	GPX3
1539	FAT2
1540	SPARC
1541	CLMAT3
1542	GLRA1
1543	LINC01933
1544	LINC01470
1545	TIMD4
1546	HAVCR1
1547	ADAM19
1548	THG1L
1549	EBF1
1550	LINC01845
1551	LINC01847
1552	ADRA1B
1553	FABP6
1554	CCNJL
1555	PTTG1
1556	MIR3142HG
1557	GABRA6
1558	LINC01202
1559	HMMR
1560	FBLL1
1561	SPDL1
1562	INSYN2B
1563	C5orf58
1564	KCNIP1
1565	KCNMB1
1566	SH3PXD2B
1567	NEURL1B
1568	DUSP1
1569	LINC01411
1570	LINC01951
1571	DRD1
1572	NOP16
1573	EIF4E1B
1574	UNC5A
1575	HK3
1576	RAB24
1577	PRELID1
