CDYL2	ZNF366
CMIP	CNKSR3
CMIP	IL4R
CMIP	SEMA6B
CRISPLD2	HEYL
FOXF1	GIMAP4
SNAI3-AS1	C5
TLCD2	CD81-AS1
PFN1	NDUFAF3
PFN1	POLR2E
RNASEK	AURKAIP1
RNASEK	PRDX1
RNASEK	S100A13
RNASEK	COX8A
RNASEK	PSME1
RNASEK	NOP10
RNASEK	COX7B
SLC16A11	PSPN
GSG1L2	AC125616.1
CENPV	LFNG
RPL19	RPL29
RPL19	PRELID1
RPL19	RPS21
CSF3	SH3TC1
CCDC200	LNX1-AS1
HIGD1B	TPI1
HLF	ASRGL1
ABCA8	LINC01237
ABCA8	PLD1
ABCA8	PAMR1
ABCA9-AS1	RBMS3-AS2
ABCA9-AS1	PRSS48
ABCA9	BHMT2
ABCA6	LTBP2
ABCA6	FLVCR2
ABCA10	CLDN11
ABCA10	RASEF
ABCA10	COL15A1
ABCA10	CMKLR1
ABCA10	MCTP2
ABCA10	ABCA8
ABCA10	ABCA9
ABCA10	ABCA6
ABCA10	SRPX2
SSTR2	DLEU7
ZNF750	PHACTR2-AS1
MYL12A	RPL36AL
MYL12A	PFN1
MYL12A	GPX4
MYL12A	PPDPF
ABHD3	PRLR
ST8SIA3	GNG2
RNF152	PDE3A
RNF152	PCBP3
HMSD	RECQL4
SERPINB8	ZNF653
CBLN2	LINC01378
RBFADN	OSBPL10-AS1
GPX4	TMEM258
GPX4	SMIM26
SBNO2	SHB
SBNO2	IL15RA
OAZ1	WNT6
OAZ1	UBXN1
OAZ1	ACD
OAZ1	RNASEK
OAZ1	GADD45GIP1
GADD45B	DDIT4
TINCR	POLR1E
PRR22	LINC02163
UBL5	UQCRQ
UBL5	DCTN3
UBL5	PSMC3
CDKN2D	BAG1
CDKN2D	SUMO3
TMED1	TMEM251
ZNF20	LINC01348
JUNB	BHLHE40
JUNB	SLC2A3
JUNB	APOLD1
JUNB	GADD45B
GADD45GIP1	COX14
IER2	ROBO4
NDUFB7	GNG11
NDUFB7	SIGIRR
KLF2	KLF4
UNC13A	BICDL1
RPL18A	SNRPG
RPL18A	RPP21
RPL18A	MAF1
RPL18A	RPS9
UBA52	RPS9
TMEM147	CIB1
MIA	FAM41C
MIA	LINC01356
MIA	LINC02115
PCAT19	SGPP2
ATP1A3	PHYHIP
PVR	PIK3R3
PVR	GIMAP5
PVR	PTCH1
GPR4	GJA4
NOP53	GMPR2
RPL18	GNG11
RPL18	CYC1
RPL18	GSTP1
RPL18	RAN
RPL18	RPL18A
RPL18	FTL
RPL18	TSEN34
RPL18	UQCR10
FTL	MRFAP1
FTL	RPLP0
FTL	IRAK1
SLC17A7	TCEAL2
RRAS	PPP1R14A
FAM71E1	CIB4
FAM71E1	IGF2BP1
ZNF497	DRG2
RPS5	SH3BGRL3
RPS5	FAM89B
RPS5	LGALS1
GPCPD1	AC048382.5
SNAP25	VSNL1
SNAP25	CREG2
SNAP25	ATP2B2
SNAP25	ENC1
SNAP25	CABP1
ISM1	ENPP6
ACSS1	EMX2OS
FAM242A	LINC01923
FAM242A	ZNF750
FAM242A	MAP4K1
FAM242A	ERFL
REM1	NTN1
SLC12A5	KCNK1
FAM209A	SLC15A1
FAM209A	TTLL13P
TFAP2C	LRRIQ3
RBM38	CD300A
RPS21	HLA-A
SLCO4A1	UPP1
SLCO4A1	PECAM1
SLCO4A1	SLC52A3
SLCO4A1	RPGR
TNFRSF6B	CHST2
SOX18	ID3
SOX18	RNASE1
SOX18	KLF2
DNAJC28	KCNK15
MRPS6	BCAM
MRPS6	SLC5A3
SLC19A1	P2RY14
PCBP3	SLC6A17
PCBP3	COL4A4
PCBP3	TRPC4
PCBP3	PLEKHG3
CECR3	MATN3
CLDN5	SRARP
CLDN5	EFNA1
CLDN5	DUSP23
CLDN5	TAGLN2
CLDN5	HYAL2
CLDN5	HLA-E
CLDN5	PERP
CLDN5	ICAM2
CLDN5	RASIP1
CLDN5	TGM2
CLDN5	SOX18
THAP7-AS1	TMEM234
MIF	SIVA1
UQCR10	NDUFA11
LGALS1	ADIRF
LGALS1	NDUFA4L2
LGALS1	CRIP1
LGALS1	PPP1R14A
FBLN1	FMO2
FBLN1	FHL2
FBLN1	FBLN2
FBLN1	PDGFRA
FBLN1	COL23A1
FBLN1	CPVL
FBLN1	NTRK3
FBLN1	MMP2
PIGA	CCDC175
DIPK2B	CYYR1
NDUFB11	NDUFS3
PCSK1N	STMN1
PCSK1N	BEX1
PDZD11	RND2
XIST	EIF1AY
RPA4	LAT2
MORF4L2-AS1	FAM83H
RPL39	RPL30
RPL39	EEF1G
ZBTB33	MDH1B
SLC25A14	RN7SL832P
SSR4	PSMA4
RPL10	MRPL55
RPL10	IFITM3
RPL10	RPS2
RPL10	SSR4
TMLHE-AS1	ANKUB1
TMLHE-AS1	MAK
TMLHE-AS1	SCARA5
TMLHE-AS1	GLIPR1L1
PCDH11Y	ZFY
PRKY	TSIX
PRKY	NLGN4Y
UTY	RPS4Y1
UTY	PCDH11Y
UTY	PRKY
NLGN4Y	LINC00278
TTTY14	ZFY-AS1
TTTY14	USP9Y
TTTY14	UTY
TTTY14	TTTY10
KDM5D	XIST
KDM5D	DDX3Y
EIF1AY	TBL1Y
MT-ND1	MT-ND4L
MT-ND1	MT-ND4
MT-ND2	MT-ND1
MT-ND2	MT-ND5
MT-ATP6	MT-ND3
MT-ATP6	MT-CYB
MT-ND5	C11orf68
MT-ND5	MT-ATP8
MT-CYB	MT-CO2
MT-CYB	MT-CO3
