sensitivity_id	method_branch	rds_id	cell_type_high_resolution	contrast_id	contrast_name	entity_type	entity	primary_effect	sensitivity_effect	primary_fdr	sensitivity_fdr	terminal_status	bad_primary_effect	bad_sensitivity_effect	bad_primary_fdr	bad_sensitivity_fdr
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	KYAT3			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	ABCD3			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	DBT			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	AL355306.2			7.26318410458599e-11	3.83458711523986e-09	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	SLC25A24			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	SARS			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	AHCYL1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	ATP5PB			0.581234224107093	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	WARS2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	PEX11B			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	ACP6			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	BOLA1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MRPS21			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	TARS2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MCL1			0.802930314497986	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MRPL9			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	TDRKH			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	THEM4			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	FLAD1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MTX1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	FDPS			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	DAP3			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	SLC25A44			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	NAXE			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MRPL24			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	DUSP23			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	NIT1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	PPOX			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	NDUFS2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	TOMM40L			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	SDHC			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	NOS1AP			0.000463413600229667	0.0102785226266608	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MGST3			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	ALDH9A1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	ADCY10			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MPC2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	PRDX6			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	DARS2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MRPS14			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MR1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	CACNA1E			3.90720205475894e-06	0.000172282120564399	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	GLRX2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	KCNT2			2.64829127801993e-06	0.00011217367728694	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	TIMM17A			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	HSD11B1			3.45289708663817e-06	0.000147438505409927	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	ANGEL2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	PROX1			4.44360676199282e-05	0.00136586733597934	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	LYPLAL1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	IARS2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MARC2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MARC1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	COQ8A			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MRPL55			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
