alias	canonical_symbol	alias_type	canonical_targets	duplicate_alias	feature_present_rds	selected_mapping_rds
AMT	AMT	canonical	1	FALSE	9	0
ANGEL2	ANGEL2	canonical	1	FALSE	9	0
ANH1	ALAS2	synonym	1	FALSE	0	0
ANKCLB	CLPB	synonym	1	FALSE	0	0
ANOA	FDXR	synonym	1	FALSE	0	0
ANT	SLC25A4	synonym	2	TRUE	0	0
ANT	SLC25A6	synonym	2	TRUE	0	0
ANT 1	SLC25A4	synonym	1	FALSE	0	0
ANT 2	SLC25A6	synonym	1	FALSE	0	0
ANT 3	SLC25A6	synonym	1	FALSE	0	0
ANT 4	SLC25A31	synonym	1	FALSE	0	0
ANT-KMT	ANTKMT	synonym	1	FALSE	0	0
ANT1	SLC25A4	synonym	1	FALSE	0	0
ANT2	SLC25A5	synonym	1	FALSE	0	0
ANT3	SLC25A6	synonym	1	FALSE	0	0
ANT3Y	SLC25A6	synonym	1	FALSE	0	0
ANT4	SLC25A31	synonym	1	FALSE	0	0
ANTKMT	ANTKMT	canonical	1	FALSE	0	0
AOE37-2	PRDX4	synonym	1	FALSE	0	0
AOE372	PRDX4	synonym	1	FALSE	0	0
AOEB166	PRDX5	synonym	1	FALSE	0	0
AOP-1	PRDX3	synonym	1	FALSE	0	0
AOP1	PRDX3	synonym	1	FALSE	0	0
AOP2	PRDX6	synonym	1	FALSE	0	0
AP3Aase	FHIT	synonym	1	FALSE	0	0
APAF-3	CASP9	synonym	1	FALSE	0	0
APAF3	CASP9	synonym	1	FALSE	0	0
APAH1	NUDT2	synonym	1	FALSE	0	0
APC1	SLC25A24	synonym	1	FALSE	0	0
APC2	SLC25A23	synonym	1	FALSE	9	9
APC4	SLC25A41	synonym	1	FALSE	0	0
APE	APEX1	synonym	1	FALSE	0	0
APE1	APEX1	synonym	1	FALSE	0	0
APEN	APEX1	synonym	1	FALSE	0	0
APEX	APEX1	synonym	1	FALSE	0	0
APEX1	APEX1	canonical	1	FALSE	9	0
APLCC	COX7B	synonym	1	FALSE	0	0
APOA1BP	NAXE	synonym	1	FALSE	0	0
APOLMT	POLRMT	synonym	1	FALSE	0	0
APOO	APOO	canonical	1	FALSE	9	0
APOOL	APOOL	canonical	1	FALSE	9	0
APOP	COA8	synonym	1	FALSE	0	0
APOP1	COA8	synonym	1	FALSE	0	0
APOPT1	COA8	synonym	1	FALSE	9	9
APP3	XPNPEP3	synonym	1	FALSE	0	0
APR	PMAIP1	synonym	1	FALSE	0	0
APT-1	LYPLA1	synonym	1	FALSE	0	0
APT1	LYPLA1	synonym	1	FALSE	0	0
APT5H	ATP5PD	synonym	1	FALSE	0	0
APX	APEX1	synonym	1	FALSE	0	0
AQDQ	NDUFS4	synonym	1	FALSE	0	0
AR-JP	PRKN	synonym	1	FALSE	0	0
ARALAR	SLC25A12	synonym	1	FALSE	0	0
ARALAR2	SLC25A13	synonym	1	FALSE	0	0
ARC42	ACAD8	synonym	1	FALSE	0	0
ARCA2	COQ8A	synonym	1	FALSE	0	0
ARCL2B	PYCR1	synonym	1	FALSE	0	0
ARCL3A	ALDH18A1	synonym	1	FALSE	0	0
ARCL3B	PYCR1	synonym	1	FALSE	0	0
ARF5	ARF5	canonical	1	FALSE	9	0
ARFL2	ARL2	synonym	1	FALSE	0	0
ARG2	ARG2	canonical	1	FALSE	9	0
ARGA	NAGS	synonym	1	FALSE	0	0
ARHT1	RHOT1	synonym	1	FALSE	0	0
ARHT2	RHOT2	synonym	1	FALSE	0	0
ARIP2	SYNJ2BP	synonym	1	FALSE	0	0
ARL-1	AKR1B10	synonym	1	FALSE	0	0
ARL1	AKR1B10	synonym	1	FALSE	9	9
ARL2	ARL2	canonical	1	FALSE	9	0
ARMC10	ARMC10	canonical	1	FALSE	9	0
ARMCX1	ARMCX1	canonical	1	FALSE	9	0
ARMCX2	ARMCX2	canonical	1	FALSE	9	0
ARMCX3	ARMCX3	canonical	1	FALSE	9	0
ARMCX6	ARMCX6	canonical	1	FALSE	9	0
ARTS	SEPTIN4	synonym	1	FALSE	0	0
ASAT	ABCB7	synonym	1	FALSE	0	0
ASB	ALAS2	synonym	1	FALSE	0	0
ASFGF2	NUDT6	synonym	1	FALSE	0	0
ASHI	NDUFB8	synonym	1	FALSE	0	0
ASPRS	DARS2	synonym	1	FALSE	0	0
ASRIJ	OCIAD1	synonym	1	FALSE	0	0
AT	GATM	synonym	1	FALSE	0	0
ATAD1	ATAD1	canonical	1	FALSE	9	0
ATAD3A	ATAD3A	canonical	1	FALSE	9	0
ATAD3B	ATAD3B	canonical	1	FALSE	9	0
ATP11	ATPAF1	synonym	1	FALSE	0	0
ATP11p	ATPAF1	synonym	1	FALSE	0	0
ATP12	ATPAF2	synonym	1	FALSE	0	0
ATP12p	ATPAF2	synonym	1	FALSE	0	0
ATP23	ATP23	canonical	1	FALSE	9	0
ATP5	ATP5PF	synonym	1	FALSE	0	0
ATP5A	ATP5F1A	synonym	4	TRUE	0	0
ATP5A	ATP5MC1	synonym	4	TRUE	0	0
ATP5A	ATP5MC2	synonym	4	TRUE	0	0
ATP5A	ATP5PF	synonym	4	TRUE	0	0
ATP5A1	ATP5F1A	synonym	1	FALSE	0	0
ATP5AL2	ATP5F1A	synonym	1	FALSE	0	0
ATP5B	ATP5F1B	synonym	1	FALSE	0	0
ATP5C	ATP5F1C	synonym	1	FALSE	0	0
ATP5C1	ATP5F1C	synonym	1	FALSE	0	0
ATP5CL1	ATP5F1C	synonym	1	FALSE	0	0
ATP5D	ATP5F1D	synonym	1	FALSE	0	0
ATP5E	ATP5F1E	synonym	1	FALSE	0	0
ATP5F1	ATP5PB	synonym	1	FALSE	0	0
ATP5F1A	ATP5F1A	canonical	1	FALSE	9	0
ATP5F1B	ATP5F1B	canonical	1	FALSE	9	0
ATP5F1C	ATP5F1C	canonical	1	FALSE	9	0
ATP5F1D	ATP5F1D	canonical	1	FALSE	9	0
ATP5F1E	ATP5F1E	canonical	1	FALSE	9	0
ATP5G	ATP5MC1	synonym	1	FALSE	0	0
ATP5G1	ATP5MC1	synonym	1	FALSE	0	0
ATP5G2	ATP5MC2	synonym	1	FALSE	0	0
ATP5G3	ATP5MC3	synonym	1	FALSE	0	0
ATP5H	ATP5PD	synonym	1	FALSE	0	0
ATP5I	ATP5ME	synonym	1	FALSE	0	0
ATP5IF1	ATP5IF1	canonical	1	FALSE	9	0
ATP5J	ATP5PF	synonym	1	FALSE	0	0
ATP5J2	ATP5MF	synonym	1	FALSE	0	0
ATP5J2-PTCD1	ATP5MF-PTCD1	synonym	1	FALSE	0	0
ATP5JG	ATP5MG	synonym	1	FALSE	0	0
ATP5JL	ATP5MF	synonym	1	FALSE	0	0
ATP5K	ATP5ME	synonym	1	FALSE	0	0
ATP5L	ATP5MG	synonym	1	FALSE	0	0
ATP5MC1	ATP5MC1	canonical	1	FALSE	9	0
ATP5MC2	ATP5MC2	canonical	1	FALSE	9	0
ATP5MC3	ATP5MC3	canonical	1	FALSE	9	0
ATP5MD	ATP5MD	canonical	1	FALSE	9	0
ATP5ME	ATP5ME	canonical	1	FALSE	9	0
ATP5MF	ATP5MF	canonical	1	FALSE	9	0
ATP5MF-PTCD1	ATP5MF-PTCD1	canonical	1	FALSE	9	0
ATP5MG	ATP5MG	canonical	1	FALSE	9	0
ATP5MPL	ATP5MPL	canonical	1	FALSE	9	0
ATP5O	ATP5PO	synonym	1	FALSE	0	0
ATP5PB	ATP5PB	canonical	1	FALSE	9	0
