shortlist_rank	priority_tier	gene	context_effect_rank	contrast_id	rds_id	cell_type	sex	apoe_group	yu_stratum	logFC	fdr	cells_ad	cells_nci	donors_ad	donors_nci
13	B	SLIRP	20	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e4	excitatory_set3	Exc RELN CHD7	Female	e4	F_e4x	-0.398907	0.0046741	884	736	24	11
14	B	NDUFAF4	1	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e4	excitatory_set3	Exc NRGN	Male	e4	M_e4x	-0.805616	0.00110751	4828	461	27	10
14	B	NDUFAF4	2	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e4	excitatory_set2	Exc L3-5 RORB PLCH1	Male	e4	M_e4x	0.566858	0.000220377	2238	987	26	10
14	B	NDUFAF4	3	excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e33	excitatory_set3	Exc L6 CT	Male	e33	M_e33	0.566626	2.69559e-05	1546	3559	27	53
14	B	NDUFAF4	4	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e4	excitatory_set3	Exc L5/6 IT Car3	Male	e4	M_e4x	0.521698	0.0013977	1124	427	27	10
14	B	NDUFAF4	5	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e33	excitatory_set3	Exc NRGN	Male	e33	M_e33	-0.500555	0.0414974	4383	6868	28	52
14	B	NDUFAF4	6	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e4	excitatory_set3	Exc L5-6 RORB LINC02196	Male	e4	M_e4x	0.478683	0.0106933	1275	493	27	10
14	B	NDUFAF4	7	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Male	e2	M_e2x	-0.478174	3.36293e-09	1249	1339	7	6
14	B	NDUFAF4	8	inhibitory::Inh PVALB HTR4::AD_vs_NCI__Male__e2	inhibitory	Inh PVALB HTR4	Male	e2	M_e2x	0.472723	2.04511e-06	612	545	7	6
14	B	NDUFAF4	9	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e4	excitatory_set3	Exc L6 THEMIS NFIA	Male	e4	M_e4x	0.437514	1.82879e-07	3580	1566	27	10
14	B	NDUFAF4	10	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e4	excitatory_set2	Exc L3-5 RORB PLCH1	Female	e4	F_e4x	0.411619	0.0126671	2439	1115	26	11
