schema_version	broad_network	current_symbol	case_id	out_degree	undirected_degree	requested_draws	available_match_pool	completed_draws	observed_aggregate_acat_p	degree_matched_empirical_tail_p	random_seed	blocking_gate
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	LAMTOR5	case3_not_core_mito	9	10	100	6607	100	5.181466066139895e-06	0.009900990099009901	122260022645684	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	RPLP1	case3_not_core_mito	6	7	100	6607	100	7.84938320591808e-06	0.009900990099009901	248727577456392	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	ATP6V1F	case3_not_core_mito	12	13	100	6607	100	5.484953508515869e-05	0.009900990099009901	139626313375647	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	RPL38	case3_not_core_mito	9	9	100	6607	100	9.132228796124589e-05	0.009900990099009901	7511877423060	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Microglia	MT-CO2	case1_core_mito_in_query	3	3	100	114	100	7.832890024363838e-19	0.009900990099009901	125914175342640	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Microglia	MT-ND4	case1_core_mito_in_query	3	4	100	114	100	3.239908122998623e-06	0.019801980198019802	219531406874698	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Microglia	MT-CO2	case2_core_mito_not_in_query	3	3	100	240	100	2.7058204845192916e-05	0.009900990099009901	214647463792692	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Microglia	RPL11	case3_not_core_mito	14	14	100	3707	100	8.039825966182713e-06	0.009900990099009901	92299811213084	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	OPCs	MT-CO3	case1_core_mito_in_query	3	3	100	172	100	6.37704853340537e-13	0.009900990099009901	183613802181982	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	OPCs	MT-CO2	case1_core_mito_in_query	3	4	100	172	100	1.7497132270475178e-07	0.019801980198019802	102222385382899	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	OPCs	MT-ND4	case1_core_mito_in_query	5	6	100	172	100	8.233249520973088e-06	0.019801980198019802	60588767456959	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	OPCs	PSAP	case1_core_mito_in_query	6	7	100	172	100	5.667903368149704e-05	0.019801980198019802	40139122719389	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	OPCs	MT-ND4	case2_core_mito_not_in_query	5	6	100	488	100	1.0592159755910167e-05	0.009900990099009901	261103104113409	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	OPCs	MT-CO2	case2_core_mito_not_in_query	3	4	100	488	100	3.635382148062667e-05	0.009900990099009901	1731140804023	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	OPCs	RPS15	case3_not_core_mito	28	28	100	6276	100	5.864252183499891e-16	0.009900990099009901	187152674926858	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	OPCs	FTL	case3_not_core_mito	30	31	100	6276	100	9.709306937536999e-08	0.009900990099009901	185147061647555	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	OPCs	ANKRD11	case3_not_core_mito	27	28	100	6276	100	5.259996911384487e-07	0.009900990099009901	150478125782014	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	OPCs	NCOA1	case3_not_core_mito	31	32	100	6276	100	4.751138669123453e-05	0.009900990099009901	43173441642105	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Oligodendrocytes	MT-CO2	case1_core_mito_in_query	3	3	100	42	42	1.0058286718653573e-17	0.023255813953488372	237235900035659	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Oligodendrocytes	MT-ND4	case1_core_mito_in_query	3	4	100	42	42	2.4543377717833065e-07	0.046511627906976744	129550276461331	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Oligodendrocytes	RPL11	case3_not_core_mito	11	11	100	4320	100	1.8158810685601265e-05	0.009900990099009901	224613387475652	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Vasculature_cells	MT-CO3	case1_core_mito_in_query	6	6	100	17	17	6.440235728935366e-18	0.05555555555555555	1434425850759	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Vasculature_cells	MT-CO2	case1_core_mito_in_query	5	6	100	17	17	4.980487313806649e-10	0.1111111111111111	85788814717512	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Vasculature_cells	MT-ATP6	case1_core_mito_in_query	2	3	100	17	17	3.254775739587875e-07	0.16666666666666666	128802413198531	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Vasculature_cells	MT-ND4	case1_core_mito_in_query	5	6	100	17	17	1.6181190579657328e-06	0.2222222222222222	121070690685589	FALSE
