contrast_id	contrast_order	rds_id	fine_cell_type	broad_cell_type	signature_group	sex	apoe_group	structural_status	structurally_available	core_feature_rows	mapped_core_feature_rows	unmapped_core_feature_rows	reference_only_rows	admitted_feature_rows	mapped_unique_background_genes	duplicate_symbol_collapses	background_id	background_size	background_status	schema_version
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	46	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	915	915	0	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	915	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e33	47	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	892	892	0	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e33	892	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e4	48	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	896	896	0	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e4	896	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e2	49	excitatory_set3	Exc L5 ET	Excitatory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	991	991	0	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e2	991	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e33	50	excitatory_set3	Exc L5 ET	Excitatory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	973	973	0	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e33	973	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e4	51	excitatory_set3	Exc L5 ET	Excitatory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	988	988	0	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e4	988	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e2	52	excitatory_set3	Exc L5 ET	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	978	978	0	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e2	978	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e33	53	excitatory_set3	Exc L5 ET	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	972	972	0	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e33	972	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e4	54	excitatory_set3	Exc L5 ET	Excitatory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	981	981	0	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e4	981	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e2	55	excitatory_set3	Exc L5-6 RORB LINC02196	Excitatory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	928	928	0	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e2	928	available	fine_deg_pathway_background_manifest_v1
