contrast_id	rds_id	fine_cell_type	broad_cell_type	signature_group	sex	apoe_group	query_mode	pathway_collection	collection_role	structural_status	structurally_available	background_size	query_size	pathway_count	testable_pathways	locally_significant_pathways	globally_significant_pathways	minimum_local_fdr_bh	top_pathway	schema_version
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e4	Female	e4	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	856	83	4	4	0	0	0.442409424425615	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e4	Female	e4	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	856	83	46	43	0	0	1	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e4	Female	e4	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	856	83	149	101	0	0	1	Mitochondrial ribosome	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e4	Female	e4	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	856	3	4	4	0	0	1	Mitochondrial translation	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e4	Female	e4	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	856	3	46	43	0	0	0.789714698369438	Electron carriers	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e4	Female	e4	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	856	3	149	101	0	0	0.695591725598662	Choline and betaine metabolism	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e4	Female	e4	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	856	80	4	4	0	0	0.36412250022341	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e4	Female	e4	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	856	80	46	43	0	0	1	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e4	Female	e4	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	856	80	149	101	0	0	1	Mitochondrial ribosome	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e2	Male	e2	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	848	245	4	4	1	1	4.49806497223133e-13	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e2	Male	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	848	245	46	43	3	3	1.85302449491641e-10	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e2	Male	e2	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	848	245	149	99	5	4	4.26626569759825e-10	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e2	Male	e2	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	848	41	4	4	0	0	0.998551007914365	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e2	Male	e2	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	848	41	46	43	0	0	0.340896582959711	Small molecule transport	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e2	Male	e2	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	848	41	149	99	0	0	0.49226458253195	Small molecule transport	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e2	Male	e2	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	848	204	4	4	1	1	7.76954056233897e-16	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e2	Male	e2	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	848	204	46	43	4	3	1.39443188242883e-12	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e2	Male	e2	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	848	204	149	99	7	4	3.21043619442916e-12	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e33	Male	e33	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	818	7	4	4	0	0	0.394501896423326	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e33	Male	e33	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	818	7	46	42	0	0	1	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e33	Male	e33	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	818	7	149	96	0	0	1	CIV subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e33	Male	e33	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	818	1	4	0	0	0	NA	NA	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e33	Male	e33	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	818	1	46	0	0	0	NA	NA	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e33	Male	e33	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	818	1	149	0	0	0	NA	NA	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e33	Male	e33	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	818	6	4	4	0	0	1	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e33	Male	e33	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	818	6	46	42	0	0	1	SLC25A family	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e33	Male	e33	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	818	6	149	96	0	0	1	Fatty acid oxidation	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e4	Male	e4	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	827	21	4	4	0	0	1	Mitochondrial translation	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e4	Male	e4	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	827	21	46	42	0	0	1	Lipid metabolism	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e4	Male	e4	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	827	21	149	96	0	0	1	Lipid metabolism	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e4	Male	e4	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	827	8	4	4	0	0	1	Mitochondrial translation	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e4	Male	e4	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	827	8	46	42	0	0	1	Detoxification	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e4	Male	e4	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	827	8	149	96	0	0	1	Detoxification	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e4	Male	e4	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	827	13	4	4	0	0	1	Mitochondrial translation	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e4	Male	e4	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	827	13	46	42	0	0	1	mtRNA metabolism	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e4	Male	e4	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	827	13	149	96	0	0	1	mtRNA metabolism	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e2	Female	e2	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	923	124	4	4	2	2	1.95778786411953e-17	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	923	124	46	43	5	5	2.13083675339957e-22	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e2	Female	e2	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	923	124	149	105	9	7	5.20320602574314e-22	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e2	Female	e2	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	923	118	4	4	2	2	2.59171091368515e-18	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e2	Female	e2	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	923	118	46	43	5	5	1.45751025223097e-23	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e2	Female	e2	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	923	118	149	105	9	8	3.55903666242447e-23	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e2	Female	e2	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	923	6	4	4	0	0	0.878006302061828	Mitochondrial translation	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e2	Female	e2	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	923	6	46	43	0	0	0.864698633858712	SLC25A family	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e2	Female	e2	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	923	6	149	105	0	0	1	SLC25A family	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e33	Female	e33	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	917	19	4	4	1	1	3.9570475364091e-19	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e33	Female	e33	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	917	19	46	43	3	3	2.40508629605606e-06	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e33	Female	e33	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	917	19	149	106	5	4	5.9288173809754e-06	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e33	Female	e33	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	917	13	4	4	1	1	4.10863299468604e-22	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e33	Female	e33	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	917	13	46	43	3	3	3.86043474673678e-09	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e33	Female	e33	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	917	13	149	106	6	5	9.51642053846741e-09	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e33	Female	e33	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	917	6	4	4	0	0	1	Mitochondrial translation	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e33	Female	e33	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	917	6	46	43	0	0	1	SLC25A family	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e33	Female	e33	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	917	6	149	106	0	0	1	mt-tRNA synthetases	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e4	Female	e4	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	912	123	4	4	1	1	1.04358601554666e-11	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e4	Female	e4	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	912	123	46	43	3	2	2.2836932853931e-08	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e4	Female	e4	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	912	123	149	106	4	4	5.62956949422485e-08	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e4	Female	e4	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	912	1	4	0	0	0	NA	NA	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e4	Female	e4	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	912	1	46	0	0	0	NA	NA	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e4	Female	e4	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	912	1	149	0	0	0	NA	NA	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e4	Female	e4	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	912	122	4	4	1	1	8.08496731711738e-12	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e4	Female	e4	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	912	122	46	43	3	2	1.79649297934916e-08	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e4	Female	e4	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	912	122	149	106	4	3	4.42856408862817e-08	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e2	Male	e2	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	915	175	4	4	1	1	7.73694535418044e-11	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e2	Male	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	915	175	46	43	3	3	1.16456381339208e-10	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e2	Male	e2	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	915	175	149	104	5	5	2.81661945564596e-10	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e2	Male	e2	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	915	46	4	4	0	0	1	Mitochondrial translation	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e2	Male	e2	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	915	46	46	43	0	0	0.71849083435622	Apoptosis	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e2	Male	e2	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	915	46	149	104	0	0	1	Apoptosis	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e2	Male	e2	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	915	129	4	4	2	1	1.27391034290578e-15	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e2	Male	e2	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	915	129	46	43	5	3	3.76285601190649e-16	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e2	Male	e2	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	915	129	149	104	7	5	9.1008610520529e-16	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e33	Male	e33	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	892	5	4	4	1	1	7.35156630512004e-05	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e33	Male	e33	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	892	5	46	43	0	0	0.26207195174837	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e33	Male	e33	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	892	5	149	104	0	0	0.633848441437919	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e33	Male	e33	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	892	3	4	4	1	1	7.46451091591414e-06	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e33	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	M_e33	Male	e33	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	892	3	46	43	1	1	0.0299672969597895	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
