contrast_id	schema_version	manifest_row	rds_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	contrast_kind	numerator	denominator	cells_ad_expected	cells_nci_expected	donors_ad_expected	donors_nci_expected	analysis_population	modeling_status	modeling_reason	terminal_status	genes_returned_phase08	paper_degs_phase08	phase08_status_message	broad_cell_type	signature_group	fine_cell_type	structural_status	structurally_available	contrast_order	background_size	background_status	mito_deg_any_count	mito_deg_down_count	mito_deg_up_count	phase09_contrast_paper_degs
excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	8	excitatory_set2	Exc L3-5 RORB PLCH1	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	3926	3978	37	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11713	386	NA	Excitatory_neurons	F_e33	Exc L3-5 RORB PLCH1	estimable_validated	TRUE	32	903	available	34	3	31	386
excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	9	excitatory_set2	Exc L3-5 RORB PLCH1	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	2439	1115	26	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11827	742	NA	Excitatory_neurons	F_e4	Exc L3-5 RORB PLCH1	estimable_validated	TRUE	33	907	available	55	49	6	742
excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	10	excitatory_set2	Exc L3-5 RORB PLCH1	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	732	581	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11644	2948	NA	Excitatory_neurons	M_e2	Exc L3-5 RORB PLCH1	estimable_validated	TRUE	34	892	available	287	216	71	2948
excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	11	excitatory_set2	Exc L3-5 RORB PLCH1	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	2425	6074	28	53	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11218	301	NA	Excitatory_neurons	M_e33	Exc L3-5 RORB PLCH1	estimable_validated	TRUE	35	872	available	15	11	4	301
excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	12	excitatory_set2	Exc L3-5 RORB PLCH1	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	2238	987	26	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11258	712	NA	Excitatory_neurons	M_e4	Exc L3-5 RORB PLCH1	estimable_validated	TRUE	36	880	available	42	3	39	712
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	13	excitatory_set2	Exc L4-5 RORB GABRG1	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	991	2612	8	16	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11080	662	NA	Excitatory_neurons	F_e2	Exc L4-5 RORB GABRG1	estimable_validated	TRUE	37	874	available	53	24	29	662
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	14	excitatory_set2	Exc L4-5 RORB GABRG1	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	8766	9737	37	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10995	300	NA	Excitatory_neurons	F_e33	Exc L4-5 RORB GABRG1	estimable_validated	TRUE	38	868	available	22	5	17	300
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	15	excitatory_set2	Exc L4-5 RORB GABRG1	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	4249	2234	25	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10995	895	NA	Excitatory_neurons	F_e4	Exc L4-5 RORB GABRG1	estimable_validated	TRUE	39	856	available	83	80	3	895
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	16	excitatory_set2	Exc L4-5 RORB GABRG1	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	1249	1339	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10778	2311	NA	Excitatory_neurons	M_e2	Exc L4-5 RORB GABRG1	estimable_validated	TRUE	40	848	available	245	204	41	2311
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	17	excitatory_set2	Exc L4-5 RORB GABRG1	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	5291	12067	27	53	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10403	196	NA	Excitatory_neurons	M_e33	Exc L4-5 RORB GABRG1	estimable_validated	TRUE	41	818	available	7	6	1	196
