AGRN	MAP4K2
H2AFZ	TMEM70
H2AFZ	NANS
H2AFZ	GOLGA8N
H2AFZ	COPRS
EMCN	LINC01100
BANK1	CATIP-AS2
BANK1	CFAP299
NFKB1	ZBTB34
NFKB1	RHOBTB1
NFKB1	AC079385.1
NFKB1	SORD
NFKB1	AC036108.3
MANBA	PPIAL4G
MANBA	AL024498.1
AC018797.2	GPR156
AC018797.2	TIGD7
AC018797.2	PAM16
AC018797.2	MROH8
AC018797.2	OSER1-DT
CISD2	ZNF346
CISD2	LINC02449
CISD2	TP53RK
SLC9B1	AC092164.1
SLC9B1	IFT122
SLC9B1	AC073878.1
SLC9B1	IMMP1L
SLC9B1	GYS2
SLC9B1	LINC02340
SLC9B1	AC099518.1
AC004052.1	LINC02503
CXXC4	LINC01500
CXXC4	PCMTD2
AC004053.1	AC090833.1
AC004053.1	ACSM6
GSTCD	ZBED5-AS1
SGMS2	FSIP2
SGMS2	PIP
RPL34	ZNF347
RPL34	FOXRED2
ETNPPL	SLC14A1
COL25A1	LINC01933
AC126283.1	GDF9
AC126283.1	AC087623.3
AC126283.1	AC008770.2
EGF	AC244517.6
ELOVL6	NKAPL
AP1AR	TDP1
LARP7	ALG6
LARP7	TXNDC15
LARP7	AC013470.2
LARP7	CBWD5
LARP7	AP001157.1
LARP7	ANKRD49
LARP7	WDR66
LARP7	LINC00517
LARP7	AC093525.6
LARP7	ZNF682
LARP7	ZNF845
ANK2	WDR78
ANK2	AKNAD1
ANK2	TBCE-1
ANK2	KCNH8
ANK2	LINC00882
ANK2	MRPS22
ANK2	THEMIS
ANK2	EXT1
ANK2	MIPEP
ANK2	NUDT15
ANK2	ZNF280D
ANK2	ASPA
ANK2	VASP
ANK2	ASPHD2
AC093879.1	AC012358.3
AC093879.1	TTC23L
AC093879.1	LINC01470
AC093879.1	AC131571.1
AC093879.1	ENO4
AC093879.1	AC108721.1
AC093879.1	C12orf56
AC093879.1	CPB2
AC093879.1	AC009690.2
AC093879.1	SPATA22
AC093879.1	SFI1
AC093879.1	AL031587.2
TRAM1L1	AL928921.2
TRAM1L1	KLHL29
SNHG8	NAGPA-AS1
PRSS12	CYP4A22-AS1
PRSS12	CYP1B1
PRSS12	B3GALT1
PRSS12	EGF
PRSS12	AL136317.2
PRSS12	TMEM200C
PDE5A	ACAP3
PDE5A	SYNC
PDE5A	AC105277.1
PDE5A	AL354949.1
PDE5A	PDZK1
PDE5A	PDC
PDE5A	C4BPA
PDE5A	AL451047.1
PDE5A	NLRC4
PDE5A	MEIS1-AS2
PDE5A	ANKRD53
PDE5A	AC006460.1
PDE5A	COL4A3
PDE5A	AC092053.3
PDE5A	DENND6A-AS1
PDE5A	CFAP44-AS1
PDE5A	RUVBL1
PDE5A	SOX2
PDE5A	AL158068.2
PDE5A	MGST2
PDE5A	C5orf34
PDE5A	AC008496.2
PDE5A	AC244517.2
PDE5A	AC005740.3
PDE5A	JAKMIP2-AS1
PDE5A	AL512422.1
PDE5A	PCOLCE-AS1
PDE5A	ST7-AS2
PDE5A	AC092666.1
PDE5A	PTGR1
PDE5A	ENG
PDE5A	AC069287.3
PDE5A	AP002336.2
PDE5A	IDI2
PDE5A	AL157395.1
PDE5A	CD27
PDE5A	PCDH9-AS2
PDE5A	PRMT5-AS1
PDE5A	G2E3-AS1
PDE5A	SLC24A5
PDE5A	AC023906.4
PDE5A	RAB11A
PDE5A	AC103876.1
PDE5A	AC010542.2
PDE5A	LINC01568
PDE5A	AC087501.1
PDE5A	ETV4
PDE5A	SKAP1
PDE5A	AC016866.2
PDE5A	AL035448.1
PDE5A	PROCR
PDE5A	ACSBG2
PDE5A	AC011503.1
PDE5A	ZBTB32
PDE5A	AC006262.2
PDE5A	ZNF649-AS1
ANXA5	LAMTOR3
CCNA2	GDPD3
FAT4	GADD45G
INTU	ABCA5
HSPA4L	HIBCH
HSPA4L	TIMM44
AC108062.1	LINC02473
AC108062.1	AC011921.1
SNHG27	AL590399.3
AC115622.1	AC110751.1
AC105383.1	ZC3H6
AC105383.1	RARG
AC105383.1	ZFP28
AC107463.1	NR5A2
AC107463.1	IL1R1
AC018680.1	MEI4
AC018680.1	AL358234.1
AC018680.1	TMC5
AC018680.1	LINC01643
LINC00500	LINC00499
AC109927.1	DAB1
SCOC	ENOPH1
SCOC	ZXDB
ELMOD2	AL589765.6
ELMOD2	TRUB1
AC104596.1	FSIP2-AS1
AC104596.1	INPP4B
SMAD1	AC009988.1
ZNF827	NR3C2
ZNF827	MAP3K15
NR3C2	SPATA9
DCLK2	FBXL2
DCLK2	PRDM5
DCLK2	RIMS1
DCLK2	AC004540.1
RPS3A	AL136454.1
PRSS48	AC008957.2
PRSS48	TEK
PRSS48	ASPN
PRSS48	AC127164.1
PRSS48	AC022469.2
PRSS48	AC055811.1
PRSS48	AL121900.1
FAM160A1	TXK
MND1	AL513329.1
MND1	PNPLA1
MND1	AL136366.1
MND1	B3GNT6
MND1	AP002884.3
MND1	AVIL
MND1	KIFC3
MND1	GFOD2
TMEM131L	KIAA1324
TMEM131L	RNF24
AC079298.3	IL15RA
AC104407.1	TIGD4
AC104407.1	AC097467.3
AC104407.1	SPATA24
MAP9	CCDC181
GLRB	PDGFC
GRIA2	MARK1
GRIA2	CSRNP3
GRIA2	PLCL2
FAM198B	FAM198B-AS1
C4orf45	TUBGCP6
LINC02233	AC090510.2
LINC02477	LINC01796
LINC02477	AC096759.2
LINC02477	AC090282.1
NPY1R	GPR63
FAM218A	AL023806.1
FAM218A	TMEM218
MSMO1	FDPS
MSMO1	HSD17B7
MSMO1	HMGCS1
MSMO1	HMGCR
MSMO1	AL355312.3
MSMO1	ACAT2
MSMO1	FDFT1
MSMO1	SQLE
MSMO1	SC5D
MSMO1	IDI1
MSMO1	AC009690.3
MSMO1	LDLR
CPE	RGS14
CPE	RCN1
DDX60	IFI44
PALLD	RAPGEF4-AS1
PALLD	OPRM1
MFAP3L	FANCD2
MFAP3L	DBNDD1
GALNT7	AC105285.1
HMGB2	AC097534.1
HAND2-AS1	BRDT
HAND2-AS1	HAPLN2
HAND2-AS1	LINC00276
HAND2-AS1	AC006480.2
HAND2-AS1	DEC1
HAND2-AS1	LINC02356
HAND2-AS1	DIAPH3
HAND2-AS1	AC133919.1
HAND2-AS1	AC011447.3
LINC02269	AC244035.1
CEP44	DBR1
GPM6A	LUZP1
GPM6A	ERICH3
GPM6A	DDAH1
GPM6A	PTGFRN
GPM6A	CADM3
GPM6A	SCN2A
GPM6A	CHN1
GPM6A	EPHA4
GPM6A	SYNPR
GPM6A	LNX1
GPM6A	PARM1
GPM6A	GLRB
GPM6A	NR2F1
GPM6A	CAP2
GPM6A	FAXC
GPM6A	VSTM2A
GPM6A	MAOB
GPM6A	FHL1
GPM6A	SLITRK4
GPM6A	LY6H
GPM6A	SH3GL2
GPM6A	C9orf129
GPM6A	BRINP1
GPM6A	ELMOD1
GPM6A	C11orf87
GPM6A	ANXA11
GPM6A	LGI1
GPM6A	NELL2
GPM6A	TESPA1
GPM6A	KITLG
GPM6A	CACNG3
GPM6A	FAM171A2
GPM6A	CELF4
AC093801.1	FSHR
AC093801.1	GLYATL1
AC093801.1	LINC02335
AC093801.1	AC025272.1
LINC01099	AC078881.1
LINC01099	LINC01098
LINC01099	TENM3
AC098864.1	LINC01098
AC098864.1	AC104803.1
AC098864.1	LINC00290
AC079226.2	VIL1
AC079226.2	SFRP4
CDKN2AIP	WDCP
ING2	RRP8
AC107214.2	AC002550.2
STOX2	DOK1
STOX2	AC064871.1
STOX2	AC097468.3
STOX2	AC098818.2
STOX2	CISD2
STOX2	ANK2
STOX2	AC012640.1
STOX2	SETD9
STOX2	AC104123.1
STOX2	ORC3
STOX2	DNAH11
STOX2	CTPS2
STOX2	MTMR7
STOX2	TMEM74
STOX2	FAM78A
STOX2	CDCA3
STOX2	USP44
STOX2	AL355075.4
STOX2	AL139099.1
STOX2	UNKL
STOX2	SEC14L5
STOX2	NUP93
STOX2	AC006449.6
STOX2	CNTD1
STOX2	NDUFAF5
STOX2	AL031666.1
STOX2	AC114271.1
STOX2	C19orf12
STOX2	PRRG2
STOX2	AP000704.1
ENPP6	LINC01763
LINC02363	AC021739.2
LINC02427	AC108471.2
LINC02365	AC145285.2
SLC25A4	ATP6AP2
SLC25A4	PGAM1
SLC25A4	LDHB
ANKRD37	DDIT4
C4orf47	TCEANC
CYP4V2	NMRK1
CYP4V2	ZDHHC6
FRG1-DT	AL513365.2
PDCD6	MUC20-OT1
PDCD6	PILRA
MRPL36	TMEM208
MRPL36	AC020928.2
NDUFS6	AL096711.2
NDUFS6	EBP
NDUFS6	TMEM138
NDUFS6	ZNF584
TENT4A	ZDHHC18
TENT4A	HS2ST1
TENT4A	AC239868.2
LINC02199	IMPG2
SEMA5A	SNHG18
LINC02112	CD36
AC034229.4	AL355073.2
FAM173B	SLC25A44
FAM173B	AC092809.4
CCT5	MTFMT
CCT5	AC008758.1
AC012640.2	LINC01424
CTNND2	FIGN
CTNND2	LINC00320
TRIO	ADAM23
TRIO	MFHAS1
RETREG1	MED18
RETREG1	AC104458.1
RETREG1	ILDR2
RETREG1	PRELP
RETREG1	CD38
RETREG1	AP000721.2
RETREG1	RIOX1
MYO10	LTBP4
BASP1	ENC1
BASP1	PNMA2
BASP1	NRGN
BASP1	SYT1
CDH18	NTNG1
CDH18	KCNJ3
CDH18	ADAMTS9-AS2
CDH18	AC124854.1
CDH18	KCND2
CDH18	CADPS2
CDH18	ARNTL2
CDH18	ABCD2
CDH18	RIT2
CDH18	AC025809.1
LINC02241	AC093274.1
AC093274.1	AL158211.1
CDH10	HOOK1
CDH10	VWC2
CDH10	MIR222HG
CDH10	CRISPLD1
AC091885.2	MKNK1-AS1
AC091885.2	FAM129A
AC091885.2	CFAP65
AC091885.2	FER1L6-AS2
AC091885.2	BAAT
PDZD2	AC008991.1
AC025178.1	AL645465.1
AC025178.1	AC073283.3
AC025178.1	RBM18
AC025178.1	AC005702.1
SUB1	BLOC1S2
AC010343.3	CENPO
TARS	SLC7A1
SLC45A2	LRRC66
SLC45A2	AC079950.1
SLC45A2	LINC02204
C1QTNF3-AMACR	DPYD
C1QTNF3-AMACR	UAP1
C1QTNF3-AMACR	RGS5
C1QTNF3-AMACR	TRAF3IP3
C1QTNF3-AMACR	LINC02241
C1QTNF3-AMACR	AC107375.1
C1QTNF3-AMACR	AL512506.3
C1QTNF3-AMACR	AC008764.2
SPEF2	CLUAP1
NADK2	FLVCR1-DT
NADK2	RAD1
NADK2	ZNF221
NADK2	POFUT2
AC008957.2	ENTPD3
AC008957.2	AC010273.1
AC008957.2	AP001267.3
AC008957.2	CCNB2
GDNF-AS1	MIR34AHG
GDNF-AS1	GDNF
GDNF-AS1	SLC2A12
LINC02107	COL25A1
LINC02107	AC034226.1
EGFLAM	RSPH10B2
EGFLAM	LOXHD1
EGFLAM	MX2
LIFR	SHISA5
LIFR	AC020559.1
LIFR	RFC2
LIFR	SLC25A43
LIFR	SNX16
LIFR	STKLD1
LIFR	CEP131
LIFR	PLAUR
LIFR	MEI1
LIFR-AS1	AC106881.1
LIFR-AS1	TRAF2
LIFR-AS1	GSTZ1
LIFR-AS1	PPM1E
OSMR-AS1	RNF122
OSMR-AS1	DEPP1
C6	CNR2
C6	COL4A6
C6	RAD54B
C6	AP001993.1
SELENOP	AL353708.3
SELENOP	SERTAD4-AS1
SELENOP	DNAH6
SELENOP	SS18L2
SELENOP	PCDHB4
SELENOP	FANCF
SELENOP	CDK2AP2
SELENOP	IFIT2
SELENOP	IFIT1
SELENOP	AL161772.1
SELENOP	AC119403.1
HMGCS1	INSIG1
MRPS30-DT	AC078785.1
MRPS30-DT	ZKSCAN3
MRPS30-DT	LRRCC1
MRPS30-DT	FKTN
MRPS30-DT	FANCM
MRPS30	ZNF34
MRPS30	ZNF543
HCN1	LRRN2
AC122694.1	SMN2
AC122694.1	FERMT1
AC025180.1	AC096992.2
AC008966.2	AC022364.1
ARL15	INPP4A
HSPB3	CASQ1
HSPB3	EGR4
HSPB3	FNDC9
HSPB3	CRH
HSPB3	KCNS2
HSPB3	ADRB1
HSPB3	SERTM1
HSPB3	CIDEA
HSPB3	TSPEAR
AC026704.1	HARS2
MIER3	RLIM
AC008780.2	NT5E
LINC02108	LGALS9
LINC02108	AP005328.2
RAB3C	LRRC3B
DEPDC1B	ITGA11
ELOVL7	AL928654.1
ELOVL7	PLA2G10
ELOVL7	CD3EAP
ZSWIM6	ZBTB7B
ZSWIM6	NFKB1
ZSWIM6	AC126283.1
ZSWIM6	ETV7
ZSWIM6	ZDHHC15
ZSWIM6	SPI1
ZSWIM6	AC011611.4
ZSWIM6	LINC02288
ZSWIM6	AC091057.6
ZSWIM6	NDE1
ZSWIM6	EBF4
ZSWIM6	Z95115.1
AC026746.1	AC018832.1
AC026746.1	KRI1
RNF180	RIC3
RNF180	STK33
AC010359.1	AF213884.3
ERBIN	HENMT1
ERBIN	HMGN4
ERBIN	NFIB
ERBIN	GALT
ERBIN	CEMIP2
ERBIN	RMI1
ERBIN	CLMN
ERBIN	NSMCE1
ERBIN	KANK2
GTF2H2C	GTF2H2
AC146944.4	GTF2H2C
GTF2H2	OCLN
AC099522.2	AC004803.1
BTF3	PRDX1
BTF3	PDCL3
BTF3	ERC2
BTF3	C2
BTF3	LSM5
BTF3	GABARAPL2
BTF3	SELENOM
ENC1	LMO4
ENC1	PNMA2
HMGCR	STARD4
S100Z	ARHGEF26
S100Z	SOX7
S100Z	CHST8
LHFPL2	ZNF697
LHFPL2	CREB3L4
LHFPL2	HBEGF
LHFPL2	SH2B2
LHFPL2	TMTC1
LHFPL2	MARS
LHFPL2	TMEM179
LHFPL2	LINC00310
BHMT2	SFTPD
JMY	GMPR
HOMER1	EML6
AC008496.2	AC112719.2
AC008496.2	AC023830.1
AC008496.2	AC011479.1
THBS4	LINC02100
THBS4	AL160272.2
THBS4	IDI2-AS1
AC010260.1	AC016716.2
AC010260.1	PRKAR2A-AS1
AC010260.1	LINC00903
AC010260.1	TMPRSS11A
AC010260.1	AC138956.1
AC010260.1	CA1
AC010260.1	AC103853.1
AC010260.1	NXPE1
AC010260.1	AL031714.1
AC010260.1	WWOX-AS1
AC010260.1	AC005220.1
AC010260.1	CRLF1
AC010260.1	NUMBL
AC010260.1	AC008440.2
AC010260.1	SHISA7
ZFYVE16	LINC02283
ZFYVE16	ABRAXAS1
ZFYVE16	MAFK
ZFYVE16	EPDR1
ZFYVE16	ZFHX4-AS1
ZFYVE16	THNSL1
ZFYVE16	IFNG-AS1
ZFYVE16	EFCAB11
ZFYVE16	ADCY7
ZFYVE16	RHBDF2
ZFYVE16	PLIN4
ZFYVE16	FP565260.2
DHFR	AC105402.3
RASGRF2	AFF3
RASGRF2	TMEM244
RASGRF2	PLAG1
RASGRF2	SMCO4
RASGRF2	AC010997.5
RASGRF2	LINC02470
RASGRF2	FGD4
RASGRF2	LINC00463
RASGRF2	SLC13A3
AC026726.1	AL589765.4
AC026726.1	LINC01633
AC026726.1	SERPINB7
ATG10	ATP6AP1L
RPS23	PCDHB15
RPS23	RPL30
RPS23	RPS6
RPS23	FAU
RPS23	RPS24
RPS23	RPL4
RPS23	RPLP1
RPS23	RPS16
ATP6AP1L	LINC01301
HAPLN1	EOGT
COX7C	COPS9
COX7C	FYCO1
COX7C	SKP2
COX7C	KIAA1324L
COX7C	RBM33
COX7C	NDUFB11
COX7C	GPKOW
COX7C	LAGE3
COX7C	GSR
COX7C	C8orf59
COX7C	UQCC3
COX7C	C12orf57
COX7C	KATNAL1
COX7C	CDC42BPB
COX7C	ATP5MPL
COX7C	AC068338.3
COX7C	POLR3K
COX7C	SLC12A3
COX7C	ZFPM1
COX7C	MYO19
COX7C	ARHGAP23
COX7C	ATP9B
COX7C	COX6B1
COX7C	UQCR10
COX7C	ATP5PF
AC109492.1	LINC01949
TMEM161B	TAB3
AC091826.2	LINC02060
LINC00461	RUNX1T1
LINC00461	GNPTAB
MEF2C	KIAA1211L
MEF2C	NDST3
MEF2C	ICA1
MEF2C	PAK3
LINC02161	AC104041.1
POLR3G	GCLM
ARRDC3	ZNF844
NR2F1-AS1	CYP4X1
NR2F1-AS1	CCDC85A
KIAA0825	DYNC2H1
SLF1	CFAP36
SLF1	ZWILCH
MCTP1	AC067956.1
MCTP1	CPNE4
MCTP1	RXFP1
MCTP1	OCA2
GLRX	AL513283.1
GLRX	ZNF750
GLRX	AL121890.2
AC104123.1	AL160313.1
AC104123.1	SGF29
LIX1-AS1	LINC01340
LIX1-AS1	AEN
LINC02062	RNF166
FAM174A	MED25
SLCO4C1	EPHA5-AS1
SLCO4C1	FGF5
SLCO4C1	ARSJ
SLCO4C1	POSTN
PAM	LINC01551
PAM	MYH10
LINC02115	AL121760.1
AC099520.1	ZPBP
AC099520.1	CXorf58
AC099520.1	AC104389.4
AC099520.1	RUBCNL
AC099520.1	NTN1
FBXL17	RASAL2
FBXL17	LZTFL1
FBXL17	GXYLT2
AC012603.1	AL049597.2
AC012603.1	AC107464.3
AC012603.1	LINC02378
MAN2A1	ST6GALNAC3
MAN2A1	CPEB2-DT
MAN2A1	AC105285.1
MAN2A1	FRG1-DT
MAN2A1	AQP11
AC008572.1	PPT2-EGFL8
AC008572.1	DSG1-AS1
WDR36	TMTC3
CAMK4	GPR176
NREP	CDC42EP3
EPB41L4A-AS1	C1orf194
AC104126.1	HHLA2
TRIM36	SP100
TRIM36	HIST1H2BN
TMED7-TICAM2	AC022762.2
AC034236.2	TIGD1
AC018752.1	TMPRSS11F
SEMA6A-AS1	AL096855.1
SEMA6A-AS1	SLC5A9
SEMA6A-AS1	NEB
SEMA6A-AS1	ZNF451-AS1
SEMA6A-AS1	PACRG
SEMA6A-AS1	AC117834.1
SEMA6A-AS1	CCDC144NL-AS1
SEMA6A-AS1	AC005884.1
SEMA6A-AS1	AC015923.1
DTWD2	ERMAP
DTWD2	LINC02035
DTWD2	EPM2A
DTWD2	MROH6
DTWD2	C10orf143
DTWD2	TUBA1C
DTWD2	AP000229.1
AC119150.1	AL138720.1
AC119150.1	RGS22
AC119150.1	C12orf43
AC119150.1	ATP12A
AC119150.1	NWD1
SNX24	AC106786.2
SNX24	GAS2
AC106786.2	HYKK
CEP120	MINPP1
LINC01170	LINC00970
LINC01170	AC090004.1
LINC01170	AC025465.1
LINC01170	NRXN3
ZNF608	CARD9
LINC02240	AC092155.1
LINC02240	THSD4
LINC02240	AKT2
GRAMD2B	GALNT13
GRAMD2B	LANCL1
GRAMD2B	SRD5A3
GRAMD2B	ZC3HC1
GRAMD2B	ZDHHC9
GRAMD2B	MTBP
GRAMD2B	PHYHD1
GRAMD2B	SIK3
GRAMD2B	OPALIN
GRAMD2B	NAV3
GRAMD2B	SLC7A1
GRAMD2B	LINC00640
GRAMD2B	CCNF
GRAMD2B	CIAPIN1
GRAMD2B	PARD6B
GRAMD2B	IQCN
GRAMD2B	AP001059.3
TEX43	CHRNA5
MEGF10	HTT-AS
MEGF10	AC015712.2
LINC01184	TSSK3
LINC01184	AC105942.1
LINC01184	C2orf92
LINC01184	DIRC2
LINC01184	MFSD8
LINC01184	MAML3
LINC01184	AC078881.1
LINC01184	AIFM1
LINC01184	AC064807.1
LINC01184	FERMT3
LINC01184	RBM4
LINC01184	AC090115.1
LINC01184	POC1B-AS1
LINC01184	ZNF839
LINC01184	MYEF2
LINC01184	LRRC28
LINC01184	LYSMD4
LINC01184	ZDHHC1
LINC01184	AC004943.2
LINC01184	KAT2A
LINC01184	LINC01978
LINC01184	EIF2S2
LINC01184	SLC9A8
LINC01184	ATF4
LINC01184	MAP3K7CL
SLC27A6	SLC30A10
ADAMTS19	AC090403.1
HINT1	AL050341.2
HINT1	UFC1
HINT1	CCT7
HINT1	PNKD
HINT1	EIF1B
HINT1	SPCS1
HINT1	NDUFB5
HINT1	H2AFZ
HINT1	SLC25A4
HINT1	MRPL36
HINT1	GTF3C6
HINT1	PDCD2
HINT1	ATP6V1F
HINT1	TIMM8A
HINT1	BEX4
HINT1	TCEAL3
HINT1	SLC25A5
HINT1	DCTN3
HINT1	CCDC107
HINT1	PTGR1
HINT1	CHCHD1
HINT1	ERP29
HINT1	RAN
HINT1	MRPL46
HINT1	TMEM186
HINT1	CST3
HINT1	UQCRFS1
HINT1	MRPS12
AC116366.3	AC004828.1
TH2LCRR	AC092431.1
TH2LCRR	HVCN1
CCNI2	LINC00407
SEPT8	AL035461.2
SOWAHA	SEPT8
SOWAHA	LETM2
SOWAHA	BAALC
SOWAHA	TMOD1
SOWAHA	HSD17B6
UQCRQ	AC091729.3
UQCRQ	RPL12
UQCRQ	PSMC3
UQCRQ	C12orf57
UQCRQ	NDUFB1
UQCRQ	COX5A
UQCRQ	HBA2
UQCRQ	TCEA2
UQCRQ	FAM71E1
HSPA4	ATG9A
HSPA4	ZNF214
SKP1	SCOC
SKP1	SUB1
SKP1	SLC25A16
SKP1	LINC00672
UBE2B	DTWD2
JADE2	MRPL33
JADE2	HS6ST1
JADE2	KLF15
JADE2	MAN2B2
JADE2	BDH2
JADE2	AL162718.1
JADE2	AC016831.7
JADE2	NDUFAF6
JADE2	EXOSC2
JADE2	AC092757.3
JADE2	LZTS3
JADE2	CASS4
JADE2	TMPRSS9
JADE2	SLC25A23
JADE2	CACNG7
SLC25A48	AC002428.2
AC002428.2	AC093206.1
AC002428.2	DHCR7
SPOCK1	ATXN1
KLHL3	C1QTNF3-AMACR
PKD2L2	TNFAIP6
PKD2L2	AL033384.2
PKD2L2	FAM216A
PKD2L2	AL139021.2
PKD2L2	AL049869.2
PKD2L2	AC245884.8
NME5	MOK
REEP2	AL162231.1
EGR1	ARC
EGR1	GADD45G
HSPA9	SQSTM1
CXXC5	CNN3
CXXC5	PCDH1
AC008667.1	HLA-DMA
PSD2	MICALL2
NRG2	AL591848.4
NRG2	DLG3
NRG2	SPATS2
CYSTM1	AC005920.2
CYSTM1	AC093227.1
AC008438.2	TCN2
NDUFA2	DUS4L
PCDHB11	AC244517.6
AC244517.10	PCDHB14
SPRY4-AS1	AC002310.2
SPRY4-AS1	AC090617.4
ARHGAP26	LRCH1
KCTD16	STXBP5-AS1
AC137770.1	PRELID2
AC091887.1	AC091982.1
AC091887.1	KCNV2
AC091887.1	C9orf57
AC091887.1	AC011451.1
AC011396.2	ORC1
AC011396.2	ZNF705E
AC008728.1	C3orf49
PPP2R2B	KCNAB1
PPP2R2B	GSTA4
PPP2R2B	LINC01299
PPP2R2B	ZNF773
PPP2R2B	AP000282.1
STK32A	RNF207
JAKMIP2-AS1	CCDC129
JAKMIP2-AS1	LYVE1
JAKMIP2-AS1	AC023024.1
JAKMIP2-AS1	ABCA9-AS1
AC091948.1	AC076966.1
AC091948.1	STPG2
AC091948.1	RPL34-AS1
AC091948.1	EPHA1-AS1
AC091948.1	AC034111.1
AC091948.1	AL049780.1
AC091948.1	DPH6-DT
SPINK9	AL354710.2
AC114939.1	ENKUR
SH3TC2	ZSWIM6
SH3TC2-DT	AL121656.1
SH3TC2-DT	ELOVL4
SH3TC2-DT	ZC3H12B
SH3TC2-DT	TMEM106C
SH3TC2-DT	DAPK2
SH3TC2-DT	LMF1
SH3TC2-DT	HYDIN
SH3TC2-DT	SCGB2B2
ARHGEF37	AC093627.3
ARHGEF37	MVB12B
TIGD6	ZNF233
HMGXB3	ALG11
SLC6A7	CHRD
CAMK2A	CREG2
CAMK2A	ZNF813
TCOF1	GRK7
TCOF1	AHR
RPS14	RNF181
RPS14	RPP25L
RPS14	AP001160.1
GPX3	PTP4A3
GPX3	ZNF511-PRAP1
TNIP1	BX322234.1
CCDC69	AC009312.1
CCDC69	AC008147.1
ATOX1	LINC01591
LINC01470	NMUR2
LINC01470	TRDN
GRIA1	KCNC4
GRIA1	ADRA1A
GRIA1	RASGEF1A
GRIA1	SLC2A13
MFAP3	MLF1
GALNT10	CDH1
GALNT10	SARM1
HAVCR2	INPPL1
ITK	GPR157
ITK	TRIM63
ITK	LINC02235
ITK	AC023824.3
AC010609.1	COL8A1
AC010609.1	LINC01256
AC010609.1	CASC8
AC010609.1	AC008870.4
AC010609.1	DUXB
AC010609.1	AC022960.1
AC008676.1	AL357054.2
TTC1	CAMTA1-DT
TTC1	CCDC71
TTC1	EQTN
TTC1	TIMM21
TTC1	SIN3B
AC008456.1	AC100830.1
GABRB2	SCN2A
GABRB2	CLVS2
GABRB2	TUSC3
GABRB2	STAMBPL1
GABRA1	GABRD
GABRA1	GAD1
GABRA1	ARL4C
GABRA1	SNX10
GABRA1	CBLN4
LINC01202	AL591845.1
LINC01202	PLA2G4A
LINC01202	LAMA4
LINC01202	VIPR2
GABRG2	STEAP2
GABRG2	LRRC4
NUDCD2	MROH1
NUDCD2	ZNF585B
AC008415.1	PVT1
AC114321.1	AC063979.2
TENM2	ZNF385B
TENM2	AC019211.1
TENM2	AC073365.1
TENM2	LINC01378
TENM2	BASP1-AS1
TENM2	CDH9
TENM2	MLIP
TENM2	TOX
TENM2	ANO5
TENM2	LIN7A
TENM2	CUX2
TENM2	RGS6
TENM2	SNRPN
TENM2	DLGAP1-AS4
DOCK2	AC104170.2
RANBP17	STK33
RANBP17	PARVB
SH3PXD2B	IL6R
SH3PXD2B	ETV6
SH3PXD2B	TMTC4
SH3PXD2B	TTC5
SH3PXD2B	AC069368.1
SH3PXD2B	PYGB
NEURL1B	PSD2
AC022217.3	TRIM11
AC022217.3	ZNF671
DUSP1	POLR2H
DUSP1	TMEM254
DUSP1	NR4A1
ERGIC1	TMEM38A
RPL26L1	C3orf67
CREBRF	AC008695.1
CREBRF	GKAP1
CREBRF	KLHL35
CREBRF	EIF4EBP2
CREBRF	TMPO
CREBRF	LMLN2
CREBRF	AL355102.2
CREBRF	NMRAL1
CREBRF	LINC00266-1
NSG2	FKBP1B
NSG2	FNDC4
NSG2	CRMP1
NSG2	TMEM35A
NSG2	CCKBR
NSG2	IGF1
NSG2	PCDH8
NSG2	NNAT
NSG2	ATCAY
NSG2	SLC1A6
NSG2	RSPH1
LINC01411	LINC01792
LINC01411	PTPDC1
CPLX2	FGF9
FAM153B	AP001972.3
AC139491.7	PANX2
SNCB	ICAM5
ZNF346	ZKSCAN5
ZNF346	KMT2E-AS1
ZNF346	AC011330.3
ZNF346	AC092329.3
ZNF346	NIPSNAP1
RAB24	C3orf33
PRELID1	TUSC1
PRELID1	ANAPC11
F12	NANOS3
TMED9	AP000350.6
FAM153C	LSM11
NHP2	NAA16
NHP2	POLR2E
PHYKPL	DCHS1
PHYKPL	MZF1-AS1
PHYKPL	MZF1
RUFY1	AC104078.2
RUFY1	TRMT5
RUFY1	C19orf57
AC136604.2	CLSPN
AC136604.2	LINC01830
AC136604.2	AC016723.1
AC136604.2	RP1
AC136604.2	PIK3C2G
AC136604.2	SLC7A6OS
AC136604.2	IFI35
AC136604.2	HEATR6
AC136604.2	ARVCF
RASGEF1C	PTPRU
RASGEF1C	NTM
RASGEF1C	PDZD7
RASGEF1C	SDK2
RASGEF1C	AC110285.6
MGAT1	CCHCR1
MGAT1	WDR81
ZFP62	FAM161B
RACK1	C1orf56
RACK1	IFRD2
RACK1	PBDC1
RACK1	ZPR1
RACK1	ENOX1-AS1
RACK1	SDF2
RACK1	MIEN1
TRIM52	ZFP62
AL357054.3	AL357054.2
AL357054.3	CLTRN
GMDS-DT	SCOC-AS1
GMDS-DT	LIX1-AS1
GMDS-DT	AP002495.2
GMDS-DT	FGF11
AL031963.1	CDCP1
AL031963.1	AMACR
TUBB2A	IGFBP2
TUBB2A	TUBA4A
TUBB2A	NAP1L5
TUBB2A	C1QTNF4
TUBB2A	DDX24
TUBB2A	SERPINF1
TUBB2A	NLRP1
TUBB2A	CHGB
SLC22A23	SPSB1
SLC22A23	KCNQ4
