AGRN	PLEC
LINC01205	AP001372.1
LINC01205	TSKU
LINC01205	C10orf67
LINC01205	SCNN1A
LINC01205	PRKAB1
LINC01205	AL358334.2
LINC01205	LINC01193
LINC01205	EXD1
LINC01205	ATP8B4
LINC01205	FAM169B
LINC01205	TERB1
LINC01205	CLEC18B
LINC01205	AC092376.1
LINC01205	KCTD11
LINC01205	SLC47A2
LINC01205	WFDC2
LINC01205	REEP6
LINC01205	AC008878.3
LINC01205	AC005261.3
LINC01205	NFAM1
LINC01205	LINC01549
NECTIN3-AS1	AC074286.1
NECTIN3-AS1	CLDN16
NECTIN3-AS1	SERPINH1
NECTIN3-AS1	DLEU7
NECTIN3-AS1	AC005697.1
NECTIN3-AS1	AC091551.1
TMPRSS7	BTBD19
TMPRSS7	MUC7
TMPRSS7	GGT2
CD200R1	AARD
CD200R1	AC022903.1
CD200R1	TNFRSF11A
AC078785.2	HRNR
AC078785.2	CNTN4-AS1
AC078785.2	AC008781.2
AC078785.2	AC002074.1
AC078785.2	SLC12A9-AS1
AC078785.2	MAGEE2
AC078785.2	AL161630.1
AC078785.2	BX649632.1
AC078785.2	AC023830.1
AC078785.2	HCCAT5
AC078785.2	AC004596.1
AC078785.2	AC022211.2
AC078785.2	AC011825.2
GRAMD1C	ENPP1
GRAMD1C	PDK4
GRAMD1C	HRK
TIGIT	AC138393.3
TIGIT	ALB
TIGIT	MOCS1
TIGIT	AL590617.2
TIGIT	AC002074.1
TIGIT	AC090001.1
TIGIT	MFAP4
TIGIT	AC000068.2
ZBTB20-AS5	Z98884.1
ZBTB20-AS5	AC114488.2
ZBTB20-AS5	AL449266.1
ZBTB20-AS5	AC092803.2
ZBTB20-AS5	AC073082.1
ZBTB20-AS5	AC107081.2
ZBTB20-AS5	AC007163.1
ZBTB20-AS5	DALRD3
ZBTB20-AS5	CCDC36
ZBTB20-AS5	AC008892.1
ZBTB20-AS5	MYOT
ZBTB20-AS5	PLN
ZBTB20-AS5	BPGM
ZBTB20-AS5	CSTF2
ZBTB20-AS5	AP002498.1
ZBTB20-AS5	NXPE1
ZBTB20-AS5	AC046130.1
ZBTB20-AS5	AC011611.4
ZBTB20-AS5	LINC02294
ZBTB20-AS5	AL049870.3
ZBTB20-AS5	AC013640.1
ZBTB20-AS5	BRICD5
ZBTB20-AS5	NAPA-AS1
ZBTB20-AS4	SLC30A2
ZBTB20-AS4	ZNF280C
GAP43	PGM2L1
GAP43	NUAK1
LSAMP-AS1	PLS1
LSAMP-AS1	AP003110.1
LSAMP-AS1	COCH
LSAMP-AS1	HEXDC
LINC00903	PDZD4
LINC00903	ITPK1-AS1
LINC00903	MAPK8IP2
LINC00903	CR382287.2
IGSF11	LINC01250
AC073352.1	AC024243.1
NR1I2	AC118553.1
NR1I2	LCT
NR1I2	AC012507.2
NR1I2	AC112484.3
NR1I2	HLA-DPA1
NR1I2	AC007938.2
NR1I2	DMRTC1
NR1I2	SOCS1
NR1I2	CRYBB2
FBXO40	ELF4
HCLS1	LEF1
HCLS1	AC009088.1
PARP9	KIRREL1
PARP9	STAT1
PARP9	SP110
PARP9	DTX3L
PARP9	PLSCR1
PARP9	AC244517.10
PARP9	NLRC5
PARP9	HELZ2
PARP9	APOL6
ADCY5	PRRX2
ITGB5-AS1	STX2
MUC13	AP003108.1
ROPN1B	AL355607.1
ROPN1B	RNF219
ROPN1B	CIAPIN1
ALDH1L1	RBM15-AS1
ALDH1L1	SEPT10
ALDH1L1	TNIP1
ALDH1L1	ZNRF2
ALDH1L1	AGFG2
ALDH1L1	IQSEC2
ALDH1L1	TOP1MT
ALDH1L1	FADS1
ALDH1L1	CFAP70
ALDH1L1	FAR2
ALDH1L1	STAT5A
ALDH1L1	ZNF708
AC063919.1	CSNKA2IP
AC063919.1	FAM151B
AC063919.1	CNPY1
AC063919.1	ZNF32-AS3
KLF15	SLC41A1
KLF15	AC007277.1
KLF15	PXDC1
LINC01471	FABP1
LINC01471	C9orf106
ABTB1	KLHL17
MGLL	OGFRL1
MGLL	TOB2
GATA2-AS1	ADCYAP1R1
GATA2-AS1	AC104248.1
GATA2-AS1	LINC01516
GATA2-AS1	LINC01924
H1FX	CITED4
H1FX	JUND
LINC02014	OBSCN-AS1
LINC02014	PLGLB2
LINC02014	AL445309.1
LINC02014	AC136475.5
LINC02014	AL139023.1
LINC02014	LINC02313
LINC02014	AL161756.3
LINC02014	C20orf203
LINC02014	VSIG10L
AC116424.1	AL031432.3
AC116424.1	ZNF526
ACAD11	PRKCZ-AS1
ACAD11	AL356289.1
ACAD11	AL159174.1
ACAD11	LPA
ACAD11	MYL7
ACAD11	AC103993.1
ACAD11	LINC00502
ACAD11	GJC1
UBA5	FAAH
TMEM108-AS1	SMAD1-AS2
TMEM108-AS1	CLEC5A
TMEM108-AS1	AC006019.1
TMEM108-AS1	AC005481.1
TMEM108-AS1	AP001007.1
TMEM108-AS1	PLBD1-AS1
TMEM108-AS1	AC091534.1
TMEM108-AS1	AC123912.2
TMEM108-AS1	ERVH48-1
BFSP2	AC129807.1
BFSP2	LINC02360
BFSP2	HLA-DOB
BFSP2	AC090572.2
BFSP2	AP003086.1
BFSP2	LINC00390
BFSP2	AC026471.5
BFSP2	AC006487.1
BFSP2	MUC16
BFSP2	B3GALT5-AS1
AMOTL2	POU3F3
AC072039.2	AC015936.2
IL20RB-AS1	AL355488.1
IL20RB-AS1	RCSD1
IL20RB-AS1	TDRD5
IL20RB-AS1	SMIM31
AC016252.1	LINC01018
AC016252.1	LCMT1-AS2
NME9	MOGAT1
NME9	COPG1
NME9	LAP3
NME9	GAS1RR
NME9	ZNF33B
NME9	DHX37
NME9	LINC01550
NME9	RTN4RL1
NME9	AC068234.1
FAIM	EML1
NMNAT3	ENOPH1
NMNAT3	NKAP
NMNAT3	HCAR1
NMNAT3	PLA2G15
CLSTN2	SEMA5B
AC108727.2	AC108058.1
AC108727.2	CFAP157
AC108727.2	NCS1
RNF7	CFL2
ZIC4	ZIC1
TM4SF1-AS1	ABCC6
TM4SF1-AS1	TUBA8
COMMD2	AC231981.1
COMMD2	ZNF501
COMMD2	STAM-AS1
COMMD2	TIGD7
COMMD2	LINC02210-CRHR1
ANKUB1	LINC00624
ANKUB1	AC005037.1
ANKUB1	AC109587.1
ANKUB1	AC008496.2
ANKUB1	AL139353.2
GPR171	AL139274.2
GPR171	AC003005.2
P2RY14	AC015971.1
P2RY14	AL365273.2
P2RY14	AC051619.4
P2RY14	RUNDC3A-AS1
P2RY14	AC245884.1
P2RY12	AP001025.1
IGSF10	PDZK1
IGSF10	CYP1B1
IGSF10	AFAP1-AS1
IGSF10	AC022973.2
IGSF10	PDCD1LG2
IGSF10	ANAPC15
IGSF10	AC018511.2
IGSF10	PPP1R3C
IGSF10	DNMBP-AS1
IGSF10	ARG2
IGSF10	MARVELD3
IGSF10	CXCL17
AADACL2-AS1	SLC19A3
AADACL2-AS1	GATA2-AS1
AADACL2-AS1	MYH7
AC078788.1	AC022364.1
AC078788.1	WFDC3
AC068985.1	HOXD1
AC068985.1	LINC00879
AC068985.1	AC126283.1
AC068985.1	AC109830.1
AC068985.1	THAP12
AC068985.1	AC015574.1
AC068985.1	AC015712.1
AC068985.1	ZNF557
ARHGEF26	KLHL4
ARHGEF26	AC025038.1
ARHGEF26	PXMP4
AC104472.3	GOLT1A
TIPARP-AS1	TFAM
TIPARP-AS1	ZNF284
LINC00886	AL662796.1
LINC00886	POT1-AS1
GFM1	DGUOK
AC080013.5	AC084871.2
AC080013.5	AC104073.4
AC080013.5	AC078960.1
AC080013.5	AC079907.1
AC080013.5	KCNRG
IQCJ-SCHIP1	LINC01588
LINC01324	LINC01323
LINC01322	SAMD13
LINC01322	COQ10B
LINC01322	SLC15A2
LINC01322	KLRG1
LINC01322	ZDHHC1
LINC01322	MIR22HG
LINC01322	AC110597.1
LINC01322	C22orf34
AC124893.1	RAB11FIP5
AC078795.3	HYAL3
SAMD7	AC093639.1
SAMD7	HGD
SAMD7	TMEM108-AS1
SAMD7	AL031118.1
SAMD7	LINC00574
SAMD7	AC010132.3
SAMD7	GUCY2F
SAMD7	KCNE5
SAMD7	LINC00589
SAMD7	LINC00474
SAMD7	ENG
SAMD7	AL161785.3
SAMD7	ARHGAP11A
SAMD7	AC112693.1
SAMD7	TCFL5
SAMD7	AC008992.1
SAMD7	Z98949.3
GPR160	C9
GPR160	GPC4
GPR160	BLID
AC008040.5	AC108727.2
AC008040.5	AC093323.1
AC008040.5	PTTG1
AC008040.5	MLANA
LINC02068	AC015726.1
NAALADL2-AS2	AC097467.3
NAALADL2-AS2	AC002550.1
NAALADL2-AS2	MOCS3
NAALADL2-AS1	BHMT
NAALADL2-AS1	AC004988.1
NAALADL2-AS1	LINC01591
NAALADL2-AS1	SHANK2-AS1
LINC02015	DCN
KCNMB2-AS1	AC239803.1
KCNMB2-AS1	LYG2
KCNMB2-AS1	AC012360.3
KCNMB2-AS1	AC016909.2
KCNMB2-AS1	AC019197.1
KCNMB2-AS1	AC007319.1
KCNMB2-AS1	RBMS3-AS2
KCNMB2-AS1	CADM2-AS1
KCNMB2-AS1	ZBTB20-AS5
KCNMB2-AS1	FGF12-AS1
KCNMB2-AS1	AC096576.3
KCNMB2-AS1	TMPRSS11A
KCNMB2-AS1	AC010260.1
KCNMB2-AS1	AL513188.1
KCNMB2-AS1	AL138828.1
KCNMB2-AS1	AGBL3
KCNMB2-AS1	MIR503HG
KCNMB2-AS1	SURF1
KCNMB2-AS1	AP003086.2
KCNMB2-AS1	AP000857.2
KCNMB2-AS1	CTNNA3
KCNMB2-AS1	AC090531.1
KCNMB2-AS1	C12orf56
KCNMB2-AS1	AC069228.1
KCNMB2-AS1	LPAR6
KCNMB2-AS1	PCDH9-AS2
KCNMB2-AS1	DLGAP1-AS5
KCNMB2-AS1	AC104365.1
KCNMB2-AS1	CARM1
KCNMB2-AS1	PINLYP
KCNMB2-AS1	AL080273.1
PEX5L-AS1	AC127522.1
FXR1	LINC01355
FXR1	FAM76A
FXR1	ADCY10
FXR1	C2orf69
FXR1	KCTD6
FXR1	DUBR
FXR1	CYP3A43
FXR1	PEBP4
FXR1	C8orf86
FXR1	ADAM32
FXR1	APTX
FXR1	BUD13
FXR1	ZNF641
FXR1	PXN-AS1
FXR1	SUGT1
FXR1	ABHD13
FXR1	TNFSF13B
FXR1	SIX4
FXR1	PAPOLA
FXR1	CCDC113
FXR1	BANP
FXR1	SLC25A35
FXR1	CACNG1
FXR1	AF127577.4
KLHL6	TRIM60
KLHL6	PCDHB1
KLHL6	AC090572.3
KLHL6	AL138767.1
ABCC5-AS1	EAF1-AS1
ABCC5-AS1	NCK1-DT
ABCC5-AS1	AC008676.1
ABCC5-AS1	PTK7
ABCC5-AS1	AC087623.3
AC131235.3	BDH2
THPO	RBP7
THPO	KCNRG
LINC01840	VWF
LINC01840	AC103739.2
MAGEF1	B3GNT9
IGF2BP2	C2CD2
EIF4A2	OSTC
AC112907.1	KLHL34
ST6GAL1	CEP135
SST	RAB3B
SST	RBP4
BCL6	HES5
BCL6	EPHB2
BCL6	CTBS
BCL6	BARD1
BCL6	AC109927.1
BCL6	AC006978.2
BCL6	FAM160A2
BCL6	CTDSP2
BCL6	PYGL
BCL6	AC087457.1
BCL6	ACAN
BCL6	SHMT1
BCL6	ITGB4
BCL6	TTC38
AC022498.1	AC008691.1
AC022498.1	DPP9-AS1
LPP-AS1	AC010974.1
LPP-AS1	SEMA5A-AS1
LPP-AS1	AC114939.1
IL1RAP	OSBPL10
IL1RAP	CLIP2
IL1RAP	CCND2
IL1RAP	ABCC4
FGF12-AS3	AC008040.5
FGF12-AS3	ARNTL2-AS1
HRASLS	CLHC1
HRASLS	HPS3
HRASLS	ATP13A5-AS1
HRASLS	RGS7BP
HRASLS	PTCD2
HRASLS	SH2D4A
HRASLS	INSC
HRASLS	SLC35G1
ATP13A4	ATP13A5
ATP13A4	MAOA
ATP13A4-AS1	MYBPHL
ATP13A4-AS1	AP000842.3
ATP13A4-AS1	AC022613.2
ATP13A4-AS1	PEAK3
APOD	NAXE
APOD	TMEM115
APOD	MUC20-OT1
APOD	NDST1
APOD	DAB2IP
APOD	BRSK2
APOD	CTSF
APOD	TENM4
APOD	ADCY6
APOD	UBL7
APOD	KLHDC4
APOD	MPDU1
APOD	G6PC3
APOD	SERTAD3
TNK2	CYS1
TNK2	FAS
TNK2	VASH1-AS1
TNK2	SNX22
TNK2	CDK5R1
TNK2	FAM171A2
SMCO1	RGS14
DLG1-AS1	ID3
DLG1-AS1	TENT5B
DLG1-AS1	AL445490.1
DLG1-AS1	CYP4Z1
DLG1-AS1	GPR61
DLG1-AS1	FMO4
DLG1-AS1	C2orf48
DLG1-AS1	CCDC74B
DLG1-AS1	AC110491.1
DLG1-AS1	AC073352.1
DLG1-AS1	AC080013.5
DLG1-AS1	AC008040.5
DLG1-AS1	LINC02269
DLG1-AS1	MED7
DLG1-AS1	AF287957.1
DLG1-AS1	AC022784.3
DLG1-AS1	AC087855.2
DLG1-AS1	AC087855.1
DLG1-AS1	EFCAB1
DLG1-AS1	FBXO43
DLG1-AS1	FBP2
DLG1-AS1	LCN12
DLG1-AS1	AP003306.2
DLG1-AS1	AP001783.1
DLG1-AS1	SFTPD-AS1
DLG1-AS1	LAG3
DLG1-AS1	ATF7
DLG1-AS1	MMP19
DLG1-AS1	AC026765.2
DLG1-AS1	POSTN
DLG1-AS1	AL122125.1
DLG1-AS1	AC002310.5
DLG1-AS1	AC006435.2
DLG1-AS1	TMEM238L
DLG1-AS1	CAVIN1
DLG1-AS1	MAP3K14-AS1
DLG1-AS1	ICAM3
DLG1-AS1	AC008569.1
DLG1-AS1	OR7C1
DLG1-AS1	A1BG-AS1
BDH1	TMEM169
BDH1	GTF2H2C
BDH1	FAM66D
RPL35A	NDUFS5
RPL35A	DNMT3A
RPL35A	RPL32
RPL35A	STEAP1B
RPL35A	SMIM27
RPL35A	ATP5MD
RPL35A	PIGW
RPL35A	MTCL1
RPL35A	ATP5F1E
RPL35A	SLC1A6
RPL35A	NDUFA6
ZNF141	PGD
ATP5ME	NAA20
AC139887.2	AL365255.1
AC139887.2	AL139011.2
AC139887.2	FANCD2
AC139887.2	OTULIN
AC139887.2	ECI2
AC139887.2	ZSCAN25
AC139887.2	SMARCD3
AC139887.2	VDAC3
AC139887.2	CYB5R2
AC139887.2	SPTY2D1OS
AC139887.2	PRR5L
AC139887.2	SLC37A4
AC139887.2	AC055855.2
AC139887.2	AC106739.1
AC139887.2	KATNAL2
AC139887.2	DUSP18
RNF212	AC092535.3
SPON2	PRAM1
FGFR3	POLRMT
C4orf48	IDH3G
NAT8L	EHMT2
NAT8L	MBD3
NAT8L	NPTXR
POLN	QRICH2
CYTL1	TMEM40
CYTL1	AC080188.1
CYTL1	AL353613.1
STK32B	ACVR1
STK32B	MATR3
STK32B	GHDC
C4orf50	SMC2
AFAP1-AS1	PRR26
GPR78	LINC02363
GPR78	LINC02211
GPR78	AC004870.3
GPR78	GNA15
CLNK	BRIP1
AC007370.2	MGAM2
AC007370.2	AC037459.3
LINC01182	AC092546.1
CPEB2	NEXN
CPEB2	MELTF-AS1
CPEB2	GUF1
CPEB2	ZNF736
CPEB2	TRPC5
CPEB2	APAF1
CPEB2	AC015813.2
CD38	AP000919.4
LDB2	GRIA1
LDB2	ESR1
LINC02364	AC097480.1
LINC02364	AC109349.1
LINC02506	AC107057.1
LINC02506	MYCNOS
LINC02506	AC022498.1
LINC02506	AC011604.2
LINC02506	AC005280.2
LINC02506	PLCB2
AC016687.2	LINC02232
LINC02484	CAPN8
LINC02484	CCDC68
C4orf19	NWD2
UCHL1	GALNT9
UCHL1	DOC2A
UCHL1	CAMKK1
LIMCH1	GALNTL6
AC106052.1	AC084357.2
AC024022.1	PRR19
GNPDA2	LCA5
AC107068.2	P4HA3
AC107068.2	PIWIL4
AC107068.2	AL137779.2
AC107068.2	MIS12
TXK	OSCP1
TXK	GREM2
TXK	ZDHHC23
TXK	AC068831.7
TXK	AC092720.1
TEC	AL139424.3
TEC	NXNL2
LRRC66	AL513329.1
USP46-AS1	BATF2
USP46-AS1	CDK2AP1
AC023154.1	CHIT1
AC023154.1	IGSF6
AC110792.3	TDP1
PDGFRA	SLC40A1
PDGFRA	FAM84B
PDGFRA	CHAD
AC069200.1	HGD
AC069200.1	AC072039.2
AC069200.1	AC069294.1
AC069200.1	ARHGEF5
AC069200.1	IL21R-AS1
AC024243.1	AC016722.3
AC024243.1	AL133351.1
AC024243.1	TSPAN14
AC024243.1	EEF1AKMT2
AC024243.1	AC008764.2
PDCL2	GRIN2C
IGFBP7-AS1	EFHC2
AC020741.1	AC006460.1
ADGRL3-AS1	TNFSF4
ADGRL3-AS1	PGS1
EPHA5	EPHA5-AS1
GNRHR	SOX5-AS1
GNRHR	C16orf89
UGT2B7	ARHGAP29
MUC7	CASQ2
MUC7	AL021068.1
MUC7	SCRIB
AC009570.1	ZHX1-C8orf76
SLC4A4	FCHSD1
SLC4A4	SIM2
NPFFR2	AP005230.1
ALB	AL137230.1
AC096759.1	CDCA7
AC096759.1	AC133528.1
AC096759.1	TCP11
AC096759.1	SLC7A2
AC096759.1	TMEM250
AC096759.2	AF111167.2
RASGEF1B	PYGO2
RASGEF1B	AL080276.2
RASGEF1B	BCOR
RASGEF1B	RNF128
RASGEF1B	MAMDC4
RASGEF1B	GOLGA6L9
RASGEF1B	NPIPA1
RASGEF1B	MYLPF
RASGEF1B	SGSM3
AC124016.1	AC073842.2
ENOPH1	ATMIN
GPAT3	SDSL
GPAT3	AC005144.1
AC104827.1	ZNF684
AC104827.1	AC016723.1
AC104827.1	TCOF1
AC104827.1	ADAMTS2
AC104827.1	SATL1
AC104827.1	PDCD11
AC104827.1	UBL7-AS1
AC104827.1	PRC1-AS1
AC104827.1	AC016866.2
AC104827.1	PIK3IP1-AS1
PTPN13	FGF9
PTPN13	CEP112
HSD17B11	MEG9
AC093895.1	RNF43
SPP1	RANBP17
HERC6	IFI44
HERC6	DDX60
HERC6	OAS3
HERC6	EPSTI1
HERC3	NADK2
HERC3	CCDC97
NAP1L5	RFK
SNCA-AS1	ALKBH3-AS1
CCSER1	AC073050.1
CCSER1	PRELID2
CCSER1	MSRB3
AC004054.1	AC022087.1
AC108067.1	AC010654.1
LINC02267	RNPEPL1
LINC02267	AC093607.1
LINC02267	AL022068.1
LINC02267	COL14A1
LINC02267	ADAT1
LINC02267	GNAS-AS1
MTTP	LINC01933
MTTP	TEX22
MTTP	IL17RA
DAPP1	SH3RF2
H2AFZ	NEU1
H2AFZ	PRKAG2-AS1
H2AFZ	GON7
H2AFZ	ELP5
H2AFZ	LIN7B
H2AFZ	PMM1
BANK1	AXDND1
BANK1	LINC00504
LINC02503	JHY
AC004052.1	AL589669.1
AC004052.1	AC107973.1
AC004052.1	FOXM1
AC004052.1	AP005671.1
AC004052.1	GEMIN7-AS1
CXXC4	SLC25A33
CXXC4	POLR1B
CXXC4	GFM1
CXXC4	LINC01322
CXXC4	CCDC152
CXXC4	PMS2
CXXC4	LINC01111
CXXC4	ZNF26
CXXC4	MAF
RPL34	PDE6A
AC126283.1	CCDC74B
AC126283.1	LSM11
EGF	SVEP1
EGF	AL162414.1
ENPEP	AC233976.1
AC106864.1	TMEM81
AC106864.1	AC008966.1
AC106864.1	MYLIP
AC106864.1	C8orf48
AC106864.1	AC005837.3
AC106864.1	AC004597.1
AC093879.1	AL513327.2
AC093879.1	ZBTB20-AS2
AC093879.1	FZR1
CAMK2D	ITPKB
CAMK2D	ACTN2
CAMK2D	KIAA1211L
CAMK2D	ADAMTS9
CAMK2D	ARRDC3
CAMK2D	SHROOM2
CAMK2D	TNFRSF10B
CAMK2D	UHRF2
CAMK2D	GLDC
CAMK2D	CAT
CAMK2D	LINC00327
CAMK2D	AL138689.2
CAMK2D	NUDT7
CAMK2D	HEXIM2
CAMK2D	SEPT4
ARSJ	U73166.1
ARSJ	AC112236.1
ARSJ	C15orf59-AS1
ARSJ	C20orf204
LINC02262	CD53
LINC02262	AC246680.1
LINC02262	AL023755.1
LINC02262	AL160408.1
LINC02262	LYPD8
LINC02262	MAP3K19
LINC02262	ADAM29
LINC02262	AC012640.2
LINC02262	GPR150
LINC02262	LINC01950
LINC02262	AC113423.2
LINC02262	AC136604.3
LINC02262	FILNC1
LINC02262	TMEM139
LINC02262	AC004554.2
LINC02262	AC083973.1
LINC02262	DBH-AS1
LINC02262	AP006623.1
LINC02262	COLCA1
LINC02262	CYP17A1-AS1
LINC02262	RBP5
LINC02262	RHEBL1
LINC02262	LINC02343
LINC02262	FOXB1
LINC02262	AC092287.1
LINC02262	CDH5
LINC02262	AC010547.1
LINC02262	SPNS3
LINC02262	MYHAS
LINC02262	SEPT4-AS1
LINC02262	TSPAN16
LINC02262	LGALS4
PRSS12	IL15
PRSS12	MIR3976HG
PDE5A	AL109811.1
PDE5A	AL929472.2
PDE5A	C4orf45
PDE5A	GPR34
PDE5A	GRK2
PRDM5	GEN1
PRDM5	KLHL2
PRDM5	ECT2L
ANXA5	KNDC1
ANXA5	ZSWIM9
AC093772.1	AC004805.1
SLC25A31	KMO
SLC25A31	DNAI1
SLC25A31	AL162274.2
SLC25A31	MNS1
SLC25A31	KCNK6
SLC25A31	CSDC2
MFSD8	ZNF136
LINC02465	LINC02046
AC096711.2	CBWD6
AC096711.2	CBWD3
AC096711.2	NPIPB13
AC105383.1	KLRC4-KLRK1
AC105383.1	ZNF519
PCDH10	ZNF707
PCDH10	AC024563.1
AC109830.1	TMED7
AC107463.1	FKBPL
LINC02511	AL049869.2
LINC00616	ADGRL3-AS1
LINC00616	TXLNB
LINC00616	SLC52A1
AC093766.1	AC134772.1
NDUFC1	RTF2
AC112236.1	AC073111.5
INPP4B	C5
AC104596.1	MAMDC2-AS1
HHIP	CEP76
AC109811.1	AC104134.1
AC109811.1	PRICKLE2-AS3
AC109811.1	GNRHR
AC109811.1	SPINK9
AC109811.1	AL049820.1
AC109811.1	LUARIS
AC109811.1	AC004839.1
AC109811.1	DOCK4-AS1
AC109811.1	AC068189.1
AC109811.1	KCNMA1-AS3
AC109811.1	FAM186B
AC109811.1	ZNF664
AC109811.1	AL357093.2
AC109811.1	AC005523.2
AC109811.1	PSG8
AC109811.1	AL031587.2
AC109811.1	LIPI
SMAD1-AS2	AL021068.1
SMAD1-AS2	AC008522.1
SMAD1-AS2	AC022973.4
SMAD1-AS2	AL353801.1
SMAD1-AS2	C3AR1
AC108156.1	CLDN18
PRSS48	AL049569.1
PRSS48	CHRM5
TLR2	CCL27
AC097467.3	ZNF843
TDO2	MX2
RXFP1	ZBED8
LINC02477	OR2T12
LINC02477	LINC01396
LINC02477	AC106894.1
LINC02477	NAA11
LINC02477	TRAFD1
LINC02477	SYNGR2
LINC02477	AC007292.1
LINC02477	LINC00266-4P
NPY5R	F5
NPY5R	KMT5A
NPY5R	AC007448.3
TRIM60	CCDC17
TRIM60	TRIM54
TRIM60	AC107072.1
TRIM60	AL445430.2
TRIM60	AC018512.1
TRIM60	AC017100.1
TRIM60	AL121845.1
TRIM60	AZU1
KLHL2	SNX19
KLHL2	GLCE
KLHL2	ARRB2
MSMO1	HMGCS1
MSMO1	HMGCR
MSMO1	ACAT2
MSMO1	FDFT1
MSMO1	DHCR7
MSMO1	MMAB
MSMO1	MCM3AP-AS1
DDX60	DDX60L
AC080188.1	GCC1
MFAP3L	C2orf27B
MFAP3L	LINC00870
MFAP3L	AL078590.3
MFAP3L	ABCA1
MFAP3L	SFMBT2
MFAP3L	TLE3
MFAP3L	FGF11
MFAP3L	HUNK
AC105285.1	SGF29
SCRG1	ATP8B2
SCRG1	RPRM
SCRG1	DIAPH1
SCRG1	TTBK1
SCRG1	ARL4A
SCRG1	CCDC136
SCRG1	TSPAN6
SCRG1	SERGEF
SCRG1	AP003059.2
SCRG1	NCOR2
SCRG1	AACS
SCRG1	HHIPL1
SCRG1	PPIB
SCRG1	ARHGAP23
SCRG1	USP36
SCRG1	DOT1L
HAND2-AS1	NBPF19
HAND2-AS1	LINC00276
HAND2-AS1	AC104123.1
HAND2-AS1	LINC02240
HAND2-AS1	GPC3
HAND2-AS1	TRIM22
HAND2-AS1	AC060809.1
HAND2-AS1	NPIPB11
HAND2-AS1	PDP2
LINC02269	IL5RA
LINC02269	AL133375.1
LINC02269	AC099342.1
LINC02269	AP002992.1
AC116616.1	SERPINB9P1
AC116616.1	TEX53
ADAM29	LINC02300
ADAM29	DNM1P35
AC095050.1	AL358472.2
AC095050.1	AL354714.1
AC095050.1	CCDC190
AC095050.1	AC092431.1
AC095050.1	AC092611.2
AC095050.1	AC010343.3
AC095050.1	LINC00491
AC095050.1	HIST1H2BN
AC095050.1	AL591518.1
AC095050.1	AP003733.3
AC095050.1	AP003049.2
AC095050.1	ZWINT
AC095050.1	AL138767.3
AC095050.1	C10orf95
AC095050.1	LINC02315
AC095050.1	TMC5
AC095050.1	AP1M2
AC095050.1	CBLC
SPATA4	SPATA41
AC027627.1	NBEAL2
AC027627.1	AL590235.2
AC027627.1	S100Z
AC027627.1	AC244517.6
AC027627.1	ZNF92
AC027627.1	AL732314.4
AC027627.1	LINC00687
AC027627.1	AL118506.1
AC020551.1	CDKL4
AC020551.1	AL133367.1
TENM3	LINC02306
AC084871.2	VAV3-AS1
AC084871.2	CASQ2
AC084871.2	PYHIN1
AC084871.2	AL513323.1
AC084871.2	C1GALT1C1L
AC084871.2	AC008277.1
AC084871.2	AC116424.1
AC084871.2	LPP-AS1
AC084871.2	PRSS12
AC084871.2	AC137810.1
AC084871.2	AC022101.1
AC084871.2	AC006004.1
AC084871.2	AC124290.1
AC084871.2	LURAP1L-AS1
AC084871.2	HEMGN
AC084871.2	RPS6KB2-AS1
AC084871.2	ORAOV1
AC084871.2	EXPH5
AC084871.2	GRTP1-AS1
AC084871.2	AL132780.2
AC084871.2	DUOXA1
AC084871.2	NOMO3
AC084871.2	AIPL1
AC084871.2	AC023983.1
AC084871.2	LINC01893
AC084871.2	TTLL9
AC084871.2	PLCG1-AS1
AC084871.2	SLC27A5
AC084871.2	GAB4
SLC25A4	MRPL27
SLC25A4	MRPL40
ANKRD37	C4orf47
CYP4V2	ZNF200
F11	THG1L
F11	AC120498.9
AC018709.1	F11-AS1
AC097521.1	RNASEH1-AS1
AC097521.1	AC009974.1
AC097521.1	AC104187.1
AC097521.1	AC096759.1
AC097521.1	F11
AC097521.1	AL445430.2
AC097521.1	MCHR2
AC097521.1	PPP1R3A
AC097521.1	ARSH
AC097521.1	AC068305.2
AC097521.1	AC090970.2
AC097521.1	STAC2
AC097521.1	AC005381.1
PLEKHG4B	ANKDD1B
PLEKHG4B	AL353759.1
PLEKHG4B	CCDC168
PLEKHG4B	AC106779.1
TRIP13	ACSBG1
MRPL36	FP236315.1
IRX2	U2AF1L5
AC093305.1	ZNF582-AS1
LINC02199	VWC2L
LINC02199	AC078923.1
AC021088.1	C6orf120
AC021088.1	AC092069.1
AC034229.4	AL807752.7
AC034229.4	TP53TG3D
AC012640.1	ZBED4
AC012640.2	RNF20
ROPN1L	TRIM21
RETREG1	PLEKHG1
RETREG1	IFFO1
BASP1-AS1	LINC02223
BASP1-AS1	VARS
BASP1-AS1	LGI1
AC091885.2	AL354949.1
AC091885.2	AC016994.1
AC091885.2	BHMT2
AC091885.2	CBY3
AC091885.2	RPA3
AC091885.2	AC004951.1
AC091885.2	FAM200A
AC091885.2	AP003096.1
AC091885.2	AC022075.1
AC091885.2	AC130650.1
AC091885.2	PRKCA-AS1
LINC02211	AL590822.1
LINC02211	AP002784.1
CDH9	RASGRF2
AC010343.3	BFAR
GDNF-AS1	KIAA1614
GDNF-AS1	CCDC85A
GDNF-AS1	CLSTN2
GDNF-AS1	AC034226.1
